=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:40:53 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
5114441;10592864
5114480;10592638
5114533;10592684
5114586;10592340
5114639;10590420
5114692;10587993
5114746;10584649
5114799;10586036
5114852;10586191
5114906;10588018
5114959;10589185
5115012;10589391
5115065;10590322
5115119;10590605
5115171;10591336
5115225;10592227
5115278;10591946
5115332;10591614
5115385;10588592
5115438;10587102
5115491;10589130
5115545;10589371
5115598;10590460
5115651;10590470
5115704;10591127
5115757;10590743
5115811;10591813
5115864;10592192
5115917;10592766
5115970;10592817
5116024;10592899
5116077;10592859
5116130;10593201
5116184;10593145
5116236;10593216
5116290;10592919
5116343;10592879
5116397;10593088
5116449;10593175
5116503;10593248
5116556;10592023
5116610;10587097
5116663;10586431
5116716;10587306
5116769;10588982
5116823;10589180
5116876;10589867
5116929;10591075
5116982;10591665
5117036;10592468
5117089;10592940
5117142;10592837
5117195;10593058
5117249;10592791
5117301;10592480
5117355;10591644
5117408;10592736
5117462;10591951
5117515;10591757
5117568;10592367
5117621;10593354
5117674;10592975
5117728;10592960
5117781;10591813
5117835;10591941
5117887;10591225
5117941;10591921
5117994;10592320
5118048;10592540
5118100;10592663
5118154;10592771
5118207;10591951
5118260;10592581
5118313;10593180
5118367;10593565
5118420;10593191
5118473;10593371
5118526;10593241
5118580;10593846
5118633;10594011
5118687;10594127
5118739;10594071
5118792;10593903
5118846;10593911
5118899;10593836
5118952;10593436
5119006;10592940
5119059;10593339
5119112;10593738
5119165;10593755
5119219;10593431
5119272;10593932
5119326;10594290
5119378;10593824
5119432;10593155
5119485;10590784
5119538;10589396
5119591;10586165
5119645;10587097
5119698;10586605
5119751;10586713
5119805;10587963
5119858;10587629
5119911;10589258
5119964;10590174
5120018;10591474
5120071;10591737
5120124;10592761
5120177;10592274
5120231;10592300
5120283;10592269
5120337;10591833
5120390;10591818
5120443;10592623
5120497;10592653
5120550;10590718
5120603;10591419
5120657;10592428
5120710;10590784
5120763;10591338
5120816;10590615
5120870;10590425
5120923;10589104
5120976;10589913
5121029;10590794
5121083;10592136
5121136;10592131
5121189;10592192
5121242;10591966
5121295;10592746
5121349;10593113
5121402;10592914
5121455;10592869
5121509;10590272
5121561;10589739
5121615;10591727
5121669;10592438
5121722;10592648
5121774;10592837
5121828;10593554
5121881;10592960
5121934;10591200
5121988;10588924
5122041;10589883
5122094;10590723
5122148;10591890
5122200;10592325
5122254;10592862
5122307;10592904
5122361;10593196
5122413;10592869
5122467;10591532
5122520;10591993
5122574;10592242
5122627;10592126
5122680;10592756
5122733;10593170
5122787;10593180
5122839;10593282
5122893;10593829
5122946;10593888
5123000;10593543
5123053;10593194
5123106;10591951
5123159;10591941
5123213;10592428
5123266;10591276
5123319;10589990
5123373;10590671
5123425;10591286
5123479;10591961
5123532;10592530
5123586;10590962
5123638;10589125
5123692;10590977
5123745;10591717
5123798;10592618
5123852;10592869
5123905;10593155
5123958;10593349
5124011;10593399
5124065;10593236
5124118;10593687
5124171;10591122
5124224;10590969
5124278;10592232
5124331;10591700
5124384;10591993
5124438;10592485
I received: 
