=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:43:59 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
5298590;10135533
5298621;10136173
5298674;10136074
5298727;10135857
5298781;10136987
5298834;10136490
5298887;10136117
5298941;10136137
5298994;10135668
5299047;10135866
5299100;10135994
5299154;10135929
5299207;10135630
5299260;10135840
5299313;10136598
5299367;10136400
5299420;10136963
5299473;10136081
5299526;10136076
5299579;10136161
5299633;10136289
5299686;10135939
5299739;10136004
5299793;10136171
5299846;10135526
5299899;10135973
5299952;10136009
5300006;10136101
5300058;10135444
5300112;10135944
5300165;10136224
5300218;10136712
5300272;10136074
5300325;10136569
5300378;10136388
5300432;10136190
5300484;10136374
5300538;10136366
5300591;10135857
5300645;10136333
5300698;10136806
5300751;10137052
5300804;10136589
5300858;10136659
5300911;10137229
5300964;10135603
5301018;10136929
5301071;10136398
5301124;10136255
5301177;10136289
5301230;10136398
5301284;10137101
5301336;10137028
5301390;10136820
5301443;10136255
5301496;10136299
5301550;10136787
5301603;10136634
5301656;10136243
5301710;10136557
5301763;10137238
5301816;10136610
5301869;10136939
5301922;10136750
5301976;10136731
5302029;10136023
5302082;10136531
5302136;10137224
5302188;10137057
5302242;10137270
5302296;10137258
5302348;10137516
5302402;10136531
5302455;10137081
5302508;10136572
5302562;10136825
5302615;10136465
5302668;10137521
5302721;10136953
5302774;10136403
5302828;10136255
5302881;10136816
5302934;10136755
5302987;10136753
5303041;10137028
5303094;10136796
5303147;10137115
5303201;10136531
5303254;10136915
5303307;10137043
5303360;10137323
5303414;10136683
5303467;10136910
5303520;10136359
5303573;10136767
5303627;10136825
5303679;10137598
5303733;10137431
5303787;10136806
5303839;10136973
5303893;10136560
5303946;10137081
5304000;10137296
5304052;10137777
5304106;10136613
5304159;10136811
5304212;10136864
5304266;10136767
5304319;10136250
5304372;10137569
5304425;10136849
5304479;10136649
5304532;10137156
5304585;10137052
5304638;10136511
5304691;10136973
5304745;10137219
5304799;10137398
5304851;10137175
5304905;10137018
5304958;10137407
5305011;10136492
5305065;10136707
5305118;10137265
5305171;10137574
5305224;10136318
5305277;10137318
5305330;10137233
5305384;10137697
5305437;10137313
5305491;10137772
5305544;10137683
5305597;10137274
5305650;10137673
5305703;10137265
5305756;10137540
5305810;10137137
5305863;10137318
5305917;10137137
5305969;10137550
5306023;10137328
5306076;10137342
5306129;10137308
5306183;10137767
5306236;10137185
5306289;10137550
5306342;10137678
5306396;10137521
5306449;10137644
5306502;10137972
5306556;10136934
5306609;10137294
5306662;10137038
5306715;10138067
5306768;10137840
5306821;10136871
5306875;10136806
5306928;10137279
5306981;10137204
5307034;10137678
5307088;10137521
5307141;10137383
5307194;10137736
5307247;10137441
5307301;10137830
5307355;10137929
5307407;10138023
5307461;10137229
5307514;10137265
5307567;10137393
5307620;10137270
5307674;10137924
5307727;10137782
5307781;10137485
5307833;10137869
5307886;10137649
5307940;10137977
5307993;10137895
5308046;10137511
5308100;10137615
5308153;10138516
5308206;10137521
5308259;10137279
5308313;10138248
5308365;10138755
5308419;10138603
5308473;10137924
5308526;10138042
5308579;10137625
5308632;10137294
I received: 
