=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:40:49 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;8.26;23.47
325;8.26;23.47
428;8.26;23.47
531;8.25;23.47
634;8.25;23.47
737;8.25;23.47
840;8.25;23.48
943;8.23;23.48
1046;8.23;23.48
1149;8.23;23.48
1253;8.23;23.48
1356;8.23;23.48
1459;8.23;23.48
1562;8.21;23.48
1665;8.21;23.49
1768;8.22;23.48
1871;8.22;23.47
1974;8.22;23.47
2077;8.21;23.47
2180;8.21;23.48
2283;8.21;23.47
2386;8.20;23.48
2490;8.20;23.48
2593;8.20;23.47
2696;8.19;23.48
2799;8.19;23.48
2902;8.19;23.48
3005;8.19;23.48
3108;8.19;23.48
3211;8.18;23.48
3314;8.18;23.47
3417;8.17;23.47
3520;8.17;23.47
3623;8.17;23.48
3727;8.17;23.47
3830;8.15;23.47
3933;8.15;23.47
4036;8.15;23.47
4139;8.14;23.47
4242;8.14;23.47
4345;8.14;23.47
4448;8.14;23.47
4551;8.14;23.47
4654;8.14;23.47
4757;8.13;23.47
4860;8.12;23.47
4964;8.12;23.47
5067;8.12;23.47
5170;8.12;23.47
5273;8.12;23.47
5376;8.11;23.46
5479;8.11;23.47
5582;8.11;23.47
5685;8.11;23.47
5788;8.11;23.47
5891;8.10;23.48
5994;8.10;23.47
6097;8.10;23.47
6200;8.08;23.47
6303;8.09;23.47
6406;8.10;23.47
6509;8.10;23.47
6612;8.08;23.47
6716;8.08;23.47
6819;8.08;23.47
6922;8.06;23.47
7025;8.06;23.47
7128;8.06;23.47
7231;8.06;23.46
7334;8.06;23.47
7437;8.05;23.46
7540;8.05;23.47
7643;8.05;23.47
7746;8.05;23.46
7849;8.04;23.47
7953;8.03;23.47
8056;8.03;23.47
8159;8.02;23.47
8262;8.03;23.47
8365;8.02;23.47
8468;8.03;23.46
8571;8.02;23.46
8674;8.02;23.46
8777;8.02;23.46
8880;8.02;23.47
8983;8.01;23.46
9086;8.01;23.46
9190;8.01;23.46
9293;8.01;23.47
9396;8.01;23.46
9499;8.02;23.46
9602;7.97;23.46
9705;8.00;23.46
9808;8.00;23.46
9911;7.98;23.46
10014;7.98;23.46
10117;7.98;23.46
10220;7.98;23.46
10323;7.98;23.46
10427;7.97;23.46
10530;7.97;23.47
10633;7.97;23.46
10736;7.97;23.46
10839;7.97;23.46
10942;7.96;23.46
11045;7.95;23.46
11148;7.95;23.46
11251;7.95;23.46
11354;7.95;23.46
11457;7.95;23.46
11560;7.94;23.45
11664;7.94;23.46
11767;7.93;23.46
11870;7.93;23.46
11973;7.93;23.46
12076;7.93;23.46
12179;7.92;23.46
12282;7.92;23.46
12385;7.92;23.46
12488;7.92;23.46
12591;7.92;23.46
12694;7.92;23.46
12797;7.90;23.46
12901;7.90;23.46
13004;7.90;23.45
13107;7.89;23.46
13210;7.89;23.46
13313;7.88;23.46
13416;7.88;23.46
13519;7.88;23.45
13622;7.87;23.46
13725;7.87;23.46
13828;7.87;23.46
13931;7.87;23.45
14034;7.87;23.46
14138;7.86;23.45
14241;7.87;23.45
14344;7.87;23.45
14447;7.87;23.45
14550;7.87;23.46
14653;7.86;23.45
14756;7.85;23.45
14859;7.85;23.45
14962;7.85;23.45
15065;7.85;23.45
15168;7.85;23.45
15271;7.84;23.46
15375;7.84;23.46
15478;7.84;23.46
15581;7.84;23.45
15684;7.83;23.45
15787;7.83;23.45
15890;7.84;23.45
15993;7.81;23.45
16096;7.83;23.45
16199;7.83;23.45
16302;7.81;23.45
16405;7.81;23.45
16508;7.81;23.45
16612;7.81;23.45
16715;7.81;23.45
16818;7.80;23.45
16921;7.80;23.45
17024;7.80;23.45
17127;7.79;23.45
17230;7.79;23.45
17333;7.79;23.45
17436;7.79;23.45
17539;7.79;23.45
17642;7.77;23.45
17745;7.78;23.45
17848;7.77;23.45
17951;7.78;23.45
18054;7.78;23.45
18157;7.77;23.45
18260;7.77;23.45
18364;7.77;23.45
18467;7.77;23.45
18570;7.78;23.45
18673;7.77;23.45
18776;7.77;23.45
18879;7.77;23.45
18982;7.77;23.45
19085;7.76;23.45
19188;7.77;23.45
19291;7.75;23.45
19394;7.73;23.45
19497;7.75;23.45
19601;7.75;23.45
19704;7.75;23.44
19807;7.73;23.45
19910;7.73;23.44
20013;7.73;23.45
20116;7.73;23.44
20219;7.72;23.45
20322;7.72;23.45
20425;7.72;23.45
20528;7.72;23.45
20631;7.71;23.45
20734;7.71;23.45
20838;7.71;23.45
20941;7.72;23.45
21044;7.70;23.45
21147;7.71;23.45
21250;7.71;23.45
21353;7.70;23.45
21456;7.70;23.45
21559;7.70;23.45
21662;7.70;23.45
21765;7.69;23.45
21868;7.69;23.45
21971;7.68;23.45
22075;7.68;23.45
22178;7.68;23.45
22281;7.68;23.45
22384;7.68;23.44
22487;7.68;23.45
22590;7.67;23.45
22693;7.67;23.45
22796;7.68;23.44
22899;7.67;23.45
23002;7.67;23.44
23105;7.67;23.45
23208;7.66;23.44
23312;7.66;23.45
23415;7.66;23.44
23518;7.66;23.44
2
