=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:43:57 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;100.00;23.97
325;100.00;23.97
428;100.00;23.97
531;100.00;23.97
634;100.00;23.98
737;100.00;23.98
840;100.00;23.98
943;100.00;23.98
1046;100.00;23.97
1149;100.00;23.98
1253;100.00;23.98
1356;100.00;23.97
1459;100.00;23.98
1562;100.00;23.97
1665;100.00;23.97
1768;100.00;23.97
1871;100.00;23.98
1974;100.00;23.97
2077;100.00;23.98
2180;100.00;23.98
2283;100.00;23.98
2386;100.00;23.98
2490;100.00;23.98
2593;100.00;23.97
2696;100.00;23.97
2799;100.00;23.97
2902;100.00;23.97
3005;100.00;23.98
3108;100.00;23.98
3211;100.00;23.98
3314;100.00;23.98
3417;100.00;23.98
3520;100.00;23.98
3623;100.00;23.98
3727;100.00;23.98
3830;100.00;23.97
3933;100.00;23.98
4036;100.00;23.98
4139;100.00;23.98
4242;100.00;23.98
4345;100.00;23.98
4448;100.00;23.98
4551;100.00;23.97
4654;100.00;23.98
4757;100.00;23.98
4860;100.00;23.98
4964;100.00;23.98
5067;100.00;23.98
5170;100.00;23.98
5273;100.00;23.98
5376;100.00;23.98
5479;100.00;23.98
5582;100.00;23.98
5685;100.00;23.98
5788;100.00;23.98
5891;100.00;23.98
5994;100.00;23.98
6097;100.00;23.98
6200;100.00;23.98
6303;100.00;23.99
6406;100.00;23.99
6509;100.00;23.98
6612;100.00;23.98
6716;100.00;23.98
6819;100.00;23.98
6922;100.00;23.98
7025;100.00;23.98
7128;100.00;23.98
7231;100.00;23.98
7334;100.00;23.98
7437;100.00;23.98
7540;100.00;23.98
7643;100.00;23.99
7746;100.00;23.99
7849;100.00;23.99
7953;100.00;23.98
8056;100.00;23.99
8159;100.00;23.99
8262;100.00;23.98
8365;100.00;23.99
8468;100.00;23.98
8571;100.00;23.99
8674;100.00;23.99
8777;100.00;23.99
8880;100.00;23.99
8983;100.00;23.98
9086;100.00;23.99
9190;100.00;23.99
9293;100.00;23.98
9396;100.00;23.99
9499;100.00;23.98
9602;100.00;23.98
9705;100.00;23.98
9808;100.00;23.98
9911;100.00;23.98
10014;100.00;23.98
10117;100.00;23.98
10220;100.00;23.98
10323;100.00;23.98
10427;100.00;23.98
10530;100.00;23.98
10633;100.00;23.98
10736;100.00;23.98
10839;100.00;23.98
10942;100.00;23.98
11045;100.00;23.98
11148;100.00;23.98
11251;100.00;23.98
11354;100.00;23.98
11457;100.00;23.98
11560;100.00;23.98
11664;100.00;23.98
11767;100.00;23.98
11870;100.00;23.98
11973;100.00;23.98
12076;100.00;23.97
12179;100.00;23.97
12282;100.00;23.98
12385;100.00;23.98
12488;100.00;23.98
12591;100.00;23.98
12694;100.00;23.98
12797;100.00;23.98
12901;100.00;23.98
13004;100.00;23.98
13107;100.00;23.98
13210;100.00;23.98
13313;100.00;23.98
13416;100.00;23.98
13519;100.00;23.98
13622;100.00;23.98
13725;100.00;23.98
13828;100.00;23.98
13931;100.00;23.98
14034;100.00;23.98
14138;100.00;23.99
14241;100.00;23.99
14344;100.00;23.98
14447;100.00;23.99
14550;100.00;23.98
14653;100.00;23.98
14756;100.00;23.98
14859;100.00;23.99
14962;100.00;23.98
15065;100.00;23.99
15168;100.00;23.99
15271;100.00;23.98
15375;100.00;23.98
15478;100.00;23.98
15581;100.00;23.98
15684;100.00;23.98
15787;100.00;23.98
15890;100.00;23.98
15993;100.00;23.98
16096;100.00;23.99
16199;100.00;23.98
16302;100.00;23.98
16405;100.00;23.98
16508;100.00;23.98
16612;100.00;23.99
16715;100.00;23.99
16818;100.00;23.99
16921;100.00;23.98
17024;100.00;23.99
17127;100.00;23.99
17230;100.00;23.98
17333;100.00;23.99
17436;100.00;23.98
17539;100.00;23.99
17642;100.00;23.99
1
