=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:24:42 =~=~=~=~=~=~=~=~=~=~=~=
4BME280 test
-- Default Test --
Time;RH;Temp
222;15.79;22.00
325;15.75;22.01
428;15.72;22.02
531;15.68;22.02
634;15.64;22.03
737;15.61;22.03
840;15.57;22.03
943;15.54;22.04
1046;15.49;22.05
1149;15.46;22.05
1253;15.43;22.05
1356;15.42;22.05
1459;15.38;22.05
1562;15.33;22.06
1665;15.30;22.06
1768;15.22;22.07
1871;15.19;22.07
1974;15.16;22.07
2077;15.12;22.08
2180;15.09;22.08
2283;15.07;22.08
2386;15.03;22.08
2490;15.01;22.08
2593;14.99;22.09
2696;14.96;22.09
2799;14.92;22.09
2902;14.91;22.09
3005;14.87;22.10
3108;14.85;22.10
3211;14.81;22.10
3314;14.73;22.10
3417;14.71;22.11
3520;14.67;22.11
3623;14.65;22.12
3727;14.62;22.11
3830;14.58;22.12
3933;14.55;22.12
4036;14.53;22.12
4139;14.49;22.13
4242;14.46;22.13
4345;14.43;22.13
4448;14.40;22.14
4551;14.38;22.14
4654;14.34;22.15
4757;14.31;22.15
4860;14.27;22.15
4964;14.24;22.15
5067;14.21;22.16
5170;14.19;22.16
5273;14.17;22.17
5376;14.13;22.17
5479;14.11;22.18
5582;14.09;22.18
5685;14.06;22.18
5788;14.03;22.19
5891;14.01;22.19
5994;13.99;22.19
6097;13.98;22.19
6200;13.94;22.20
6303;13.93;22.20
6406;13.91;22.20
6509;13.85;22.20
6612;13.83;22.21
6716;13.80;22.21
6819;13.77;22.21
6922;13.75;22.22
7025;13.72;22.22
7128;13.71;22.22
7231;13.68;22.22
7334;13.65;22.23
7437;13.63;22.23
7540;13.61;22.23
7643;13.59;22.23
7746;13.55;22.24
7849;13.52;22.24
7953;13.53;22.24
8056;13.47;22.24
8159;13.45;22.25
8262;13.44;22.25
8365;13.42;22.25
8468;13.39;22.25
8571;13.38;22.25
8674;13.36;22.25
8777;13.33;22.26
8880;13.31;22.25
8983;13.29;22.26
9086;13.27;22.26
9190;13.23;22.26
9293;13.25;22.26
9396;13.23;22.26
9499;13.20;22.26
9602;13.17;22.27
9705;13.12;22.27
9808;13.11;22.27
9911;13.08;22.27
10014;13.07;22.28
10117;13.04;22.28
10220;13.03;22.28
10323;13.00;22.28
10427;12.99;22.28
10530;12.98;22.29
10633;12.95;22.29
10736;12.93;22.29
10839;12.91;22.29
10942;12.91;22.29
11045;12.91;22.29
11148;12.88;22.29
11251;12.82;22.30
11354;12.80;22.30
11457;12.77;22.30
11560;12.75;22.31
11664;12.74;22.31
11767;12.73;22.31
11870;12.71;22.31
11973;12.69;22.31
12076;12.67;22.31
12179;12.66;22.32
12282;12.63;22.32
12385;12.64;22.32
12488;12.58;22.32
12591;12.60;22.32
12694;12.56;22.32
12797;12.54;22.33
12901;12.53;22.33
13004;12.51;22.33
13107;12.50;22.33
13210;12.48;22.33
13313;12.46;22.33
13416;12.45;22.33
13519;12.44;22.33
13622;12.46;22.33
13725;12.46;22.32
13828;12.46;22.32
13931;12.46;22.32
14034;12.46;22.31
14138;12.45;22.32
14241;12.41;22.32
14344;12.39;22.32
14447;12.34;22.33
14550;12.33;22.33
14653;12.31;22.34
14756;12.30;22.34
14859;12.28;22.34
14962;12.26;22.34
15065;12.24;22.35
15168;12.22;22.35
15271;12.21;22.35
15375;12.19;22.35
15478;12.17;22.35
15581;12.15;22.35
15684;12.12;22.35
15787;12.13;22.36
15890;12.06;22.35
15993;12.05;22.36
16096;12.04;22.36
16199;12.03;22.37
16302;12.01;22.37
16405;11.99;22.37
16508;11.97;22.37
16612;11.96;22.37
16715;11.95;22.37
16818;11.93;22.37
16921;11.92;22.37
17024;11.89;22.37
17127;11.88;22.37
17230;11.86;22.37
17333;11.86;22.38
17436;11.82;22.38
17539;11.78;22.38
17642;11.79;22.38
17745;11.78;22.38
17848;11.76;22.37
17951;11.75;22.38
18054;11.75;22.38
18157;11.74;22.37
18260;11.73;22.37
18364;11.70;22.38
18467;11.70;22.37
18570;11.69;22.38
18673;11.68;22.38
18776;11.68;22.38
18879;11.68;22.38
18982;11.64;22.38
19085;11.66;22.38
19188;11.65;22.38
19291;11.64;22.38
19394;11.62;22.38
19497;11.61;22.38
19601;11.60;22.38
19704;11.60;22.38
19807;11.59;22.38
19910;11.59;22.38
20013;11.59;22.38
20116;11.58;22.38
20219;11.59;22.38
20322;11.58;22.38
20425;11.59;22.38
20528;11.59;22.37
20631;11.60;22.37
20734;11.56;22.37
