=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:25:44 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
588647;10414317
588670;10414661
588697;10415612
588722;10414971
588749;10413830
588775;10412475
588802;10410540
588828;10407556
588854;10407064
588880;10406691
588906;10407566
588933;10408507
588959;10407872
588985;10407005
589011;10406218
589037;10407173
589064;10406872
589090;10408128
589115;10408448
589142;10408994
589168;10409054
589195;10408000
589220;10407734
589247;10408058
589273;10408241
589300;10409054
589326;10409418
589352;10410097
589378;10407749
589404;10407536
589431;10409059
589457;10410319
589483;10410874
589509;10411293
589535;10412938
589561;10414011
589588;10414075
589614;10414932
589640;10415090
589667;10414848
589693;10415379
589719;10415459
589745;10415479
589772;10413479
589797;10411534
589824;10410063
589850;10411830
589876;10413356
589902;10414189
589928;10413474
589955;10413642
589981;10413602
590007;10413298
590034;10411594
590059;10409246
590086;10408227
590112;10405573
590139;10404007
590164;10402525
590191;10403091
590217;10403386
590243;10402707
590269;10404224
590296;10404007
590321;10404051
590348;10406005
590375;10407217
590400;10407119
590427;10407015
590453;10407360
590479;10409054
590505;10409004
590532;10409182
590558;10420122
590584;10410673
590610;10410254
590636;10410319
590663;10411948
590688;10412465
590715;10412963
590741;10412958
590767;10413130
590794;10413057
590820;10414759
590846;10414646
590872;10415153
590898;10415966
590925;10415971
590951;10414493
590977;10413524
591003;10414444
591030;10415128
591056;10415632
591082;10416059
591108;10415497
591135;10416154
591161;10416329
591187;10416552
591213;10416492
591239;10415700
591266;10413406
591292;10413700
591318;10414056
591344;10413140
591370;10411539
591396;10411722
591423;10412460
591449;10412794
591475;10412436
591501;10411155
591528;10411506
591553;10412031
591580;10411948
591606;10412332
591633;10412732
591658;10412259
591685;10412214
591711;10412692
591738;10411973
591763;10413583
591790;10413592
591816;10413564
591842;10416403
591868;10415773
591894;10416315
591921;10417575
591947;10417931
591973;10417256
592000;10415911
592026;10415277
592052;10414966
592078;10414169
592104;10412184
592131;10411141
592157;10411441
592183;10411406
592209;10412485
592235;10412420
592262;10412224
592288;10412686
592314;10411959
592340;10411407
592366;10411692
592393;10412962
592419;10413534
592445;10411707
592472;10410889
592497;10410555
592523;10410791
592550;10410713
592576;10411298
592603;10410575
592629;10411865
592655;10411160
592681;10411481
592707;10412805
592734;10413805
592760;10414661
592786;10415286
592812;10414154
592839;10415198
592864;10415788
592891;10415473
592917;10415532
592943;10414041
592969;10413145
592995;10412691
593022;10412691
593048;10414342
593075;10414804
593101;10414867
593127;10415758
593153;10414907
593179;10413958
593205;10414212
593232;10414119
593258;10415562
593284;10415040
593310;10413637
593337;10414174
593363;10414956
593389;10415321
593415;10415532
593441;10415798
593467;10416119
593494;10415803
593520;10415991
593546;10415444
593572;10415783
593599;10416247
593625;10414734
593651;10415665
593677;10412776
593703;10413120
593730;10414337
593756;10415365
593782;10415208
593808;10415512
593835;10415030
593861;10413469
593887;10413371
593913;10412510
593940;10411273
593966;10411038
593992;10411107
594018;10412131
594044;10413617
594070;10414228
594097;10415366
594123;10412751
594149;10410751
594175;10409467
594202;10411037
594227;10412362
594254;10413278
594280;10411667
594306;10409654
594333;10409850
594359;10410969
594385;10410491
594411;10411032
594437;10410959
594464;10409827
594490;10409900
594516;10410594
594543;10411511
594569;10411712
594595;10413760
594621;10413233
594647;10414350
594674;10415798
594700;10415507
594725;10416089
594752;10415444
594778;10415592
594804;10415262
594831;10413814
594857;10413180
594883;10412002
594910;10413037
594936;10411845
594962;10413022
594988;10414715
595014;10413559
595040;10414449
595067;10414420
595093;10413996
595119;10414340
595145;10415400
595171;10415182
595198;10414253
595224;10414109
595251;10415217
595277;10415789
595303;10413769
595329;10412855
595355;10412362
595381;10410994
595407;10411298
595434;10410643
595460;10410102
595486;10409383
595512;10409993
595538;10409925
595565;10409886
595591;10410910
595618;10412563
595644;10412948
595669;10412835
595696;10413100
595722;10412268
595748;10412658
595775;10411973
595801;10410427
595827;10409063
595854;10409285
595880;10409497
595905;10409546
595932;10409388
595958;10409358
595984;10409329
596010;10409333
596037;10410004
596063;10411243
596089;10411919
596115;10412159
596142;10413582
596167;10412480
596194;10413361
596220;10415021
596246;10414637
596272;10413695
596299;10412952
596325;10413574
596351;10413228
596377;10413514
596404;10412746
596430;10410481
596456;10408472
596482;10406867
596509;10407143
596535;10406276
596561;10405415
596587;10405745
596614;10406828
596639;10407389
596666;10407915
596692;10408754
596718;10407778
596745;10409073
596771;10409270
596797;10409343
596823;10409516
596849;10410132
596876;10410269
596902;10411067
596928;10410688
596954;10410618
596981;10411392
597006;10410515
597033;10411461
597059;10411343
597085;10413430
597111;10413268
597138;10412086
597164;10411269
597190;10410167
597216;10411288
597243;10413597
597269;10414365
597295;10415395
597321;10415227
597347;10415424
597373;10413745
597400;10411639
597426;10410053
597452;10409728
597478;10409295
597504;10410294
597531;10410909
597557;10410914
597583;10411904
597609;10411589
597636;10412352
597662;10412072
597688;10412893
597715;10414997
597740;10414892
597767;10416005
597793;10415060
597820;10414799
597846;10413534
597871;10413671
597898;10413450
597924;10414306
597950;10413357
597977;10413577
598003;10412558
598029;10412465
598055;10410890
598081;10411471
598108;10414765
598134;10415502
598160;10415946
598186;10414932
598213;10415617
598239;10414819
598265;10414621
598291;10414282
598317;10414390
598343;10413518
598370;10413972
598396;10413562
598422;10413273
598449;10413582
598475;10414568
598501;10414144
598527;10414691
598553;10415341
598579;10415714
598606;10416197
598632;10415434
598658;10416049
598684;10415276
598710;10415223
598737;10415374
598763;10415374
598789;10415528
598816;10416512
598842;10417133
598867;10416915
598894;10417733
598921;10417713
598947;10417393
598973;10418260
598999;10417487
599025;10417876
599052;10418752
599078;10417527
599104;10416646
599130;10417497
599156;10418028
599183;10418501
599208;10418255
599235;10417447
599261;10416054
599288;10416207
599314;10416896
599340;10416320
599366;10416626
599392;10417113
599418;10416709
599444;10416704
599471;10415936
599497;10415429
599524;10415203
599550;10413243
599575;10412465
599602;10411634
599628;10411027
599655;10410603
599680;10411407
599707;10410575
599733;10410693
599760;10409733
599785;10410771
599812;10411170
599838;10411781
599864;10411780
599890;10412500
599917;10413805
599943;10414449
599968;10415745
599995;10415704
600021;10414272
600048;10414385
600074;10414508
600100;10413893
600126;10415512
600152;10415355
600178;10414617
600205;10413700
600231;10413469
600257;10413765
600284;10415158
600309;10412485
600336;10409723
600362;10409900
600388;10409968
600415;10409969
600440;10408688
600467;10408532
600493;10408650
600520;10409738
600546;10409958
600572;10410939
600598;10413283
600624;10415010
600651;10414247
600677;10414455
600703;10412962
600729;10411943
600756;10411471
600781;10412312
600808;10411481
600834;10410969
600860;10408959
600887;10408187
600913;10407059
600938;10406262
600965;10407079
600992;10405085
601017;10404529
601044;10403608
601070;10403642
601096;10406655
601122;10406114
601148;10406119
601174;10405184
601201;10404065
601227;10404691
601253;10404992
601279;10404647
601306;10405754
601332;10407813
601358;10409930
601384;10411092
601411;10411982
601437;10410260
601463;10409323
601490;10408340
601515;10407616
601542;10407498
601568;10406577
601594;10407024
601620;10406695
601647;10407350
601673;10407582
601699;10408266
601726;10408944
601751;10409457
601778;10408418
601804;10409167
601830;10411392
601857;10413287
601883;10413085
601909;10412401
601935;10411757
601961;10411549
601987;10412008
602014;10411273
602040;10412023
602066;10413843
602092;10413544
602118;10412917
602145;10412701
602171;10412238
602197;10412121
602223;10410477
602250;10410590
602276;10409600
602302;10409634
602328;10410895
602355;10410698
602381;10410836
602407;10410713
602433;10411072
602459;10410673
602486;10410894
602512;10411899
602538;10410889
602565;10410688
602590;10411441
602616;10412362
602643;10411112
602669;10410447
602695;10410121
602721;10410334
602748;10410161
602774;10410181
602800;10411165
602826;10411672
602853;10411348
602879;10411401
602905;10411333
602931;10411580
602957;10412097
602983;10411122
603010;10410934
603036;10415650
603063;10412884
603088;10413436
603115;10413306
603141;10413042
603167;10413282
603194;10413697
603220;10412884
603245;10413917
603272;10414760
603298;10413992
603325;10416034
603351;10415981
603377;10415532
603403;10415438
603430;10415484
603455;10415459
603482;10414557
603508;10415557
603534;10415542
603561;10415808
603587;10415479
603613;10415321
603639;10416031
603665;10415192
603691;10415120
603718;10414434
603744;10414159
603770;10413494
603796;10412668
603822;10412500
603849;10412809
603875;10413080
603901;10412706
603928;10413825
603954;10413371
603979;10413085
604006;10412919
604032;10411299
604059;10410249
604085;10409866
604111;10409748
604137;10410244
604164;10408404
604190;10410058
604215;10409511
604242;10409295
604268;10410201
604294;10411338
604321;10411135
604347;10412199
604373;10411998
604399;10412761
604425;10412558
604452;10412716
604478;10412869
604504;10413549
604530;10413913
604557;10412248
604583;10410856
604609;10410013
604635;10408586
604661;10408438
604688;10407655
604714;10408798
604740;10409738
604766;10410585
604793;10410594
604819;10411284
604845;10412489
604871;10411796
604897;10412490
604924;10412268
604949;10412677
604976;10412169
605002;10412568
605028;10412933
605055;10413351
605081;10413431
605107;10413637
605133;10412702
605160;10412529
605186;10412288
605212;10411820
605238;10412593
605264;10414036
605290;10414370
605317;10415025
605343;10413268
605369;10413538
605395;10412953
605422;10413587
605448;10411988
605474;10411727
605501;10412888
605526;10413401
605553;10413692
605579;10413597
605605;10413504
605631;10413710
605658;10413760
605684;10413474
605710;10412563
605736;10412047
605762;10412253
605789;10412820
605814;10412809
605841;10411145
605867;10410723
605894;10409930
605920;10409727
605946;10410516
605972;10410633
605999;10410166
606024;10408570
606051;10408182
606077;10406631
606104;10406360
606129;10406711
606156;10407050
606182;10408674
606208;10409693
606234;10410196
606261;10412116
606287;10411609
606313;10411840
606339;10409988
606365;10408463
606391;10407178
606418;10407128
606444;10406808
606471;10408600
606497;10409497
606523;10411771
606549;10411667
606575;10411141
606602;10409688
606628;10409068
606654;10409890
606680;10410535
606706;10411830
606733;10412579
606759;10413780
606785;10413760
606811;10414553
606837;10413913
606863;10413927
606890;10413175
606916;10412997
606942;10413991
606969;10413268
606995;10413519
607021;10414031
607047;10414375
607073;10414444
607099;10413396
607125;10413381
607152;10413253
607178;10412249
607204;10413489
607231;10414370
607257;10415261
607283;10415040
607309;10414066
607335;10413632
607362;10414129
607387;10414089
607414;10414312
607440;10414060
607466;10412805
607492;10413444
607519;10412663
607545;10412233
607571;10411614
607597;10410018
607624;10409822
607650;10409856
607676;10410347
607702;10409935
607728;10409467
607754;10410249
607781;10410191
607807;10410718
607834;10411091
607860;10409334
607886;10409466
607912;10408394
607938;10408458
607964;10407886
607991;10408281
608016;10409319
608043;10409699
608069;10410771
608096;10411215
608122;10409900
608148;10411077
608174;10410510
608201;10412041
608227;10412387
608253;10413145
608279;10412643
608305;10412850
608332;10412396
608357;10413190
608384;10413784
608410;10414302
608437;10413750
608463;10414686
608489;10414601
608515;10415030
608541;10415228
608567;10415720
608594;10416094
608620;10416177
608646;10415735
608672;10415502
608698;10414420
608725;10413966
608751;10413835
608777;10414720
608804;10414410
608830;10414420
608856;10413434
608882;10413484
608908;10413702
608934;10415454
608961;10414091
608987;10413976
609013;10413740
609040;10415360
609065;10415715
609092;10415670
609118;10416222
609144;10416295
609171;10415906
609196;10413213
609223;10411156
609249;10410210
609275;10410353
609301;10408856
609328;10410344
609354;10410299
609380;10411642
609406;10411944
609433;10413313
609458;10412839
609485;10412711
609511;10412106
609537;10412839
609564;10412052
609590;10410073
609616;10409359
609642;10410618
609669;10412066
609694;10412603
609721;10409994
609747;10409240
609774;10409235
609800;10409201
609826;10409526
609852;10410944
609878;10412480
609905;10413180
609930;10412126
609957;10410206
609983;10409102
610010;10409423
610036;10409580
610062;10409983
610088;10410003
610115;10410245
610140;10410751
610166;10409408
610193;10408734
610219;10407763
610245;10408133
610272;10407138
610297;10408015
610324;10407503
610350;10409200
610376;10410107
610402;10409265
610429;10410013
610455;10409772
610481;10409024
610507;10408261
610534;10407582
610560;10408503
610586;10408399
610612;10408222
610638;10407305
610665;10406946
610691;10406528
610717;10406921
610743;10407305
610769;10409019
610796;10408512
610822;10409187
610848;10409044
610874;10408437
610901;10408502
610927;10409630
610953;10411845
610979;10410442
611005;10411171
611032;10412594
611058;10413306
611084;10415090
611110;10413612
611137;10412869
611162;10412741
611189;10412952
611215;10412563
611241;10412101
611268;10412558
611294;10413066
611320;10414227
611346;10415158
611373;10415261
611398;10414681
611425;10412844
611451;10412312
611477;10412407
611503;10412362
611529;10412578
611556;10411328
611582;10411456
611608;10409988
611634;10408729
611661;10407521
611687;10406346
611714;10407621
611739;10408842
611765;10409777
611792;10409679
611819;10410747
611844;10411328
611870;10408678
611897;10407557
611923;10407024
611949;10407493
611975;10408729
612002;10410678
612028;10410992
612054;10411023
612080;10411574
612107;10411841
612133;10413313
612159;10412751
612185;10412076
612211;10411923
612238;10412933
612264;10412076
612290;10412470
612317;10412120
612343;10411806
612368;10409821
612395;10409787
612421;10409896
612448;10410585
612474;10409817
612499;10409059
612526;10409782
612552;10410456
612579;10410349
612604;10408994
612630;10409925
612657;10409373
612683;10409989
612710;10410992
612736;10411924
612762;10412805
612788;10413434
612815;10412929
612841;10412701
612867;10411771
612893;10410362
612919;10409605
612945;10409550
612972;10409881
612997;10408605
613024;10408369
613050;10407493
613076;10409034
613102;10407985
613129;10407443
613155;10406434
613181;10406917
613208;10406256
613233;10406306
613260;10406001
613286;10406911
613312;10406528
613338;10405829
613365;10407099
613391;10408033
613417;10408886
613443;10408570
613470;10407562
613496;10407351
613523;10406567
613548;10406763
613575;10408000
613601;10409600
613627;10409260
613653;10409624
613679;10421224
613706;10408359
613731;10408241
613758;10407616
613784;10409447
613811;10405232
613836;10403599
613863;10402490
613889;10402092
613915;10402471
613941;10402924
613968;10402667
613994;10404111
614020;10404602
614047;10405750
614072;10407009
614099;10407148
614125;10407631
614152;10406602
614178;10406487
614203;10405135
614230;10404085
614256;10405464
614283;10407365
614309;10408901
614335;10409315
614361;10410412
614387;10411509
614413;10412156
614440;10411707
614466;10410826
614492;10410467
614518;10410260
614544;10412425
614570;10412603
614597;10414287
614623;10415926
614650;10415602
614676;10413774
614702;10412141
614728;10410088
614755;10409309
614781;10408621
614806;10408764
614833;10409015
614859;10409541
614885;10410491
614912;10410879
614938;10410142
614964;10409988
614990;10409614
615017;10410363
615043;10410063
615069;10409806
615095;10409482
615121;10408432
615147;10409694
615174;10409019
615200;10408409
615226;10409343
615252;10410373
615279;10411176
615305;10412691
615331;10412796
615357;10412456
615383;10413110
615409;10412415
615435;10413913
615462;10412736
615488;10413745
615514;10415035
615541;10415203
615567;10416285
615593;10416290
615619;10415803
615646;10416305
615672;10416305
615698;10415493
615724;10414100
615750;10411456
615776;10411150
615803;10412317
615829;10413337
615855;10414242
615882;10414804
615908;10415222
615933;10414829
615960;10414558
615986;10414893
616012;10414070
616039;10414209
616065;10414468
616091;10414627
616117;10415898
616143;10415552
616170;10415168
616196;10413188
616222;10411496
616248;10411810
616275;10411288
616301;10411717
616327;10413228
616353;10413444
616379;10412219
616406;10413194
616432;10412548
616458;10413431
616484;10414818
616511;10415143
616537;10414297
616563;10413042
616589;10412327
616616;10412194
616642;10412544
616668;10411938
616694;10413682
616720;10413622
616746;10413075
616773;10412613
616799;10412420
616825;10410934
616852;10410166
616878;10409694
616904;10410678
616930;10410422
616956;10411298
616983;10411313
617009;10411481
617035;10411662
617061;10412392
617087;10412899
617114;10412908
617140;10412259
617166;10410851
617193;10410008
617219;10408699
617245;10408699
617271;10409019
617297;10411012
617323;10410324
617350;10409752
617376;10410339
617402;10410161
617428;10409526
617454;10407453
617481;10407729
617507;10406006
617533;10406218
617559;10406542
617586;10407739
617612;10409506
617638;10409650
617664;10408626
617690;10406952
617717;10407325
617742;10407975
617769;10409964
617795;10410584
617821;10412165
617847;10413326
617874;10415306
617900;10415143
617927;10415080
617952;10416039
617979;10415542
618005;10415527
618031;10416385
618057;10415542
618084;10414819
618110;10413095
618136;10411835
618162;10411885
618189;10410776
618215;10410422
618241;10409595
618267;10409925
618293;10409960
618320;10410373
618346;10411747
618372;10411323
618398;10409950
618424;10409629
618451;10410028
618477;10410944
618503;10410580
618529;10410525
618555;10410111
618581;10409098
618608;10409378
618634;10409083
618660;10408034
618686;10408896
618713;10409945
618739;10410392
618766;10410088
618791;10409875
618817;10410073
618844;10409285
618870;10409177
618896;10409707
618922;10411230
618949;10407403
618975;10407203
619001;10407803
619027;10407423
619054;10408079
619080;10409162
619106;10410920
619132;10411893
619158;10412736
619184;10412303
619211;10413061
619237;10413567
619264;10414740
619289;10415453
619315;10414691
619342;10412549
619368;10411303
619395;10410949
619420;10412377
619447;10414203
619473;10413298
619499;10412903
619525;10412387
619552;10412859
619578;10413050
619604;10412677
619631;10413765
619656;10413705
619683;10413838
619709;10412535
619735;10412021
619761;10409645
619788;10409092
619813;10408088
619840;10407611
619867;10407064
619892;10406099
619919;10405947
619945;10405986
619971;10405611
619997;10406705
620023;10409433
620050;10410107
620076;10409579
620102;10410028
620129;10411417
620154;10412623
620180;10412535
620207;10411845
620233;10411353
620259;10411457
620285;10412322
620312;10412510
620338;10412554
620364;10412327
620391;10412623
620417;10411717
620443;10409958
620470;10409063
620495;10407931
620522;10407694
620548;10408108
620574;10409378
620600;10410698
620626;10412701
620653;10413406
620679;10413331
620705;10412086
620731;10412209
620758;10411663
620783;10411682
620810;10412519
620836;10413958
620862;10413617
620889;10414331
620915;10415095
620941;10415454
620967;10414770
620993;10414119
621020;10413622
621046;10414075
621072;10414651
621098;10414568
621124;10415336
621151;10414454
621177;10414154
621203;10413893
621229;10413622
621256;10412781
621282;10413174
621308;10412628
621334;10412194
621360;10413203
621387;10414385
621413;10415444
621439;10416576
621466;10415823
621492;10414287
621518;10415961
621544;10415971
621570;10416010
621597;10415853
621622;10415459
621648;10416452
621675;10416119
621701;10414621
621728;10414937
621754;10414739
621780;10414716
621806;10415030
621832;10414380
621859;10414232
621885;10413848
621911;10413238
621937;10414006
621964;10413982
621990;10413823
622016;10413145
622042;10413735
622069;10413170
622095;10413120
622121;10414582
622147;10413702
622173;10413898
622199;10413889
622225;10413859
622252;10412849
622278;10412844
622304;10412874
622330;10413095
622357;10412771
622382;10412721
622409;10413233
622435;10414031
622461;10414789
622488;10415921
622514;10415522
622540;10415217
622566;10415277
622593;10415484
622619;10416601
622645;10416152
622671;10416571
622697;10416645
622723;10416345
622750;10416551
622776;10416074
622802;10416154
622829;10415212
622854;10413888
622881;10413371
622907;10414036
622933;10412859
622960;10413662
622986;10413853
623012;10413431
623038;10413612
623065;10414001
623091;10414463
623117;10414415
623143;10414784
623169;10414493
623195;10415075
623222;10415281
623248;10415547
623274;10415128
623300;10413948
623327;10414282
623352;10414518
623379;10414114
623405;10413799
623431;10414386
623457;10413441
623484;10413735
623510;10414204
623536;10414887
623562;10413534
623588;10414277
623615;10414317
623641;10415552
623667;10414867
623693;10415045
623720;10416380
623746;10415251
623772;10415256
623799;10413534
623825;10413903
623851;10415705
623877;10415621
623904;10414907
623929;10414611
623956;10415134
623982;10413681
624009;10414129
624034;10412805
624060;10412849
624087;10412716
624113;10413499
624140;10413863
624166;10414149
624192;10413800
624218;10414178
624244;10414588
624270;10414715
624296;10414164
624323;10414021
624349;10412554
624375;10411826
624401;10411314
624427;10412977
624454;10411810
624480;10410894
624506;10410713
624533;10410485
624559;10411220
624585;10413110
624611;10412894
624638;10413815
624664;10414207
624690;10414104
624716;10413918
624742;10413336
624768;10413071
624794;10412450
624821;10411963
624847;10411002
624873;10411550
624899;10413154
624926;10414380
624952;10414927
624978;10416026
625004;10415813
625031;10415646
625057;10416226
625083;10416769
625109;10417905
625136;10418250
625161;10417793
625188;10418294
625214;10418850
625241;10418240
625266;10418580
625293;10418782
625319;10419003
625345;10419673
625371;10418935
625398;10419318
625424;10419860
625450;10420017
625477;10419648
625502;10419013
625529;10418378
