=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:16:07 =~=~=~=~=~=~=~=~=~=~=~=
pump open;
I received: pump open
I received: 
inspect;
I received: inspect
inspecting
time;humidity
16391;9904960
16395;9904789
16421;9905183
16447;9905017
16474;9905059
16500;9904547
16526;9904496
16552;9904410
16579;9905576
16605;9904804
16631;9904927
16657;9905174
16683;9904685
16709;9905263
16736;9904311
16762;9904785
16788;9904434
16814;9904163
16841;9904908
16867;9905866
16893;9904354
16919;9905064
16945;9904742
16971;9904339
16997;9904410
17024;9904330
17050;9904197
17076;9903713
17103;9903182
17129;9904221
17155;9904149
17181;9904505
17208;9904823
17234;9903690
17260;9904685
17286;9904548
17312;9903950
17338;9903803
17365;9904287
17391;9904467
17417;9904676
17443;9904737
17470;9904401
17496;9904538
17522;9903785
17548;9904790
17575;9904268
17601;9904501
17627;9903941
17653;9904666
17680;9905937
17706;9905022
17731;9904135
17758;9903828
17784;9904040
17810;9904249
17837;9903936
17863;9904458
17889;9904733
17915;9904392
17941;9903827
17968;9904633
17994;9904434
18020;9904718
18046;9903666
18073;9903599
18099;9904619
18125;9903998
18151;9905240
18177;9903320
18203;9903566
18230;9903969
18256;9903766
18282;9903737
18308;9904496
18334;9903917
18361;9904908
18387;9904885
18414;9903936
18440;9903543
18465;9903419
18492;9903694
18518;9904297
18545;9903908
18570;9904320
18597;9904581
18623;9904870
18650;9903661
18675;9903761
18702;9903983
18728;9904150
18754;9904221
18780;9904041
18807;9903178
18833;9903714
18859;9904486
18885;9903273
18911;9903159
18937;9903405
18964;9904339
18990;9903623
19017;9903552
19043;9903495
19068;9903946
19095;9904349
19122;9905268
19148;9903453
19174;9903922
19199;9904756
19226;9903358
19252;9903310
19279;9903813
19305;9904278
19330;9903841
19357;9903547
19384;9904064
19410;9904116
19436;9903595
19462;9903405
19488;9904135
19514;9903766
19541;9904240
19566;9904026
19593;9903836
19619;9904216
19645;9903457
19672;9903652
19698;9903348
19724;9903168
19750;9903903
19777;9904064
19802;9903519
19829;9904159
19855;9904121
19881;9903396
19908;9903595
19934;9905112
19960;9903324
19986;9904064
20013;9904159
20038;9904022
20065;9904126
20091;9904069
20117;9903547
20144;9902993
20169;9903590
20196;9903254
20222;9903168
20248;9903623
20275;9905486
20301;9903960
20327;9904069
20353;9903158
20379;9904012
20406;9903775
20432;9903462
20458;9904092
20484;9904078
20511;9903467
20537;9903618
20563;9903372
20589;9903050
20615;9903263
20641;9903273
20667;9903173
20694;9902974
20720;9903448
20747;9902348
20773;9903263
20799;9902888
20825;9902514
20851;9902893
20878;9903685
20904;9902343
20930;9903400
20956;9903486
20982;9904353
21009;9902855
21035;9903979
21061;9902941
21087;9903604
21114;9903315
21139;9903472
21166;9903363
21192;9903026
21218;9903225
