=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:46:07 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
1811254;10143547
1811263;10142641
1811289;10142114
1811316;10140434
1811342;10137960
1811368;10135688
1811395;10134325
1811421;10133760
1811447;10133231
1811473;10133528
1811499;10134325
1811526;10135330
1811552;10135915
1811578;10136625
1811604;10136615
1811630;10136403
1811657;10136903
1811683;10135956
1811709;10136246
1811735;10136146
1811762;10136847
1811788;10136828
1811814;10136992
1811841;10137197
1811866;10137441
1811893;10136241
1811918;10135383
1811945;10134267
1811971;10133236
1811997;10132997
1812024;10131401
1812049;10130565
1812076;10130079
1812102;10128635
1812128;10127493
1812154;10126466
1812181;10125160
1812207;10124693
1812233;10123406
1812260;10123148
1812286;10123991
1812312;10123783
1812338;10124401
1812365;10124099
1812391;10124094
1812416;10123962
1812443;10123640
1812470;10123860
1812496;10123706
1812522;10123090
1812548;10122901
1812574;10122298
1812600;10122288
1812627;10122928
1812653;10123351
1812679;10124222
1812705;10125488
1812732;10125966
1812757;10126580
1812784;10127285
1812810;10127541
1812836;10128270
1812863;10128138
1812888;10129082
1812915;10129186
1812941;10128517
1812967;10126546
1812993;10123087
1813020;10120054
1813046;10117419
1813072;10115484
1813098;10113204
1813125;10112564
1813151;10112197
1813177;10111371
1813203;10111089
1813229;10110919
1813256;10109369
1813282;10108354
1813308;10106946
1813335;10106874
1813360;10106852
1813387;10107372
1813413;10107862
1813439;10108166
1813466;10108756
1813491;10109731
1813518;10110031
1813544;10110403
1813570;10110574
1813596;10109709
1813622;10110487
1813649;10108072
1813675;10107154
1813701;10105377
1813727;10104229
1813753;10102903
1813780;10102271
1813806;10101604
1813833;10100261
1813859;10099664
1813885;10098947
1813911;10099039
1813937;10097824
1813963;10097426
1813990;10097483
1814016;10097165
1814042;10097650
1814068;10097534
1814094;10096483
1814121;10096534
1814147;10095498
1814173;10094296
1814200;10094184
1814226;10094083
1814252;10092523
1814278;10092429
1814304;10092139
1814330;10091936
1814357;10091866
1814383;10091600
1814409;10090897
1814436;10090817
1814461;10090267
1814488;10089453
1814514;10088830
1814540;10088462
1814567;10087977
1814593;10087422
1814619;10088252
1814645;10087859
1814672;10087868
1814697;10088356
1814724;10088736
1814750;10088941
1814777;10091153
1814803;10089627
1814828;10089774
1814855;10089520
1814881;10090136
1814908;10090977
1814933;10091013
1814960;10091614
1814986;10092083
1815012;10092096
1815038;10091544
1815065;10091334
1815091;10090233
1815117;10089224
1815143;10087907
1815170;10087267
1815196;10086929
1815222;10086356
1815248;10086385
1815274;10085787
1815301;10085574
1815327;10085185
1815353;10084535
1815379;10084809
1815405;10085180
1815432;10084897
1815458;10084876
1815484;10084630
1815510;10083943
1815537;10084270
1815562;10084246
1815589;10083772
1815615;10082891
1815641;10083260
1815667;10082862
1815694;10082156
1815720;10080473
1815746;10079444
1815773;10078183
1815799;10077149
1815825;10077121
1815851;10076756
1815877;10076655
1815903;10076567
1815929;10078007
1815956;10077893
1815982;10079420
1816008;10078703
1816035;10078444
1816061;10077220
1816087;10077297
1816113;10076665
1816140;10075775
1816165;10075247
1816192;10075124
1816218;10074621
1816244;10075220
1816271;10075201
1816297;10075304
1816322;10075277
1816349;10074408
1816375;10074711
1816402;10075565
1816428;10075386
1816454;10075764
1816481;10074967
1816507;10074072
1816532;10073949
1816559;10073773
1816585;10071957
1816612;10071730
1816638;10071010
1816663;10070754
1816690;10071242
1816716;10071184
1816743;10071271
1816769;10071227
1816795;10071653
1816821;10072196
1816848;10073204
1816873;10072570
1816899;10073023
1816926;10072920
1816952;10072703
1816979;10072607
1817005;10072687
1817030;10072365
1817057;10071914
1817083;10072095
1817110;10071418
1817135;10071013
1817161;10071218
1817188;10070611
1817214;10070616
1817240;10070269
1817267;10069674
1817293;10069207
1817319;10068805
1817345;10068387
1817371;10068491
1817398;10068467
1817424;10069075
1817450;10069317
1817476;10068895
1817503;10068619
1817529;10068095
1817555;10068448
1817581;10068815
1817607;10067870
1817634;10067155
1817660;10066250
1817686;10065448
1817712;10065805
1817739;10064898
1817765;10064600
1817791;10064243
1817817;10063808
1817844;10063462
1817870;10063537
1817896;10062803
1817922;10062973
1817948;10063689
1817975;10063320
1818001;10063917
1818027;10064230
1818053;10064794
1818079;10064608
1818105;10064049
1818132;10064320
1818158;10064965
1818184;10064110
1818210;10063117
1818237;10062574
1818263;10062125
1818289;10060465
1818315;10060139
1818341;10060427
1818368;10059356
1818394;10059228
1818421;10059712
1818446;10059072
1818472;10059512
1818499;10059313
1818525;10060276
1818551;10060669
1818577;10060404
1818604;10060584
1818630;10061229
1818656;10060982
1818682;10061541
1818709;10062197
1818735;10061257
1818761;10062021
1818787;10062043
1818813;10062675
1818840;10062817
1818866;10061789
1818892;10061352
1818918;10060878
1818945;10060860
1818971;10059641
1818997;10058654
1819023;10058816
1819049;10058408
1819075;10057863
1819102;10058734
1819128;10058523
1819154;10058750
1819180;10059502
1819206;10058454
1819233;10058156
1819259;10057801
1819286;10057755
1819312;10057473
1819338;10057422
1819364;10057915
1819390;10057318
1819416;10058019
1819442;10057705
1819468;10058001
1819495;10059379
1819522;10058380
1819547;10058355
1819573;10059532
1819600;10058891
1819626;10057915
1819652;10057587
1819678;10057118
1819705;10056639
1819731;10056123
1819757;10055937
1819783;10055943
1819810;10055543
1819836;10054487
1819862;10054406
1819888;10053847
1819914;10053647
1819941;10054009
1819967;10053780
1819993;10054724
1820019;10053862
1820045;10054212
1820072;10053875
1820098;10054246
1820125;10054273
1820150;10054298
1820177;10054838
1820203;10055439
1820229;10055719
1820256;10055900
1820281;10055364
1820307;10054647
1820334;10054098
1820360;10054140
1820386;10052777
1820413;10053590
1820439;10052695
1820465;10052980
1820491;10053116
1820517;10052780
1820543;10053070
1820569;10053558
1820596;10053430
1820622;10053970
1820648;10053249
1820675;10053174
1820701;10052601
1820727;10052367
1820753;10051983
1820780;10052591
1820806;10052135
1820832;10052425
1820858;10052444
1820884;10052623
1820911;10052828
1820937;10052439
1820963;10052393
1820989;10052116
1821016;10051249
1821042;10051495
1821068;10051377
1821094;10050210
1821120;10050794
1821147;10049386
1821173;10049329
1821199;10048602
1821225;10049292
1821252;10048271
1821278;10047935
1821303;10048466
1821330;10048105
1821356;10048727
1821382;10048623
1821408;10048225
1821435;10047821
1821461;10048281
1821487;10047689
1821514;10047973
1821540;10048324
1821566;10047826
1821592;10048114
1821618;10049708
1821645;10047669
1821671;10048855
1821697;10048196
1821723;10048266
1821749;10048034
1821776;10046901
1821802;10046593
1821828;10047176
1821854;10046573
1821880;10046826
1821907;10046578
1821933;10046911
1821959;10046840
1821985;10046792
1822011;10046991
1822038;10046935
1822064;10047181
1822090;10047039
1822117;10047308
1822143;10047732
1822169;10048399
1822195;10047797
1822221;10047769
1822248;10047830
1822274;10047480
1822300;10047769
1822326;10047836
1822352;10048636
1822378;10048272
1822405;10048921
1822431;10048029
1822457;10048096
1822483;10047877
1822510;10048029
1822536;10048258
1822562;10047641
1822588;10047996
1822615;10047314
1822641;10047703
1822667;10048077
1822693;10048049
1822719;10048404
1822746;10047826
1822772;10047773
1822798;10047266
1822824;10047096
1822851;10046484
1822877;10046063
1822903;10045730
1822929;10045764
1822956;10045066
1822981;10045389
1823008;10045109
1823034;10044711
1823061;10044564
1823087;10044085
1823113;10044261
1823139;10043792
1823165;10043611
1823192;10044621
1823217;10043962
1823243;10043720
1823270;10043938
1823296;10042943
1823322;10043151
1823348;10043550
1823375;10043458
1823401;10044299
1823427;10043749
1823454;10043431
1823479;10043269
1823506;10043815
1823532;10044076
1823558;10044162
1823584;10044744
1823611;10044948
1823637;10044645
1823664;10044421
1823689;10044744
1823716;10044653
1823742;10043867
1823768;10043906
1823794;10043473
1823821;10043564
1823847;10043772
1823873;10044184
1823899;10043147
1823925;10042866
1823951;10043432
1823978;10044208
1824004;10043914
1824030;10044138
1824056;10043620
1824083;10044260
1824109;10044043
1824135;10044013
1824162;10044498
1824187;10044549
1824213;10044218
1824240;10043772
1824266;10044332
1824292;10043919
1824318;10044000
1824345;10043512
1824371;10043733
1824397;10043578
1824424;10043308
1824450;10044127
1824476;10044645
1824502;10045020
1824529;10043762
1824555;10043331
1824580;10043810
1824607;10045195
1824633;10043392
1824659;10044597
1824685;10043459
1824712;10042757
1824738;10042749
1824764;10042629
1824790;10042365
1824817;10042407
1824843;10042351
1824869;10042355
1824895;10042629
1824922;10042208
1824948;10042634
1824973;10042450
1825000;10042772
1825027;10042839
1825052;10041990
1825079;10042197
1825105;10042525
1825131;10042365
1825158;10041980
1825184;10042138
1825210;10041738
1825236;10041848
1825262;10042312
1825289;10041933
1825315;10042682
1825341;10041810
1825368;10041984
1825393;10041303
1825420;10045317
1825445;10041149
1825472;10041901
1825498;10040895
1825525;10041232
1825551;10040576
1825577;10040909
1825603;10041255
1825629;10041653
1825656;10041578
1825681;10041344
1825708;10041264
1825734;10041602
1825760;10041947
1825787;10041246
1825813;10041567
1825839;10041986
1825865;10041259
1825891;10040960
1825918;10041411
1825944;10041274
1825970;10041042
1825996;10040909
1826023;10041069
1826048;10040947
1826075;10041359
1826101;10041501
1826127;10041036
1826154;10041203
1826179;10040899
1826206;10040767
1826232;10040956
1826259;10040345
1826284;10040021
1826311;10039445
1826337;10039515
1826363;10039387
1826390;10038837
1826416;10038832
1826442;10038965
1826468;10039202
1826494;10038904
1826521;10038898
1826547;10038909
1826573;10039035
1826599;10038851
1826626;10039297
1826652;10038794
1826678;10038491
1826704;10038557
1826730;10039149
1826757;10039245
1826783;10038762
1826809;10039780
1826835;10039568
1826861;10039557
1826888;10040216
1826914;10039202
1826940;10038672
1826966;10039415
1826992;10038832
1827018;10038477
1827045;10038310
1827071;10038098
1827098;10038510
1827124;10039405
1827150;10039107
1827176;10039240
1827202;10038955
1827229;10039998
1827255;10039240
1827281;10039046
1827307;10038947
1827333;10039098
1827359;10038936
1827386;10038610
1827412;10039202
1827438;10038870
1827464;10038837
1827490;10038922
1827517;10038747
1827543;10038869
1827570;10038467
1827596;10039037
1827621;10039216
1827648;10038344
1827674;10038576
1827700;10038637
1827726;10038790
1827753;10038941
1827779;10038799
1827806;10038443
1827832;10038026
1827858;10038529
1827884;10038818
1827910;10038704
1827936;10039018
1827963;10038837
1827988;10038623
1828015;10038003
1828041;10038429
1828067;10037395
1828093;10037520
1828120;10037272
1828146;10038178
1828172;10036628
1828198;10037064
1828225;10036984
1828250;10036765
1828277;10037050
1828303;10037035
1828330;10037192
1828355;10037742
1828382;10037893
1828408;10037349
1828434;10037623
1828461;10037245
1828487;10037822
1828513;10037376
1828539;10037523
1828565;10037779
1828591;10037562
1828618;10037661
1828644;10037685
1828670;10037088
1828697;10037139
1828723;10037353
1828749;10037603
1828776;10038216
1828801;10037605
1828828;10037030
1828854;10037221
1828880;10037523
1828906;10037760
1828933;10037197
1828958;10037496
1828985;10037315
1829011;10036579
1829037;10036339
1829064;10036675
1829090;10035992
1829116;10036400
1829142;10035822
1829168;10036386
1829195;10036717
1829221;10036424
1829247;10036395
1829273;10036808
1829300;10036955
1829326;10036774
1829352;10037803
1829378;10037382
1829404;10036987
1829430;10037629
1829457;10037306
1829483;10037245
1829509;10037386
1829535;10036595
1829562;10036888
1829588;10037381
1829614;10036022
1829640;10036012
1829666;10036304
1829693;10035614
1829719;10035253
1829745;10035120
1829771;10035195
1829798;10035646
1829824;10034912
1829850;10035376
1829876;10035043
1829902;10035172
1829929;10035494
1829954;10035366
1829981;10035064
1830007;10034779
1830033;10034523
1830060;10034680
1830086;10034702
1830112;10034627
1830138;10035618
1830165;10035006
1830190;10034907
1830217;10035309
1830243;10034452
1830270;10035528
1830295;10034637
1830321;10035446
1830348;10035376
1830374;10034755
1830400;10035144
1830427;10034504
1830453;10034931
1830479;10035229
1830505;10035058
1830532;10034409
1830558;10034504
1830584;10034944
1830610;10034836
1830636;10035077
1830662;10035073
1830689;10035315
1830715;10035324
1830741;10034963
1830767;10034314
1830793;10035248
1830820;10034523
1830846;10035830
1830873;10035272
1830898;10035376
1830925;10035205
1830951;10035622
1830977;10034859
1831003;10034462
1831030;10035143
1831055;10034822
1831082;10034294
1831108;10034741
1831135;10034205
1831161;10034305
1831187;10034309
1831213;10033997
1831239;10034963
1831265;10033806
1831292;10034318
1831318;10033622
1831344;10033545
1831370;10034793
1831397;10034660
1831423;10034741
1831449;10034608
1831475;10033907
1831502;10033627
1831528;10033921
1831554;10034270
1831580;10033504
1831606;10033579
1831633;10033574
1831659;10035049
1831685;10034144
1831711;10034115
1831738;10034133
1831763;10034404
1831790;10034323
1831816;10034072
1831842;10034177
1831868;10033289
1831895;10033968
1831921;10033550
1831947;10033831
1831973;10033479
1832000;10033447
1832026;10033470
1832052;10033400
1832078;10033267
1832104;10033374
1832130;10034513
1832157;10034224
1832183;10034063
1832209;10034029
1832235;10034945
1832262;10033626
1832288;10033717
1832314;10033579
1832340;10033953
1832367;10034286
1832393;10034091
1832419;10033934
1832446;10033295
1832472;10033797
1832498;10033441
1832524;10033446
1832550;10033219
1832577;10032627
1832603;10032417
1832629;10032939
1832655;10032697
1832681;10032929
1832707;10032456
1832734;10033110
1832760;10032987
1832786;10032323
1832812;10032787
1832838;10033840
1832865;10032868
1832891;10032835
1832917;10033678
1832944;10034475
1832969;10033347
1832996;10033494
1833022;10033352
1833048;10032971
1833075;10032736
1833101;10033110
1833127;10032465
1833153;10032408
1833179;10032925
1833205;10032484
1833232;10032811
1833258;10032550
1833284;10032697
1833310;10032280
1833337;10032712
1833363;10033020
1833389;10033185
1833415;10033712
1833441;10033461
1833468;10034171
1833494;10033105
1833520;10033081
1833546;10033025
1833573;10033992
1833599;10033636
1833625;10033030
1833651;10033219
1833677;10032706
1833703;10032774
1833730;10032972
1833756;10033039
1833782;10031853
1833809;10032395
1833835;10032474
1833860;10032318
1833887;10032593
1833913;10032019
1833940;10032356
1833965;10032214
1833992;10032502
1834018;10032328
1834044;10032963
1834070;10033133
1834097;10032176
1834123;10032821
1834149;10032304
1834175;10033177
1834202;10033086
1834228;10032891
1834254;10033419
1834280;10032603
1834307;10032996
1834333;10033304
1834359;10032508
1834385;10032459
1834411;10032944
1834438;10032390
1834463;10033048
1834490;10032565
1834516;10032224
1834543;10032616
1834568;10032177
1834595;10032512
1834621;10032460
1834647;10032483
1834673;10032204
1834700;10032480
1834726;10032470
1834752;10032237
1834778;10032395
1834805;10032744
1834831;10032593
1834857;10032982
1834883;10033134
1834909;10032413
1834936;10033152
1834962;10032375
1834988;10032986
1835014;10033090
1835040;10032371
1835067;10032238
1835093;10031910
1835119;10031929
1835146;10031963
1835172;10031896
1835198;10031664
1835224;10031128
1835250;10031019
1835277;10030863
1835303;10031208
1835329;10031484
1835355;10031004
1835381;10031526
1835408;10031195
1835433;10031071
1835460;10031123
1835486;10031521
1835512;10031347
1835539;10031582
1835565;10031009
1835591;10030521
1835617;10031796
1835644;10031454
1835670;10031731
1835696;10030838
1835722;10031337
1835748;10031219
1835774;10031607
1835801;10031844
1835827;10031564
1835854;10032203
1835879;10031683
1835905;10031470
1835932;10031512
1835958;10031052
1835984;10032076
1836010;10030981
1836037;10030820
1836063;10031379
1836089;10031124
1836115;10031128
1836141;10031009
1836168;10031299
1836194;10031393
1836220;10032139
1836246;10031454
1836272;10031569
1836299;10031265
1836325;10031412
1836351;10031550
1836377;10031721
1836404;10031342
1836430;10031422
1836456;10031199
1836483;10030934
1836508;10030507
1836535;10030915
1836561;10030876
1836587;10031347
1836614;10031445
1836640;10030854
1836666;10030886
1836692;10031190
1836718;10031104
1836745;10030583
1836770;10030635
1836797;10030483
1836823;10030792
1836850;10030460
1836876;10031327
1836901;10030474
1836928;10030592
1836954;10030753
1836981;10030958
1837007;10031147
1837033;10030478
1837059;10031161
1837086;10030545
1837111;10030939
1837138;10030857
1837164;10029972
1837190;10030361
1837216;10029976
1837243;10029692
1837269;10030275
1837295;10030805
1837321;10029990
1837347;10029915
1837374;10029782
1837400;10029924
1837426;10030270
1837453;10029507
1837478;10029982
1837505;10029767
1837531;10029198
1837557;10029976
1837584;10029924
1837609;10029364
1837636;10029435
1837662;10029370
1837688;10029251
1837714;10030446
1837741;10029919
1837767;10029587
1837793;10030280
1837819;10029824
1837846;10031228
1837872;10030326
1837898;10030626
1837924;10030388
1837951;10029644
1837977;10030113
1838003;10030321
1838029;10030199
1838055;10029806
1838082;10030321
1838107;10030033
1838134;10030332
1838160;10030099
1838186;10030142
1838212;10030208
1838239;10029948
1838265;10029374
1838291;10029587
1838318;10029526
1838343;10029729
1838370;10030573
1838396;10029933
1838422;10029270
1838449;10029809
1838474;10029298
1838501;10029772
1838527;10029288
1838553;10029745
1838580;10029729
1838606;10029411
1838632;10029593
1838658;10029208
1838684;10029374
1838711;10028895
1838737;10028895
1838763;10029052
1838789;10029118
1838816;10029814
1838842;10029473
1838868;10029777
1838894;10029540
1838921;10029454
1838947;10029383
1838973;10029132
1838999;10029065
1839026;10029151
1839051;10029701
1839078;10029705
1839104;10029521
1839130;10029791
1839156;10029582
1839182;10029336
1839209;10029535
1839235;10029473
1839261;10029108
1839287;10029118
1839314;10029076
1839340;10029369
1839366;10029032
1839392;10029094
1839418;10029023
1839445;10029232
1839471;10028468
1839497;10028852
1839524;10029217
1839549;10029980
1839576;10029156
1839602;10028548
1839628;10028615
1839654;10028767
1839680;10029060
1839707;10029422
1839733;10029478
1839759;10030156
1839786;10029910
1839812;10030208
1839838;10030038
1839864;10030080
1839890;10031204
1839917;10029815
1839943;10030516
1839969;10030454
1839995;10029625
1840021;10029417
1840047;10029876
1840073;10029441
1840100;10029596
1840126;10029663
1840152;10028995
1840179;10029369
1840205;10029435
1840231;10029284
1840257;10029147
1840283;10028260
1840310;10028814
1840336;10028843
1840362;10028534
1840388;10028782
1840415;10028302
1840441;10028843
1840467;10028763
1840494;10028782
1840520;10029478
1840545;10029165
1840572;10029118
1840598;10029057
1840624;10028937
1840651;10028160
1840677;10028753
1840703;10028166
1840729;10028340
1840756;10027918
1840782;10028018
1840808;10027899
1840834;10027772
1840860;10028150
1840886;10027823
1840912;10028710
1840939;10027719
1840965;10028359
1840992;10028468
1841017;10027900
1841044;10028691
1841070;10028274
1841096;10028027
1841123;10027649
1841148;10028377
1841175;10028018
1841201;10027871
1841227;10028710
1841253;10028785
1841280;10028132
1841306;10028487
1841332;10028198
1841358;10028254
1841384;10027710
1841411;10027929
1841437;10028705
1841463;10028739
1841490;10028995
1841516;10028976
1841541;10029165
1841568;10028511
1841594;10028297
1841621;10028412
1841646;10028075
1841673;10028425
1841699;10028682
1841726;10028145
1841752;10028644
1841777;10027947
1841804;10028279
1841830;10027974
1841857;10028639
1841882;10027871
1841909;10027885
1841935;10028862
1841961;10027587
1841987;10028511
1842014;10028041
1842040;10028084
1842066;10028511
1842092;10028478
1842119;10028643
1842144;10028018
1842171;10027904
1842197;10027587
1842223;10028231
1842250;10028142
1842276;10027633
1842302;10027364
1842329;10027051
1842354;10027828
1842381;10027819
1842407;10027654
1842433;10027947
1842459;10027819
1842486;10027544
1842512;10027449
1842538;10028123
1842564;10027966
1842591;10027695
1842617;10028270
1842643;10027913
1842669;10028649
1842695;10028160
1842721;10027572
1842748;10028663
1842774;10028131
1842800;10028151
1842826;10027947
1842853;10027705
1842879;10027652
1842905;10028335
1842931;10028156
1842958;10028150
1842983;10027497
1843010;10027780
1843036;10027969
1843063;10029019
1843089;10028862
1843115;10029639
1843141;10029203
1843167;10028231
1843194;10027734
1843219;10028734
1843246;10028710
1843272;10028530
1843299;10028401
1843324;10028516
1843351;10028440
1843377;10028705
1843403;10028355
1843429;10028843
1843456;10028843
1843482;10028862
1843508;10028649
