=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:58:33 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;44.07;23.33
325;44.09;23.33
428;44.10;23.33
531;44.11;23.34
634;44.13;23.34
737;44.16;23.34
840;44.18;23.35
943;44.19;23.34
1
1046;44.21;23.34
1149;44.23;23.35
1253;44.25;23.34
1356;44.28;23.35
1459;44.28;23.34
1562;44.30;23.35
1665;44.30;23.34
2
1768;44.35;23.35
1871;44.38;23.35
1974;44.39;23.35
2077;44.41;23.35
2180;44.43;23.34
2283;44.45;23.35
2386;44.46;23.35
2490;44.48;23.35
2593;44.50;23.35
3
2696;44.51;23.35
2799;44.53;23.35
2902;44.53;23.35
3005;44.58;23.35
3108;44.62;23.35
3211;44.61;23.35
3314;44.64;23.35
4
3417;44.65;23.35
3520;44.67;23.35
3623;44.69;23.35
3727;44.70;23.35
3830;44.72;23.35
3933;44.74;23.35
4036;44.75;23.35
4139;44.78;23.36
4242;44.79;23.35
5
4345;44.81;23.35
4448;44.83;23.35
4551;44.82;23.35
4654;44.87;23.35
4757;44.90;23.35
4860;44.89;23.35
4964;44.93;23.36
6
5067;44.94;23.35
5170;44.97;23.36
5273;44.98;23.36
5376;45.00;23.35
5479;45.02;23.36
5582;45.03;23.36
5685;45.06;23.35
5788;45.08;23.35
5891;45.09;23.35
5994;45.12;23.36
7
6097;45.13;23.36
6200;45.15;23.36
6303;45.18;23.35
6406;45.21;23.36
6509;45.20;23.36
6612;45.24;23.36
6716;45.26;23.36
6819;45.27;23.35
8
6922;45.29;23.36
7025;45.30;23.35
7128;45.33;23.36
7231;45.35;23.36
7334;45.35;23.36
7437;45.35;23.36
7540;45.29;23.35
7643;45.06;23.36
7746;44.74;23.36
7849;44.31;23.36
7953;43.81;23.37
8056;43.22;23.37
9
8159;42.55;23.37
8262;41.23;23.37
8365;40.56;23.37
8468;39.87;23.37
8571;39.16;23.37
8674;38.47;23.36
8777;37.75;23.37
8880;37.08;23.37
10
8983;36.41;23.37
9086;35.77;23.37
9190;35.14;23.37
9293;34.52;23.37
9396;33.95;23.37
9499;33.33;23.37
9602;32.78;23.37
11
9705;32.26;23.37
9808;31.20;23.37
9911;30.72;23.37
10014;30.24;23.37
10117;29.79;23.37
10220;29.33;23.37
10323;28.90;23.37
12
10427;28.48;23.37
10530;28.06;23.37
10633;27.67;23.37
10736;27.31;23.37
10839;26.95;23.37
10942;26.60;23.37
11045;26.26;23.38
11148;25.93;23.38
11251;25.64;23.37
11354;25.31;23.37
11457;24.75;23.38
11560;24.48;23.38
11664;24.22;23.38
11767;23.97;23.38
11870;23.74;23.38
11973;23.50;23.38
12076;23.26;23.38
12179;23.05;23.38
13
12282;22.83;23.38
12385;22.62;23.38
12488;22.43;23.38
12591;22.22;23.38
12694;22.03;23.38
12797;21.84;23.38
12901;21.66;23.38
14
13004;21.33;23.39
13107;21.15;23.38
13210;20.98;23.39
13313;20.83;23.39
13416;20.68;23.39
13519;20.54;23.39
13622;20.39;23.39
13725;20.25;23.39
15
13828;20.10;23.39
13931;19.98;23.39
14034;19.86;23.39
14138;19.73;23.40
14241;19.63;23.39
14344;19.49;23.39
14447;19.38;23.39
16
14550;19.27;23.39
14653;19.04;23.40
14756;18.94;23.40
14859;18.84;23.40
14962;18.74;23.40
15065;18.65;23.40
15168;18.56;23.40
15271;18.46;23.40
15375;18.38;23.39
17
15478;18.29;23.40
15581;18.20;23.41
15684;18.11;23.40
15787;18.02;23.41
15890;17.95;23.40
15993;17.86;23.41
16096;17.79;23.41
16199;17.69;23.41
18
16302;17.52;23.41
16405;17.45;23.41
16508;17.37;23.41
16612;17.29;23.42
16715;17.23;23.41
16818;17.16;23.41
16921;17.10;23.41
17024;17.03;23.41
19
17127;16.97;23.42
17230;16.91;23.41
17333;16.84;23.42
17436;16.79;23.42
17539;16.73;23.42
17642;16.65;23.42
17745;16.59;23.42
17848;16.55;23.42
20
17951;16.43;23.42
18054;16.38;23.42
18157;16.32;23.42
18260;16.25;23.42
18364;16.21;23.42
18467;16.14;23.42
18570;16.08;23.42
18673;16.04;23.42
18776;15.98;23.43
18879;15.93;23.43
18982;15.88;23.43
19085;15.82;23.43
19188;15.77;23.43
19291;15.75;23.43
19394;15.67;23.43
19497;15.61;23.43
19601;15.55;23.43
19704;15.51;23.43
19807;15.46;23.43
19910;15.42;23.43
20013;15.37;23.43
20116;15.33;23.43
20219;15.29;23.43
20322;15.25;23.43
20425;15.21;23.43
20528;15.17;23.43
20631;15.14;23.43
20734;15.10;23.44
20838;15.06;23.44
20941;15.01;23.43
21044;14.98;23.44
21147;14.91;23.43
21250;14.88;23.44
21353;14.84;23.43
21456;14.81;23.43
21559;14.77;23.44
21662;14.73;23.44
21765;14.69;23.44
21868;14.65;23.44
21971;14.62;23.44
22075;14.58;23.44
22178;14.55;23.44
22281;14.51;23.44
22384;14.48;23.44
22487;14.42;23.45
22590;14.40;23.44
22693;14.38;23.44
22796;14.30;23.44
22899;14.27;23.45
23002;14.24;23.45
23105;14.21;23.44
23208;14.17;23.45
23312;14.15;23.44
23415;14.12;23.45
23518;14.10;23.45
23621;14.06;23.45
23724;14.04;23.44
23827;14.00;23.45
23930;13.97;23.46
24033;13.95;23.46
24136;13.92;23.46
24239;13.88;23.46
24342;13.84;23.46
24445;13.80;23.46
24549;13.78;23.46
24652;13.73;23.46
24755;13.72;23.46
24858;13.69;23.46
24961;13.67;23.46
25064;13.64;23.46
25167;13.62;23.46
25270;13.59;23.46
25373;13.55;23.46
25476;13.54;23.46
25579;13.50;23.46
25682;13.50;23.46
25786;13.44;23.47
25889;13.45;23.46
25992;13.38;23.46
26095;13.36;23.46
26198;13.34;23.46
26301;13.32;23.46
26404;13.29;23.47
26507;13.26;23.46
26610;13.24;23.46
26713;13.20;23.46
26816;13.19;23.46
26919;13.16;23.46
27023;13.13;23.46
27126;13.12;23.47
27229;13.08;23.47
27332;13.06;23.47
27435;13.06;23.47
27538;13.01;23.47
27641;12.98;23.47
27744;12.96;23.47
27847;12.94;23.47
27950;12.93;23.47
28053;12.91;23.47
28156;12.89;23.47
28260;12.86;23.47
28363;12.84;23.47
28466;12.82;23.47
28569;12.80;23.47
28672;12.78;23.47
28775;12.77;23.47
28878;12.76;23.47
28981;12.74;23.47
29084;12.71;23.47
29187;12.67;23.47
29290;12.64;23.47
29393;12.63;23.47
29496;12.60;23.47
29599;12.59;23.47
29702;12.57;23.47
29805;12.55;23.47
29908;12.52;23.47
30012;12.50;23.48
30115;12.48;23.47
