=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 21:02:08 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;27.99;23.58
325;28.01;23.58
428;28.04;23.58
531;28.06;23.58
634;28.09;23.58
737;28.11;23.58
840;28.13;23.59
943;28.15;23.58
1046;28.19;23.59
1149;28.21;23.59
1253;28.23;23.59
1356;28.26;23.59
1459;28.29;23.59
1562;28.32;23.59
1665;28.32;23.59
1768;28.38;23.59
1871;28.40;23.58
1974;28.42;23.58
2077;28.46;23.59
2180;28.47;23.59
2283;28.50;23.59
2386;28.53;23.59
2490;28.55;23.59
2593;28.58;23.59
2696;28.61;23.59
2799;28.63;23.59
2902;28.66;23.59
3005;28.67;23.59
3108;28.73;23.59
3211;28.73;23.59
3314;28.75;23.60
3417;28.79;23.59
3520;28.82;23.59
3623;28.84;23.59
3727;28.86;23.59
3830;28.89;23.59
3933;28.91;23.59
4036;28.94;23.59
4139;28.97;23.59
4242;28.99;23.59
4345;29.01;23.59
4448;29.03;23.59
4551;29.06;23.59
4654;29.09;23.60
4757;29.09;23.59
4860;29.12;23.60
4964;29.18;23.60
5067;29.20;23.60
5170;29.24;23.60
5273;29.26;23.60
5376;29.28;23.61
5479;29.30;23.61
5582;29.33;23.61
5685;29.36;23.61
5788;29.38;23.61
5891;29.39;23.61
5994;29.43;23.61
6097;29.45;23.61
6200;29.46;23.62
6303;29.49;23.62
6406;29.51;23.62
6509;29.53;23.62
6612;29.60;23.62
6716;29.61;23.62
6819;29.64;23.62
6922;29.65;23.62
7025;29.69;23.62
7128;29.71;23.61
7231;29.73;23.61
7334;29.75;23.61
7437;29.78;23.61
7540;29.80;23.61
7643;29.82;23.61
7746;29.85;23.61
7849;29.87;23.61
7953;29.90;23.61
8056;29.91;23.61
8159;29.95;23.62
8262;29.98;23.61
8365;30.00;23.62
8468;30.03;23.62
8571;30.05;23.61
8674;30.07;23.61
8777;30.09;23.62
8880;30.10;23.61
8983;30.13;23.61
9086;30.15;23.62
9190;30.17;23.62
9293;30.19;23.61
9396;30.24;23.61
9499;30.26;23.62
9602;30.25;23.62
9705;30.26;23.62
9808;30.32;23.62
9911;30.34;23.62
10014;30.36;23.62
10117;30.39;23.62
10220;30.42;23.62
10323;30.43;23.62
10427;30.45;23.62
10530;30.48;23.62
10633;30.50;23.62
10736;30.51;23.62
10839;30.53;23.62
10942;30.56;23.62
11045;30.58;23.62
11148;30.61;23.62
11251;30.60;23.62
11354;30.66;23.63
11457;30.69;23.62
11560;30.71;23.63
11664;30.74;23.63
11767;30.75;23.63
11870;30.77;23.63
11973;30.79;23.63
12076;30.82;23.63
12179;30.84;23.63
12282;30.85;23.63
12385;30.87;23.63
12488;30.89;23.63
12591;30.92;23.63
12694;30.93;23.63
12797;30.97;23.63
12901;30.96;23.63
13004;30.97;23.63
13107;31.03;23.63
13210;31.05;23.63
13313;31.06;23.63
13416;31.10;23.63
13519;31.12;23.63
13622;31.14;23.63
13725;31.15;23.63
13828;31.16;23.63
13931;31.19;23.63
14034;31.21;23.63
14138;31.23;23.63
14241;31.24;23.63
14344;31.27;23.63
14447;31.28;23.63
14550;31.29;23.64
14653;31.34;23.63
14756;31.37;23.64
14859;31.39;23.63
14962;31.40;23.63
15065;31.42;23.63
15168;31.43;23.63
15271;31.46;23.63
15375;31.47;23.64
15478;31.49;23.64
15581;31.51;23.64
15684;31.53;23.64
15787;31.55;23.64
15890;31.55;23.64
15993;31.58;23.64
16096;31.59;23.64
16199;31.64;23.64
16302;31.66;23.64
16405;31.67;23.64
16508;31.69;23.64
16612;31.72;23.64
16715;31.73;23.64
16818;31.75;23.64
16921;31.76;23.64
17024;31.78;23.64
17127;31.81;23.64
17230;31.83;23.64
17333;31.85;23.64
17436;31.85;23.64
17539;31.90;23.64
17642;31.91;23.64
17745;31.92;23.64
17848;31.92;23.64
17951;31.96;23.65
18054;32.00;23.64
18157;32.01;23.64
18260;32.03;23.64
18364;32.04;23.64
18467;32.05;23.64
18570;32.08;23.64
18673;32.11;23.64
18776;32.13;23.64
18879;32.14;23.64
18982;32.17;23.65
19085;32.16;23.65
19188;32.20;23.64
19291;32.24;23.65
19394;32.23;23.65
19497;32.27;23.65
19601;32.29;23.65
19704;32.31;23.65
19807;32.33;23.65
19910;32.35;23.65
20013;32.37;23.65
20116;32.38;23.65
20219;32.40;23.65
20322;32.43;23.65
20425;32.44;23.65
20528;32.45;23.65
20631;32.47;23.66
20734;32.49;23.65
20838;32.53;23.65
20941;32.54;23.66
21044;32.55;23.65
21147;32.60;23.66
21250;32.61;23.65
21353;32.63;23.65
21456;32.64;23.65
21559;32.66;23.66
21662;32.67;23.66
21765;32.70;23.66
21868;32.72;23.66
21971;32.73;23.66
22075;32.75;23.66
22178;32.76;23.66
22281;32.79;23.66
22384;32.81;23.67
22487;32.81;23.66
22590;32.84;23.66
22693;32.84;23.66
22796;32.90;23.66
22899;32.92;23.66
23002;32.93;23.66
23105;32.95;23.66
23208;32.97;23.66
23312;32.98;23.66
23415;33.00;23.67
23518;33.01;23.67
23621;33.04;23.67
23724;33.05;23.66
23827;33.07;23.67
23930;33.08;23.67
24033;33.13;23.66
24136;33.10;23.66
24239;33.10;23.66
24342;33.17;23.66
24445;33.19;23.66
24549;33.20;23.66
24652;33.24;23.67
24755;33.25;23.67
24858;33.27;23.67
24961;33.28;23.67
25064;33.31;23.67
25167;33.32;23.67
25270;33.34;23.67
25373;33.35;23.67
25476;33.37;23.67
25579;33.37;23.67
25682;33.37;23.67
25786;33.43;23.67
25889;33.47;23.67
25992;33.49;23.67
26095;33.50;23.67
26198;33.52;23.67
26301;33.54;23.67
26404;33.56;23.67
26507;33.58;23.67
26610;33.60;23.67
26713;33.61;23.67
26816;33.63;23.67
26919;33.64;23.67
27023;33.67;23.68
27126;33.68;23.67
27229;33.72;23.67
27332;33.70;23.67
27435;33.74;23.67
27538;33.76;23.67
27641;33.79;23.67
27744;33.81;23.68
27847;33.82;23.68
27950;33.85;23.68
28053;33.86;23.68
28156;33.87;23.67
28260;33.90;23.67
28363;33.91;23.68
28466;33.92;23.67
28569;33.95;23.68
28672;33.96;23.68
28775;33.99;23.68
28878;33.99;23.68
28981;34.01;23.68
29084;34.00;23.68
29187;34.06;23.68
29290;34.08;23.68
29393;34.11;23.68
29496;34.13;23.69
29599;34.13;23.68
29702;34.15;23.68
29805;34.17;23.68
29908;34.18;23.68
30012;34.21;23.68
30115;34.22;23.68
30218;34.24;23.68
30321;34.26;23.68
30424;34.29;23.68
30527;34.32;23.68
30630;34.32;23.68
30733;34.33;23.68
30836;34.36;23.68
30939;34.39;23.68
31042;34.40;23.68
31145;34.42;23.68
31249;34.42;23.68
31352;34.44;23.69
31455;34.47;23.69
31558;34.48;23.69
31661;34.50;23.69
31764;34.51;23.69
31867;34.52;23.68
31970;34.56;23.69
32073;34.57;23.69
32176;34.58;23.69
32279;34.59;23.69
32382;34.61;23.69
32486;34.66;23.69
32589;34.67;23.69
32692;34.68;23.69
32795;34.70;23.69
