=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 21:08:54 =~=~=~=~=~=~=~=~=~=~=~=
I received: 
inpsec      humid
inI received: humid
soec   pect;
I received: inspect
inspecting
time;humidity
645834;10426305
645858;10427196
645885;10426988
645911;10427369
645937;10427126
645963;10426968
645990;10426940
646016;10426610
646042;10427284
646069;10426906
646094;10427121
646121;10426556
646147;10426694
646173;10426541
646199;10426615
646226;10426669
646252;10426674
646278;10426546
646304;10426885
646330;10426684
646357;10426763
646382;10426767
646409;10426601
646435;10426644
646462;10426526
646488;10426664
646514;10426428
646540;10426034
646567;10426349
646592;10426325
646619;10426915
646645;10427181
646672;10427013
646697;10426625
646724;10426910
646750;10426812
646776;10426137
646803;10426512
646828;10426419
646855;10426363
646881;10426738
646907;10426383
646934;10426368
646960;10426492
646986;10426787
647012;10426866
647038;10426200
647065;10426507
647091;10426250
647117;10426468
647143;10426481
647170;10426871
647196;10427116
647222;10427063
647248;10426861
647274;10426541
647300;10426876
647326;10426890
647353;10426895
647379;10426778
647405;10427269
647431;10426388
647458;10427137
647484;10426797
647510;10426722
647537;10426768
647563;10426792
647589;10426629
647615;10426950
647642;10426930
647668;10426852
647694;10426762
647720;10426817
647747;10426768
647773;10427161
647799;10426669
647825;10426777
647851;10426674
647877;10426246
647903;10426458
647929;10426240
647956;10426591
647982;10426960
648008;10427216
648035;10427279
648061;10426998
648087;10426763
648113;10427038
648139;10427073
648166;10426955
648192;10427196
648218;10426940
648244;10426719
648270;10427028
648297;10426443
648323;10426388
648349;10426162
648375;10426413
648402;10426507
648427;10426697
648454;10426320
648480;10426354
648506;10426614
648533;10426418
648559;10426556
648585;10426689
648611;10426497
648638;10426486
648663;10426472
648690;10426348
648716;10426517
648743;10426978
648769;10426645
648795;10426083
648821;10426384
648847;10426694
648873;10427206
648900;10426783
648926;10426762
648952;10426994
648978;10426373
649005;10426448
649030;10426581
649057;10426639
649083;10426280
649109;10426482
649136;10426358
649162;10426522
649188;10426644
649214;10426604
649240;10426399
649266;10427023
649293;10426088
649319;10426491
649345;10426748
649372;10426408
649398;10426320
649424;10425911
649450;10426438
649476;10426098
649503;10426216
649529;10426290
649555;10425931
649581;10425861
649608;10426497
649634;10425626
649660;10426358
649686;10425931
649713;10426177
649738;10426098
649764;10425670
649791;10425806
649817;10426049
649843;10426015
649869;10425916
649896;10426142
649922;10426024
649948;10425695
649975;10425512
650000;10425261
650027;10426147
650053;10426389
650079;10427018
650106;10426212
650131;10425670
650158;10425261
650184;10426064
650210;10425768
650236;10425718
650263;10425734
650289;10425685
650315;10425660
650342;10425513
650368;10425673
650394;10425646
650420;10426323
650446;10425335
650472;10425660
650498;10426162
650525;10425985
650551;10425708
650577;10425768
650604;10425980
650630;10425695
650656;10425557
650682;10425552
650708;10425941
650735;10425709
650761;10425222
650787;10425832
650813;10426107
650839;10425512
650866;10426202
650891;10426069
650918;10425753
650944;10425695
650971;10425685
650997;10425580
651023;10425655
651050;10426477
651075;10425964
651102;10426261
651128;10425778
651154;10425610
651180;10425798
651206;10426069
651233;10425793
651259;10425906
651285;10425698
651312;10425965
651338;10425975
651364;10425881
651390;10425748
651416;10425453
651443;10425886
651469;10425231
651495;10425434
651521;10425330
651547;10425753
651573;10425320
651600;10425749
651626;10425718
651652;10425202
651678;10426132
651705;10426020
651731;10426005
651757;10425206
651783;10425557
651809;10425453
651836;10425345
651862;10425527
651889;10425438
651915;10425324
651940;10425463
651967;10425733
651993;10425419
652019;10425936
652046;10425434
652071;10425414
652098;10425861
652124;10426083
652151;10426679
652177;10426122
652203;10425360
652229;10424857
652255;10425291
652282;10424995
652307;10425404
652334;10425698
652360;10425557
652386;10425832
652413;10425620
652439;10425507
652464;10425955
652491;10426216
652517;10425557
652544;10425168
652569;10424912
652596;10425586
652622;10425374
652648;10425823
652674;10425665
652701;10425560
652727;10425217
652753;10425527
652779;10425462
652805;10425453
652832;10425547
652858;10425547
652884;10425693
652911;10425458
652937;10425675
652963;10425974
652989;10425646
653016;10425424
653041;10425690
653068;10425330
653094;10425370
653120;10425379
653146;10425286
653173;10425743
653199;10425537
653225;10425202
653251;10425113
653278;10425626
653304;10425453
653330;10425236
653356;10425547
653383;10425315
653408;10425409
653435;10425842
653461;10425552
653487;10425385
653514;10425749
653540;10425532
653566;10425660
653592;10426235
653618;10425581
653645;10425813
653671;10425527
653697;10424798
653723;10424837
653749;10425728
653776;10425340
653802;10425590
653828;10425566
653854;10425310
653880;10425379
653907;10425202
653933;10425527
653959;10425226
653986;10425369
654011;10425040
654038;10425286
654064;10425335
654090;10425400
654117;10425635
654142;10425261
654168;10425359
654195;10425493
654221;10425437
654248;10425424
654274;10425552
654300;10425143
654326;10425216
654353;10425537
654378;10425089
654405;10425319
654431;10425650
654457;10425409
654484;10425329
654510;10425620
654536;10425064
654562;10425522
654588;10425040
654615;10425103
654641;10425114
654667;10425201
654693;10425227
654719;10425291
654745;10425306
654772;10425226
654798;10425695
654824;10425576
654851;10425570
654877;10425513
654903;10425319
654929;10425438
654956;10425000
654982;10425424
655008;10425276
655034;10425512
655061;10425429
655086;10425512
655112;10425138
655139;10425197
655165;10425507
655191;10425251
655217;10425251
655244;10425114
655270;10425266
655296;10425216
655323;10425108
655349;10425059
655375;10425635
655401;10425650
655427;10425192
655453;10425040
655479;10425522
655505;10425207
655532;10425109
655558;10425429
655584;10425473
655611;10425507
655637;10425911
655663;10425020
655690;10425615
655715;10425395
655742;10425448
655768;10425394
655794;10425941
655820;10425852
655846;10425970
655873;10425374
655899;10425173
655925;10425143
655952;10425276
655977;10425320
656003;10425964
656030;10425409
656056;10425124
656083;10425344
656108;10425236
656135;10425286
656161;10425709
656188;10425414
656213;10425575
656239;10425527
656266;10425537
656292;10425832
656318;10425527
656345;10425680
656371;10425596
656397;10425980
656423;10425409
656449;10425808
656476;10425452
656502;10425719
656528;10425630
656554;10425487
656580;10425330
656607;10425216
656633;10425399
656659;10424779
656686;10424912
656712;10425724
656738;10425015
656764;10425088
656790;10425103
656816;10425294
656843;10425222
656869;10425394
656895;10425020
656922;10425537
656947;10425015
656974;10425186
657000;10425114
657027;10425409
657052;10424936
657079;10425384
657105;10424873
657131;10425438
657157;10424818
657184;10425133
657209;10424812
657236;10424917
657263;10424749
657288;10424715
657315;10425118
657341;10425201
657367;10424892
657393;10424878
657420;10425364
657445;10424832
657472;10424818
657498;10424931
657524;10424902
657550;10425043
657577;10425187
657603;10425113
657629;10425158
657655;10424936
657682;10424764
657708;10424641
657734;10424912
657761;10424797
657787;10424961
657813;10424867
657839;10424912
657865;10424921
657891;10424807
657918;10424843
657944;10425434
657970;10425242
657997;10425660
658022;10424719
658049;10425419
658075;10424395
658101;10425537
658128;10424774
658153;10425186
658180;10425128
658206;10425247
658232;10425236
658259;10425434
658285;10425221
658311;10425158
658337;10424990
658363;10424631
658389;10424464
658415;10424744
658442;10424965
658468;10424454
658494;10425251
658520;10424724
658547;10424710
658573;10424709
658600;10424774
658626;10424626
658652;10424675
658678;10425123
658704;10424744
658731;10425153
658757;10424542
658782;10424925
658809;10424380
658835;10424675
658861;10424724
658887;10424503
658914;10424523
658940;10424626
658967;10424695
658992;10424798
659019;10424551
659045;10424749
659071;10424873
659097;10425054
659123;10425025
659149;10424596
659176;10424499
659202;10425084
659229;10424616
659254;10424798
659281;10424902
659307;10424719
659333;10424715
659359;10424129
659385;10424449
659412;10424478
659438;10424306
659464;10424232
659491;10424439
659516;10424341
659543;10424015
659569;10424182
659595;10424286
659622;10424493
659648;10424936
659674;10424280
659700;10424025
659726;10424454
659753;10424689
659778;10425030
659805;10424931
659832;10424532
659857;10424546
659884;10424562
659910;10425015
659936;10424749
659962;10424463
659989;10424148
660014;10424247
660041;10424931
660067;10424546
660094;10424286
660119;10424463
660146;10424612
660172;10424380
660198;10424848
660225;10424124
660251;10424644
660277;10424311
660304;10424680
660329;10424380
660356;10424320
660382;10424754
660408;10424242
660434;10424528
660461;10424532
660486;10424478
660513;10424611
660539;10424326
660565;10424350
660591;10424139
660618;10424079
660644;10424345
660670;10424158
660696;10424532
660722;10424049
660749;10424193
660775;10424158
660801;10423936
660828;10424784
660854;10423883
660880;10423848
660906;10423848
660932;10424114
660959;10424366
660984;10423947
661011;10424276
661037;10424232
661063;10424360
661089;10423927
661116;10423946
661142;10424310
661168;10424223
661195;10424694
661221;10424331
661247;10424142
661273;10424015
661299;10424409
661326;10424163
661352;10424272
661378;10424325
661404;10424267
661430;10424409
661457;10424144
661483;10424233
661509;10424356
661535;10424039
661561;10424381
661588;10424015
661614;10424577
661640;10424744
661666;10424232
661693;10423991
661719;10424247
661745;10424404
661771;10424139
661798;10424144
661824;10423823
661850;10424025
661876;10423630
661903;10423588
661928;10423523
661955;10424139
661981;10424552
662007;10423921
662033;10424291
662060;10423868
662086;10424237
662112;10423932
662138;10424483
662165;10424049
662191;10424129
662217;10424020
662243;10423883
662269;10423813
662296;10423764
662322;10424158
662348;10424001
662374;10424280
662401;10423735
662426;10424370
662453;10424257
662479;10423922
662505;10423873
662531;10424498
662558;10424139
662584;10424040
662610;10424646
662636;10424208
662662;10424232
662689;10423906
662715;10424321
662742;10423793
662767;10423799
662793;10424119
662820;10423868
662846;10424104
662872;10423508
662898;10423833
662925;10423794
662951;10423906
662977;10423470
663003;10423341
663029;10424054
663056;10423646
663082;10423902
663108;10423878
663134;10423828
663160;10423883
663187;10423961
663213;10423385
663240;10424059
663265;10423902
663292;10423853
663318;10424227
663344;10423962
663370;10423627
663397;10424049
663423;10423774
663449;10423361
663475;10423813
663502;10424252
663528;10423701
663554;10423951
663580;10424616
663606;10424262
663632;10423789
663658;10423710
663685;10423764
663711;10423700
663738;10423971
663764;10423809
663790;10423883
663816;10424232
663842;10423961
663869;10423469
663895;10423946
663921;10423917
663947;10423764
663974;10423636
663999;10423976
664026;10423522
664052;10424148
664078;10423641
664104;10424114
664130;10423897
664156;10423808
664183;10423661
664209;10424044
664235;10423661
664261;10423868
664288;10423838
664314;10424089
664341;10423824
664366;10423843
664393;10424542
664419;10424232
664445;10424212
664471;10424222
664497;10423977
664524;10424075
664550;10423986
664576;10423409
664603;10423518
664629;10424089
664654;10423774
664681;10423715
664707;10424001
664734;10423508
664760;10423774
664785;10424074
664812;10423868
664838;10424272
664864;10423537
664891;10424774
664917;10423804
664944;10423931
664969;10424301
664995;10424099
665022;10423941
665048;10423878
665074;10423671
665100;10423193
665127;10424227
665153;10423262
665179;10423577
665206;10423764
665231;10423665
665258;10423755
665284;10423612
665310;10423848
665337;10423415
665362;10423341
665389;10423612
665415;10423740
665441;10424300
665467;10423583
665494;10423262
665520;10423238
665546;10423395
665573;10423238
665599;10423095
665624;10423646
665651;10423031
665677;10423336
665704;10423430
665729;10423622
665756;10423199
665782;10423238
665808;10423364
665834;10423134
665860;10423459
665886;10423164
665913;10423321
665940;10423144
665965;10423715
665991;10423247
666018;10422942
666044;10423055
666070;10423149
666097;10423366
666123;10423085
666149;10423454
666175;10423100
666201;10423164
666227;10423163
666254;10423307
666280;10423168
666307;10422967
666333;10423311
666359;10423267
666385;10423134
666412;10423419
666437;10422933
666464;10423302
666490;10423095
666516;10423110
666543;10423208
666568;10423941
666594;10423435
666621;10423208
666648;10423321
666673;10423174
666699;10423650
666726;10423174
666752;10423261
666778;10423370
666804;10423100
666831;10422972
666857;10423351
666883;10423242
666909;10423494
666936;10423021
666962;10422794
666988;10422789
667014;10423434
667040;10423720
667067;10423631
667093;10423838
667119;10423774
667145;10423208
667172;10423553
667197;10422917
667224;10423277
667250;10423823
667277;10423114
667303;10423419
667329;10424587
667355;10423863
667381;10423641
667408;10423341
667434;10423404
667460;10423390
667486;10423149
667512;10423101
667539;10423351
667564;10423247
667591;10423134
667617;10423336
667643;10423046
667669;10423306
667696;10423105
667722;10423385
667749;10423356
667775;10423341
667800;10423793
667827;10422996
667853;10423110
667879;10423439
667906;10423459
667931;10423435
667958;10423272
667984;10423706
668011;10423370
668037;10422769
668063;10423331
668089;10423086
668115;10422814
668142;10423281
668168;10422829
668194;10423395
668220;10423238
668246;10422381
668273;10422927
668299;10422750
668325;10422853
668351;10423105
668377;10422903
668404;10423006
668430;10422769
668456;10423214
668482;10422682
668508;10423474
668535;10422754
668561;10423342
668588;10422528
668613;10423247
668639;10423114
668666;10423351
668692;10422942
668718;10423154
668744;10422912
668770;10423105
668797;10422706
668823;10423508
668849;10423400
668875;10422779
668902;10423159
668928;10423233
668954;10422917
668980;10422996
669007;10423228
669033;10423286
669059;10423233
669085;10423370
669111;10423100
669137;10423301
669164;10423204
669190;10423188
669217;10422996
669243;10423218
669269;10423469
669295;10423336
669321;10422824
669347;10422499
669374;10423153
669400;10422928
669426;10422839
669453;10423375
669479;10422460
669505;10423660
669531;10422672
669557;10422858
669583;10423194
669610;10423060
669636;10423010
669662;10422883
669688;10422657
669714;10422405
669740;10422902
669767;10423390
669793;10422735
669820;10422952
669845;10423326
669872;10422702
669898;10422721
669924;10423404
669950;10422795
669976;10422779
670003;10423026
670029;10422716
670055;10422858
670082;10422922
670108;10423159
670134;10422677
670160;10422794
670186;10422745
670213;10423055
670239;10422627
670265;10422779
670291;10422755
670317;10423218
670344;10422667
670370;10422617
670396;10422529
670422;10422784
670449;10422612
670474;10422952
670501;10422765
670527;10422612
670554;10422593
670579;10422740
670606;10422893
670632;10423366
670658;10422942
670684;10422474
670710;10422661
670737;10422868
670763;10422764
670789;10422878
670816;10423154
670842;10422991
670868;10423193
670894;10422573
670921;10423050
670946;10422588
670973;10422593
670999;10422825
671025;10422307
671051;10423129
671078;10422867
671104;10422612
671130;10422745
671157;10422952
671182;10423164
671209;10422612
671235;10422514
671261;10422730
671287;10422927
671314;10422903
671340;10422912
671366;10422263
671392;10422488
671419;10422627
671445;10422903
671470;10422390
671497;10423189
671523;10422430
671549;10422819
671575;10422760
671602;10422568
671628;10422390
671654;10422943
671680;10422631
671707;10423154
671733;10422716
671759;10422513
671785;10423277
671812;10422612
671838;10423110
671864;10422863
671890;10422617
671916;10422637
671942;10422878
671969;10422646
671995;10422785
672021;10422450
672048;10422464
672074;10422430
672100;10422829
672126;10422676
672153;10422441
672178;10422903
672205;10423474
672231;10422730
672257;10422430
672284;10422391
672310;10422071
672336;10422455
672362;10422051
672389;10422410
672414;10423071
672441;10422474
672467;10422361
672494;10422775
672519;10423045
672546;10422932
672572;10423199
672598;10422719
672625;10422922
672651;10422957
672676;10423395
672703;10422888
672729;10422494
672755;10422553
672782;10422371
672807;10422341
672834;10422263
672860;10422519
672887;10422494
672913;10422666
672938;10422327
672965;10422617
672991;10422125
673018;10422484
673044;10422692
673069;10422646
673096;10422548
673122;10422509
673148;10422730
673175;10422656
673201;10422642
673228;10422474
673254;10422218
673279;10422267
673306;10422376
673332;10422735
673358;10422641
673385;10422160
673411;10422425
673437;10422494
673463;10422356
673490;10422130
673515;10422445
673542;10422090
673568;10422528
673594;10422602
673620;10422170
673647;10422721
673673;10422745
673699;10422750
673725;10422701
673751;10422706
673778;10422824
673804;10423056
673830;10423361
673856;10422701
673882;10422834
673908;10422912
673935;10422617
673961;10423449
673988;10422460
674013;10422716
674040;10422436
674066;10422599
674093;10422057
674118;10422242
674144;10422298
674171;10422646
674197;10422706
674223;10422539
674250;10422839
674276;10422242
674302;10422450
674328;10422302
674354;10422341
674381;10422425
674407;10422637
674433;10422646
674459;10422529
674486;10422538
674511;10422612
674538;10422755
674565;10422252
674591;10422204
674616;10422386
674643;10422159
674669;10422696
674695;10421943
674722;10422273
674747;10422199
674774;10423223
674800;10422228
674826;10422322
674852;10422707
674878;10422307
674905;10422031
674932;10422066
674957;10422297
674983;10421810
675010;10422336
675036;10422323
675062;10422327
675089;10422067
675114;10422464
675141;10422523
675167;10421982
675193;10422154
675220;10422238
675246;10422824
675272;10422381
675298;10422420
675324;10422716
675351;10421943
675377;10422139
675403;10422494
675429;10422184
675455;10421997
675482;10422327
675508;10421480
675534;10422341
675560;10421587
675586;10422095
675613;10422248
675639;10422902
675666;10422795
675691;10422051
675717;10422149
675744;10422579
675770;10422400
675796;10422199
675822;10422395
675849;10422052
675875;10422548
675901;10422583
675927;10422440
675954;10422105
675980;10422696
676006;10421982
676032;10422159
676058;10422169
676085;10422494
676110;10422105
676137;10422302
676163;10422016
676189;10421730
676216;10422066
676242;10422430
676268;10422479
676295;10422105
676321;10422440
676347;10422154
676373;10422479
676399;10422179
676425;10422140
676452;10422405
676477;10422568
676504;10422725
676530;10422085
676557;10422504
676583;10421967
676609;10422027
676635;10422194
676661;10422071
676688;10421888
676714;10422568
676740;10421535
676766;10422041
676792;10422139
676819;10422278
676845;10422247
676871;10422268
676897;10422503
676924;10422564
676949;10422094
676976;10422657
677003;10422445
677029;10422469
677054;10422277
677081;10422893
677107;10422455
677133;10422361
677159;10422257
677186;10422597
677212;10422036
677238;10422155
677265;10422022
677291;10421903
677317;10421776
677343;10421853
677369;10421909
677396;10422164
677422;10421824
677448;10421952
677474;10422386
677500;10422076
677526;10422420
677553;10422327
677579;10422174
677605;10422037
677632;10422263
677658;10422356
677684;10422543
677710;10422130
677737;10421873
677763;10421849
677788;10422017
677815;10422415
677841;10422597
677868;10422253
677894;10421623
677920;10421898
677946;10422637
677972;10421923
677998;10422051
678024;10422042
678050;10421943
678077;10421682
678104;10422351
678129;10422400
678155;10422351
678182;10422253
678208;10422528
678234;10422381
678260;10422332
678287;10422218
678313;10422124
678339;10422721
678365;10422204
678391;10422455
678417;10422174
678444;10422140
678470;10422327
678497;10422371
678523;10421957
678548;10422317
678575;10422336
678601;10422002
678628;10422366
678653;10422041
678680;10422381
678706;10422272
678733;10422420
678758;10422436
678785;10422032
678811;10422149
678838;10421914
678863;10422666
678890;10422730
678916;10422223
678942;10422641
678969;10422366
678995;10422006
679020;10422017
679047;10422056
679073;10422460
679099;10422420
679125;10421673
679152;10421889
679178;10422061
679205;10422381
679230;10422440
679257;10421667
679283;10422036
679309;10421839
679335;10422292
679361;10422165
679387;10422124
679414;10421894
679440;10421489
679466;10421800
679493;10421889
679519;10421770
679545;10422085
679571;10421864
679597;10422085
679624;10421824
679650;10421647
679676;10422100
679702;10422006
679729;10422170
679755;10421868
679781;10422120
679807;10422759
679833;10421838
679860;10422469
679886;10422253
679912;10422460
679939;10421913
679965;10422307
679991;10422041
680017;10421791
680043;10422420
680069;10422120
680096;10422144
680122;10421938
680148;10422066
680174;10422253
680200;10421731
680227;10421751
680253;10421829
680279;10422080
680305;10422543
680332;10422396
680358;10422440
680384;10421918
680410;10422455
680436;10422341
680462;10422765
680489;10422144
680515;10422376
680541;10421775
680567;10422504
680594;10422455
680620;10422208
680646;10421790
680673;10421337
680698;10421696
680725;10421943
680751;10421706
680777;10422223
680803;10421716
680829;10422149
680856;10421637
680882;10422090
680908;10421761
680934;10422252
680961;10421819
680987;10421810
681013;10422268
681039;10421810
681066;10421844
681092;10421844
681118;10421933
681144;10422031
681170;10422243
681197;10421667
681223;10422356
681249;10422169
681275;10421913
681301;10421898
681328;10421997
681354;10422085
681380;10421962
681406;10422247
681432;10422052
681459;10421883
681485;10422090
681511;10422080
681538;10421549
681564;10421810
681590;10421377
681616;10422159
681642;10421682
681668;10421726
681695;10422395
681721;10421894
681747;10422189
681773;10422134
681800;10422328
681826;10421909
681852;10422144
681878;10421721
681904;10422022
681931;10422508
681957;10421982
681983;10421731
682009;10421726
682035;10422150
682062;10422184
682088;10422134
682114;10422446
682140;10421961
682166;10421776
682193;10421976
682219;10422100
682245;10422238
682271;10421859
682298;10421781
682324;10421948
682350;10421726
682376;10421913
682403;10422208
682428;10422046
682455;10421800
682481;10421568
682507;10421544
682534;10421834
682560;10421834
682586;10422336
682612;10421805
682639;10421628
