=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 21:10:16 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;100.00;24.24
325;100.00;24.22
428;100.00;24.20
531;100.00;24.19
634;100.00;24.18
737;100.00;24.16
840;100.00;24.15
943;100.00;24.13
1046;100.00;24.12
1149;100.00;24.10
1253;100.00;24.09
1356;100.00;24.07
1459;100.00;24.05
1562;100.00;24.03
1665;100.00;24.02
1768;100.00;23.99
1871;100.00;23.96
1974;100.00;23.95
2077;100.00;23.94
2180;100.00;23.92
2283;100.00;23.91
2386;100.00;23.90
2490;100.00;23.89
2593;100.00;23.87
2696;100.00;23.85
2799;100.00;23.83
2902;100.00;23.82
3005;100.00;23.80
3108;100.00;23.79
3211;100.00;23.77
3314;100.00;23.76
3417;100.00;23.74
3520;100.00;23.73
3623;100.00;23.72
3727;100.00;23.71
3830;100.00;23.69
3933;100.00;23.67
4036;100.00;23.66
4139;100.00;23.64
4242;100.00;23.63
4345;100.00;23.61
4448;100.00;23.59
4551;100.00;23.58
4654;100.00;23.57
4757;100.00;23.55
4860;100.00;23.55
4964;100.00;23.52
5067;100.00;23.52
5170;100.00;23.50
5273;100.00;23.49
5376;100.00;23.48
5479;100.00;23.46
5582;100.00;23.45
5685;100.00;23.44
5788;100.00;23.43
5891;100.00;23.42
5994;100.00;23.41
6097;100.00;23.39
6200;100.00;23.38
6303;100.00;23.37
6406;100.00;23.36
6509;100.00;23.35
6612;100.00;23.32
6716;100.00;23.30
6819;100.00;23.29
6922;100.00;23.27
7025;100.00;23.27
7128;100.00;23.26
7231;100.00;23.25
7334;100.00;23.24
7437;100.00;23.23
7540;100.00;23.22
7643;100.00;23.21
7746;100.00;23.20
7849;100.00;23.20
7953;100.00;23.20
8056;100.00;23.19
8159;100.00;23.18
8262;100.00;23.16
8365;100.00;23.15
8468;100.00;23.14
8571;100.00;23.14
8674;100.00;23.13
8777;100.00;23.12
8880;100.00;23.11
8983;100.00;23.10
9086;100.00;23.09
9190;100.00;23.08
9293;100.00;23.07
9396;100.00;23.07
9499;100.00;23.06
9602;100.00;23.05
9705;100.00;23.04
9808;100.00;23.02
9911;100.00;23.02
10014;100.00;23.01
10117;100.00;23.00
10220;100.00;22.99
10323;100.00;22.99
10427;100.00;22.98
10530;100.00;22.97
10633;100.00;22.96
10736;100.00;22.95
10839;100.00;22.95
10942;100.00;22.94
11045;100.00;22.93
11148;100.00;22.92
11251;100.00;22.91
11354;100.00;22.91
11457;100.00;22.89
11560;100.00;22.89
11664;100.00;22.88
11767;100.00;22.87
11870;100.00;22.86
11973;100.00;22.86
12076;100.00;22.85
12179;100.00;22.85
12282;100.00;22.84
12385;100.00;22.83
12488;100.00;22.83
12591;100.00;22.82
12694;100.00;22.81
12797;100.00;22.81
12901;100.00;22.80
13004;100.00;22.79
13107;100.00;22.79
13210;100.00;22.78
13313;100.00;22.78
13416;100.00;22.77
13519;100.00;22.76
13622;100.00;22.76
13725;100.00;22.75
13828;99.16;22.75
13931;98.03;22.75
14034;96.91;22.74
14138;95.78;22.73
14241;94.75;22.73
14344;93.64;22.72
14447;92.52;22.72
14550;91.57;22.72
14653;89.27;22.71
14756;88.30;22.71
14859;87.32;22.70
14962;86.23;22.69
