=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:16:07 =~=~=~=~=~=~=~=~=~=~=~=
cold;
I received: cold
releasing pressure
depressurization complete
start calibration
time;humidity
30692;10592345
30698;10649365
30724;10592401
30750;10593017
30776;10592493
30803;10593032
30829;10592084
30856;10592714
30882;10592561
30907;10592545
30934;10592626
30960;10592352
30987;10592636
31012;10591818
31039;10592104
31065;10592289
31092;10592478
31117;10592263
31143;10592273
31170;10592089
31196;10592679
31222;10592606
31248;10592510
31275;10592134
31300;10592396
31327;10591348
31354;10591223
31380;10591783
31406;10591505
31432;10591781
31458;10591707
31484;10591414
31511;10592042
31536;10592252
31563;10591966
31590;10592049
31615;10591848
31642;10591649
31668;10591818
31694;10591491
31720;10591607
31747;10591783
31772;10591710
31799;10591875
31825;10591562
31851;10591336
31878;10591547
31904;10592074
31930;10592064
31956;10591343
31983;10591188
32009;10591481
32035;10591572
32061;10591838
32087;10591238
32114;10591459
32139;10591479
32166;10591148
32192;10591117
32218;10591648
32245;10591326
32270;10591628
32297;10591547
32324;10591788
32349;10591700
32376;10591383
32402;10591634
32428;10591675
32455;10591429
32480;10591419
32507;10591434
32533;10591878
32559;10591914
32585;10591414
32612;10591860
32638;10591484
32664;10591321
32691;10591828
32716;10591183
32743;10591311
32769;10591153
32796;10590907
32821;10590608
32848;10590718
32874;10591911
32900;10591781
32926;10591429
32953;10591424
32979;10590834
33005;10590907
33031;10591552
33057;10591424
33084;10591321
33110;10591072
33136;10591301
33162;10591449
33188;10591250
33215;10591238
33241;10591378
33267;10591326
33293;10590841
33320;10590651
33346;10590772
33372;10590993
33398;10590681
33424;10590615
33451;10590844
33477;10590671
33503;10590967
33529;10590718
33555;10590450
33581;10590430
33608;10590900
33634;10590374
33660;10590349
33686;10590804
33713;10590400
33739;10589295
33765;10588944
33791;10588379
33818;10589125
33844;10589032
33870;10588961
33896;10589411
33923;10589190
33948;10588862
33975;10588352
34001;10589002
34028;10589933
34053;10589401
34080;10588874
34106;10589463
34133;10590191
34158;10589381
34185;10589974
34211;10590033
34237;10589263
34263;10590204
34290;10589458
34315;10589835
34342;10590282
34368;10590152
34395;10590063
34420;10590400
34447;10590046
34473;10589903
34499;10590324
34525;10590051
34552;10589662
34577;10590400
34604;10589822
34631;10590149
34656;10589622
34683;10589637
34709;10589830
34735;10589878
34761;10589606
34787;10589544
34814;10589745
34840;10590174
34867;10589669
34892;10590332
34919;10589556
34945;10589810
34971;10589724
34998;10589652
35023;10589564
35050;10589704
35076;10589770
35102;10589950
35128;10589554
35154;10589622
35181;10589110
35207;10589554
35233;10589047
35260;10589027
35286;10589207
35312;10589202
35338;10589968
35364;10589478
35391;10589684
35416;10589360
35443;10589595
35469;10589571
35495;10589350
35521;10589712
35548;10589443
35574;10589755
35600;10590307
35627;10589935
35652;10589662
35679;10589616
35705;10590046
35731;10589945
35758;10590056
35783;10589867
35810;10589313
35836;10589408
35862;10589477
35889;10589216
35915;10589601
35941;10589165
35967;10589893
35993;10589955
36020;10589232
36046;10590149
36072;10589579
36098;10589354
36125;10589413
36150;10589492
36177;10589431
36203;10589253
36229;10589514
36256;10589315
36281;10589376
36308;10589627
36335;10590307
36360;10589052
36387;10589780
36413;10589155
36439;10589089
36465;10589175
36492;10589797
36518;10589185
36544;10589054
36570;10589595
36596;10589135
36622;10589083
36649;10589878
36675;10589172
36701;10588934
36728;10588688
36753;10588685
36780;10588673
36806;10588613
36832;10588914
36859;10589714
36885;10589047
36911;10588776
36937;10589298
36963;10589211
36990;10589416
37016;10589079
37042;10589185
37068;10589238
37094;10589448
37121;10589042
37147;10589478
37173;10589360
37199;10589145
37226;10589371
37252;10589125
37278;10589504
37304;10589534
37330;10589473
37357;10589416
37382;10589253
37409;10589187
37435;10589052
37461;10589207
37488;10589268
37514;10589049
37540;10588545
37567;10588618
37592;10588163
37619;10587973
37645;10588224
37671;10588444
37698;10588407
37723;10588698
37750;10588060
37776;10588035
37803;10588464
37828;10588229
37855;10588080
37881;10588407
37907;10588249
37934;10588301
37959;10588695
37986;10588166
38012;10588143
38038;10588515
38064;10588229
38091;10588407
38117;10588168
38143;10588161
38169;10588362
38196;10588335
38221;10587814
38248;10588321
38274;10588008
38300;10588274
38326;10588623
38353;10588412
38379;10588055
38405;10588439
38431;10588352
38458;10588186
38484;10588567
38510;10588271
38537;10588698
38562;10588389
38589;10588678
38615;10588075
38641;10588311
38668;10588397
38694;10588301
38720;10588274
38746;10587905
38772;10587691
38798;10587255
38825;10587754
38851;10587440
38877;10587516
38903;10588060
38930;10587383
38955;10587257
38982;10587307
39008;10587383
39035;10587661
39060;10587521
39087;10587260
39113;10587322
39139;10587656
39166;10587669
39191;10588091
39218;10587754
39244;10587589
39270;10587297
39296;10587762
39322;10587774
39349;10587423
39376;10587355
39401;10587772
39428;10587322
39454;10587262
39480;10587317
39506;10587255
39532;10586836
39559;10587262
39585;10587297
39611;10586933
39638;10586713
39663;10587661
39690;10587024
39716;10586469
39742;10586886
39768;10587001
39795;10586927
39821;10587107
39847;10586728
39873;10587210
39900;10586795
39926;10587343
39952;10586831
39978;10586553
40004;10586800
40031;10586928
40056;10586607
40083;10586871
40109;10587164
40136;10586575
40161;10586482
40188;10586539
40214;10586585
40240;10586243
40266;10586349
40293;10586371
40319;10586733
