=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:40:55 =~=~=~=~=~=~=~=~=~=~=~=
dry ope       calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1522948;10545758
1522964;10639753
1522990;10545557
1523017;10546006
1523042;10545168
1523069;10544915
1523095;10545013
1523122;10545326
1523148;10545705
1523173;10545648
1523200;10545781
1523226;10545921
1523252;10545893
1523279;10545645
1523304;10545489
1523331;10545552
1523357;10545981
1523384;10545725
1523409;10546072
1523436;10545389
1523462;10545090
1523488;10544977
1523515;10544910
1523540;10544709
1523567;10545371
1523593;10545309
1523619;10545025
1523646;10545188
1523671;10544531
1523698;10544716
1523724;10544483
1523750;10544393
1523777;10544533
1523802;10544332
1523829;10544124
1523855;10544270
1523882;10544849
1523907;10544458
1523934;10544521
1523960;10544390
1523986;10543948
1524013;10544455
1524039;10544962
1524065;10544405
1524091;10544548
1524117;10544593
1524143;10544061
1524170;10544031
1524196;10544538
1524222;10543971
1524249;10543800
1524274;10543790
1524301;10543891
1524327;10543574
1524354;10543758
1524379;10543820
1524406;10543677
1524432;10544626
1524458;10543620
1524484;10543715
1524511;10544290
1524537;10543978
1524563;10544096
1524589;10543820
1524616;10543283
1524642;10544119
1524668;10543369
1524694;10543356
1524720;10543780
1524747;10543968
1524772;10543878
1524799;10543532
1524825;10543931
1524851;10543364
1524878;10543441
1524903;10543795
1524930;10544031
1524957;10543165
1524982;10542992
1525009;10542806
1525035;10542929
1525061;10543125
1525088;10543293
1525113;10543042
1525140;10543047
1525166;10543230
1525192;10544006
1525219;10543283
1525244;10543140
1525271;10543261
1525297;10542673
1525324;10542786
1525350;10543210
1525376;10543978
1525402;10543128
1525428;10542766
1525454;10542746
1525481;10543258
1525506;10543343
1525533;10543165
1525559;10543313
1525585;10543085
1525612;10543933
1525638;10543635
1525664;10543341
1525691;10543609
1525717;10543627
1525743;10543835
1525769;10543760
1525795;10544004
1525821;10544144
1525848;10544260
1525874;10544024
1525900;10544593
1525926;10543795
1525953;10543564
1525978;10543843
1526005;10544327
1526031;10544096
1526057;10544425
1526083;10544277
1526110;10543958
1526136;10543881
1526162;10543517
1526189;10543579
1526214;10543509
1526241;10543441
1526267;10543361
1526293;10543727
1526320;10543479
1526345;10543374
1526372;10543504
1526398;10543461
1526424;10542721
1526450;10542299
1526477;10542869
1526503;10542515
1526529;10542708
1526556;10542648
1526582;10542766
1526608;10542708
1526634;10543062
1526661;10542628
1526686;10542693
1526713;10542949
1526739;10542648
1526765;10543032
1526792;10543263
1526817;10543471
1526844;10543070
1526870;10542713
1526896;10542964
1526922;10542478
1526948;10542470
1526975;10542550
1527001;10542525
1527027;10542914
1527053;10543241
1527080;10542821
1527106;10543564
1527132;10542985
1527158;10543070
1527185;10543446
1527211;10543190
1527237;10543263
1527263;10542904
1527289;10543022
1527316;10543170
1527342;10542904
1527368;10542889
1527394;10542867
1527421;10542944
1527447;10542771
1527473;10543170
1527499;10543625
1527525;10543273
1527551;10543318
1527578;10543369
1527604;10543554
1527630;10543218
1527657;10543604
1527682;10543707
1527709;10543075
1527735;10543492
1527761;10543175
1527788;10543135
1527813;10543210
1527840;10543200
1527866;10542969
1527892;10543007
1527918;10542924
1527945;10543062
1527971;10543333
1527997;10543210
1528024;10543017
1528049;10543241
1528076;10543662
1528102;10543233
1528128;10543604
1528154;10543657
1528181;10543072
1528207;10543612
1528233;10543128
1528260;10543108
1528285;10543155
1528312;10543248
1528338;10543097
1528364;10543406
1528391;10543479
1528416;10543783
1528443;10543481
1528469;10542570
1528496;10542289
1528521;10542314
1528548;10542485
1528574;10542723
1528600;10543153
1528627;10542495
1528652;10542583
1528679;10543155
1528705;10542274
1528731;10543574
1528758;10543135
1528783;10542442
1528810;10542457
1528836;10542244
1528862;10542460
1528888;10542611
1528915;10542262
1528941;10542427
1528967;10542176
1528994;10542741
1529019;10542606
1529046;10542319
1529072;10542347
1529098;10542698
1529125;10542741
1529150;10542616
1529177;10542721
1529203;10542751
1529229;10543190
1529256;10543230
1529282;10543105
1529308;10542741
1529334;10542412
1529361;10543333
1529386;10543032
1529413;10543067
1529439;10543898
1529465;10543032
1529492;10543411
1529518;10543494
1529544;10543416
1529570;10543348
1529596;10543604
1529622;10543165
1529649;10543100
1529675;10543579
1529701;10543293
1529727;10543075
1529754;10543143
1529779;10543183
1529806;10543251
1529832;10543406
1529859;10543805
1529884;10543775
1529911;10543441
1529937;10543313
1529963;10543456
1529990;10543461
1530016;10543486
1530042;10543519
1530068;10543293
1530095;10543514
1530120;10543471
1530147;10543205
1530173;10543517
1530200;10543604
1530225;10542688
1530252;10542480
1530278;10542462
1530304;10543087
1530331;10542472
1530356;10542329
1530382;10542678
1530409;10542613
1530435;10543230
1530462;10542673
1530488;10542570
1530514;10542500
1530540;10543160
1530567;10542093
1530592;10542402
1530619;10542093
1530645;10542575
1530672;10542535
1530697;10542851
1530724;10542836
1530750;10542339
1530776;10542736
1530803;10542904
1530828;10542949
1530855;10543243
1530881;10543358
1530907;10542796
1530933;10543002
1530959;10542570
1530986;10542726
1531012;10542304
1531038;10542440
1531065;10542186
1531090;10542432
1531117;10542028
1531143;10542603
1531169;10542703
1531196;10542342
1531221;10542063
1531248;10542337
1531274;10542274
1531301;10541597
1531326;10542395
1531353;10541476
1531379;10541451
1531405;10540999
1531432;10540999
1531457;10541127
1531484;10541418
1531510;10541787
1531536;10541664
1531562;10541925
1531589;10542091
1531615;10541438
1531641;10540967
1531667;10540861
1531694;10541004
1531720;10540713
1531746;10541072
1531773;10541556
1531798;10540929
1531825;10541471
1531850;10561997
1531877;10541333
1531903;10541725
1531929;10542003
1531956;10541830
1531982;10542033
1532008;10542204
1532034;10541880
1532061;10541991
1532087;10542124
1532113;10541752
1532140;10542131
1532165;10541885
1532192;10541810
1532218;10541609
1532244;10541556
1532270;10541215
1532296;10541398
1532323;10541491
1532349;10541920
1532375;10542146
1532401;10542281
1532428;10542442
1532453;10541875
1532480;10542121
1532506;10542126
1532532;10541740
1532559;10541998
1532585;10542578
1532611;10542048
1532637;10541830
1532664;10542146
1532690;10541940
1532716;10542008
1532742;10542967
1532768;10542636
1532795;10542819
1532821;10542063
1532847;10542565
1532873;10542741
1532899;10542959
1532926;10542480
1532952;10542708
1532978;10542066
1533004;10542355
1533030;10542696
1533057;10542264
1533083;10542899
1533109;10542402
1533135;10542136
1533161;10542196
1533188;10542919
1533214;10542337
1533240;10543077
1533267;10542447
1533292;10542309
1533319;10542457
1533345;10542648
1533371;10542756
1533398;10542874
1533424;10542136
1533450;10542478
1533476;10543118
1533502;10542693
1533529;10542284
1533555;10542545
1533581;10541955
1533607;10542181
1533634;10542008
1533659;10542141
1533686;10542500
1533713;10542460
1533738;10542350
1533765;10542249
1533790;10542078
1533817;10542166
1533843;10542171
1533869;10542003
1533896;10541581
1533922;10541564
1533948;10541644
1533974;10541983
1534001;10541880
1534026;10542417
1534053;10542289
1534079;10542234
1534106;10542972
1534131;10542472
1534158;10542465
1534184;10542422
1534210;10542402
1534237;10542427
1534262;10542638
1534289;10542854
1534315;10542008
1534341;10542294
1534368;10542495
1534394;10542171
1534420;10542239
1534446;10542121
1534473;10542166
1534499;10542244
1534525;10541687
1534551;10541843
1534577;10542229
1534603;10542136
1534630;10541835
1534656;10542186
1534682;10542314
1534708;10542166
1534735;10541526
1534761;10541725
1534787;10541476
1534813;10541275
1534840;10541604
1534865;10541742
1534892;10541574
1534918;10541581
1534944;10541481
1534971;10541634
1534996;10541810
1535023;10541730
1535049;10541634
1535076;10542440
1535101;10542289
1535128;10542352
1535154;10542006
1535180;10541868
1535207;10541986
1535232;10541599
1535259;10541280
1535285;10542023
1535311;10541878
1535338;10542470
1535363;10542723
1535390;10543077
1535416;10543220
1535442;10542786
1535469;10543085
1535495;10542867
1535521;10543062
1535547;10543625
1535574;10543180
1535600;10543087
1535626;10543524
1535652;10543481
1535678;10543057
1535705;10543273
1535731;10543133
1535757;10543524
1535783;10543145
1535810;10543243
1535835;10543200
1535862;10542683
1535888;10543077
1535914;10542831
1535941;10542889
1535967;10543748
1535993;10543228
1536019;10543145
1536046;10543431
1536071;10543579
1536098;10543775
1536124;10543271
1536150;10543554
1536176;10543569
1536203;10543795
1536229;10543534
1536255;10543908
1536281;10544297
1536308;10544076
1536333;10543810
1536360;10543622
1536386;10544362
1536412;10543863
1536439;10544282
1536464;10544142
1536491;10544385
1536517;10543906
1536543;10544199
1536570;10544275
1536596;10544322
1536622;10544332
1536648;10544528
1536675;10544184
1536700;10544114
1536727;10544009
1536753;10543923
1536779;10544094
1536806;10544721
1536832;10544101
1536858;10544154
1536884;10544247
1536910;10543999
1536936;10544380
1536963;10544275
1536989;10544011
1537015;10544523
1537041;10544440
1537068;10544676
1537094;10544649
1537120;10544523
1537146;10544408
1537172;10544744
1537199;10544726
1537225;10544307
1537251;10544644
1537277;10544603
1537304;10544706
1537329;10544696
1537356;10544563
1537382;10544930
1537408;10544418
1537435;10544169
1537461;10544242
1537487;10544169
1537513;10543923
1537540;10543788
1537566;10543795
1537592;10544049
1537618;10543956
1537644;10543835
1537670;10544932
1537697;10544649
1537723;10543916
1537749;10544011
1537775;10543737
1537802;10544654
1537828;10543830
1537854;10543991
1537880;10543783
1537907;10543584
1537933;10543549
1537959;10543072
1537985;10543263
1538011;10543384
1538038;10544004
1538064;10543396
1538090;10543702
1538116;10543594
1538142;10543391
1538169;10543657
1538195;10543574
1538221;10543652
1538247;10543549
1538274;10543569
1538299;10543474
1538326;10543539
1538352;10544034
1538378;10543346
1538405;10543524
1538430;10542668
1538457;10543000
1538483;10543308
1538509;10543138
1538536;10543035
