=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 16:03:44 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
start calibration
235076;10138047
235096;10231173
235123;10138190
235149;10138373
235175;10138001
235201;10138139
235227;10138033
235254;10138204
235280;10138091
235307;10138081
235333;10138132
235358;10138368
235385;10138632
235411;10138364
235438;10138518
235463;10138711
235490;10138603
235516;10137980
235542;10138166
235568;10138303
235594;10138257
235621;10138245
235647;10138023
235673;10138146
235700;10138475
235725;10138644
235752;10138455
235778;10138038
235804;10138431
235830;10138426
235857;10138909
235883;10139755
235909;10140574
235935;10142390
235962;10145177
235988;10147573
236014;10151918
236041;10156652
236066;10161282
236093;10168950
236119;10172442
236145;10175500
236171;10176104
236198;10179104
236224;10183509
236250;10186818
236276;10189477
236303;10191972
236329;10194819
236355;10197462
236381;10200565
236407;10202198
236434;10205551
236460;10209722
236486;10209393
236513;10208485
236538;10212173
236565;10216281
236590;10219632
236617;10220853
236644;10222513
236669;10225486
236696;10226816
236722;10227391
236748;10227598
236775;10228062
236801;10230212
236827;10232993
236853;10237420
236879;10239990
236905;10242615
236932;10244865
236958;10248148
236984;10251171
237010;10252235
237036;10253549
237063;10255538
237089;10257468
237115;10260895
237141;10264016
237167;10265543
237194;10266459
237220;10268777
237246;10271194
237273;10272677
237298;10274257
237325;10277241
237351;10276590
237378;10274203
237403;10273848
237430;10274237
237456;10277097
237482;10280362
237508;10282828
237535;10284271
237561;10284817
237587;10284704
237613;10284399
237639;10284935
237665;10286743
237692;10287304
237718;10286452
237744;10289017
237770;10291287
237797;10292020
237823;10291533
237849;10292128
237875;10294655
237901;10296102
237928;10299026
237954;10300365
237980;10302271
238007;10304161
238032;10305353
238059;10306648
238085;10307071
238111;10306919
238138;10308061
238163;10310818
238190;10315702
238216;10316967
238242;10316765
238268;10318193
238294;10320896
238321;10321290
238347;10321137
238373;10321679
238400;10321339
238426;10322156
238452;10324155
238478;10326907
238505;10328867
238531;10330905
238557;10333480
238583;10335597
238609;10337970
238635;10339580
238662;10341343
238688;10342485
238714;10343031
238740;10343706
238767;10343484
238793;10343612
238819;10344223
238845;10345513
238871;10345862
238898;10346600
238924;10347418
238950;10347413
238977;10348211
239003;10349235
239028;10350539
239055;10350539
239081;10349899
239107;10351111
239134;10352435
239160;10353065
239186;10353941
239212;10355758
239238;10356836
239265;10358269
239291;10358702
239317;10359687
239344;10359525
239369;10360721
239396;10361912
239422;10362926
239448;10363975
239474;10364482
239501;10366392
239527;10367638
239553;10369656
239579;10370444
239605;10370696
239632;10371335
239658;10372374
239684;10372419
239710;10373163
239737;10373600
239763;10375442
239789;10376874
239815;10377800
239842;10378021
239868;10377770
239894;10379690
239920;10382295
239946;10383344
239972;10384436
239998;10385303
240025;10386697
240051;10386765
240077;10386480
240104;10385781
240130;10385456
240156;10385406
240182;10385560
240209;10385308
240234;10385042
240261;10386224
240287;10388011
240314;10389385
240339;10390965
240366;10391088
240392;10391389
240419;10391610
240444;10393106
240470;10393736
240497;10392152
240523;10392742
240550;10394534
240576;10395017
240601;10393781
240628;10392506
240654;10392555
240680;10392359
240707;10393708
240733;10396100
240759;10397784
240785;10397710
240812;10397636
240837;10397124
240864;10398208
240890;10399764
240916;10399822
240942;10398995
240969;10399393
240995;10400693
241021;10402284
241047;10402938
241074;10403239
241100;10404096
241126;10405341
241153;10406615
241178;10407483
241205;10407542
241231;10407448
241257;10407986
241283;10408822
241310;10409782
241335;10410206
241362;10410633
241389;10410979
241414;10411870
241441;10411263
241467;10412046
241493;10412382
241519;10412392
241545;10412352
241572;10412691
241597;10413893
241624;10414538
241650;10415069
241677;10415371
241703;10415369
241729;10415198
241756;10414838
241781;10415006
241808;10415665
241834;10415857
241860;10416601
241886;10416935
241912;10417118
241939;10418122
241965;10417176
241991;10416807
242017;10415951
242044;10415853
242070;10415946
242096;10415886
242122;10415512
242148;10415371
242175;10416034
242201;10416591
242227;10417861
242253;10418246
242280;10418581
242306;10419116
242332;10419633
242358;10420894
242384;10421539
242411;10422632
242437;10423331
242463;10423336
242489;10423366
242515;10423262
242542;10422770
242568;10423685
242594;10425128
242620;10425276
242646;10425670
242673;10426088
242699;10427329
242725;10427525
242751;10428122
242777;10428624
242804;10428968
242830;10429500
242856;10429583
242883;10429338
242908;10429043
242935;10428672
242961;10429161
242987;10428441
243014;10427393
243040;10427467
243066;10427703
243092;10428652
243118;10429826
243145;10430386
243170;10430155
243197;10430012
243223;10430115
243250;10430396
243276;10431061
243302;10431227
243328;10431937
243355;10431947
243380;10432035
243407;10432552
243433;10433011
243459;10433985
243485;10434344
243512;10435408
243538;10435127
243564;10434354
243590;10434374
243617;10434537
243642;10435319
243669;10435925
243695;10436033
243722;10436107
243747;10437875
243774;10438303
243800;10438879
243826;10438593
243852;10439351
243879;10440587
243905;10440637
243931;10441493
243957;10441115
243984;10441556
244009;10441509
244036;10441150
244062;10440587
244088;10440120
244115;10439558
244141;10439436
244167;10439410
244193;10439253
244220;10439854
244246;10440307
244272;10440617
244298;10441267
244324;10440804
244351;10440592
244376;10440740
244403;10441907
244430;10440829
244455;10441237
244482;10440317
244508;10441054
244534;10441651
244560;10441961
244587;10443128
244613;10443591
244639;10443807
244665;10443596
244692;10444718
244717;10445260
244744;10444881
244770;10443920
244796;10442774
244822;10442567
244848;10443734
244875;10443793
244901;10443526
244927;10443232
244954;10443792
244979;10443345
245006;10442843
245032;10443245
245058;10444064
245085;10443940
245110;10444015
245137;10444251
245164;10444763
245189;10444650
245216;10445308
245242;10445890
245268;10445880
245294;10446151
245321;10446555
245346;10446540
245373;10446372
245399;10445082
245426;10444236
245451;10442876
245478;10442833
245504;10444221
245530;10445285
245557;10445672
245582;10446387
245609;10446994
245635;10447582
245661;10447501
245687;10448011
245714;10447993
245740;10448277
245766;10447908
245792;10448249
245818;10448277
245845;10448347
245871;10448430
245897;10448731
245923;10448400
245950;10447978
245976;10447996
246002;10448794
246028;10448515
246054;10448357
246081;10447898
246107;10447815
246133;10448111
246159;10448859
246186;10449333
246212;10449813
246238;10449843
246264;10450942
246290;10452265
246317;10452777
246343;10453103
246369;10452649
246395;10452850
246421;10453432
246448;10453926
246474;10454566
246501;10454918
246526;10455485
246552;10455407
246579;10455908
246605;10455919
246632;10455312
246657;10455337
246684;10455761
246710;10456170
246736;10455879
246763;10455943
246788;10455598
246814;10455244
246841;10454908
246867;10455028
246893;10455051
246919;10454709
246946;10455012
246972;10455422
246998;10455824
247024;10455673
247050;10455595
247077;10456071
247103;10456180
247130;10456233
247155;10456248
247181;10457159
247208;10457628
247234;10457868
247261;10458040
247287;10457992
247312;10458315
247339;10457736
247365;10456223
247392;10455658
247417;10455746
247444;10456189
247470;10456200
247496;10456598
247522;10457041
247549;10457671
247575;10457804
247601;10457593
247627;10457922
247654;10457302
247679;10457444
247706;10457204
247733;10456677
247758;10455836
247785;10455578
247811;10455805
247837;10455633
247863;10456037
247890;10456489
247915;10457056
247942;10457680
247968;10457618
247994;10457804
248020;10458006
248047;10458292
248073;10458110
248100;10458165
248125;10457922
248152;10457986
248178;10459114
248204;10460270
248230;10460641
248257;10461078
248283;10460764
248309;10461532
248335;10461826
248361;10461340
248388;10461791
248414;10461886
248440;10461773
248466;10461931
248492;10461738
248519;10461941
248545;10461926
248571;10461542
248597;10460950
248623;10461329
248650;10461399
248676;10461251
248702;10461182
248728;10460950
248755;10460453
248781;10459666
248807;10459410
248833;10457021
248860;10456676
248886;10457490
248912;10456800
248938;10457617
248964;10457848
248990;10458268
249017;10458543
249043;10458385
249069;10458331
249095;10458292
249122;10458355
249148;10458883
249174;10460242
249200;10460807
249227;10460812
249252;10461610
249279;10461271
249305;10461595
249332;10461901
249358;10461615
249384;10461901
249410;10461866
249436;10462250
249463;10462300
249488;10462817
249515;10463540
249541;10463116
249567;10463379
249594;10463485
249619;10463884
249646;10464702
249672;10464541
249698;10465322
249724;10464835
249751;10465272
249777;10466017
249803;10465013
249829;10464421
249856;10463101
249882;10463088
249908;10462792
249934;10462777
249960;10461949
249987;10461793
250013;10461419
250039;10460877
250065;10460882
250092;10460936
250118;10461276
250144;10461655
250170;10461901
250196;10460684
250223;10458572
250249;10458567
250275;10459665
250302;10461334
250327;10462448
250354;10463221
250380;10463756
250407;10463723
250432;10464213
250458;10463753
250485;10464022
250511;10464639
250537;10464692
250564;10465184
250589;10465465
250616;10465046
250642;10465146
250668;10464873
250695;10465274
250721;10465528
250747;10465334
250773;10465362
250799;10464875
250826;10464130
250852;10463698
250878;10463768
250904;10464152
250930;10465056
250957;10465013
250983;10464883
251009;10465352
251035;10465691
251062;10465992
251088;10466273
251114;10466469
251140;10466584
251166;10466343
251193;10466760
251219;10467207
251245;10467857
251272;10468281
251297;10468582
251324;10468605
