=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:23:17 =~=~=~=~=~=~=~=~=~=~=~=
calibar  ratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2482582;10546518
2482603;10604895
2482656;10548142
2482709;10548378
2482763;10548459
2482816;10548787
2482870;10549217
2482922;10550128
2482976;10550497
2483029;10551348
2483083;10552602
2483136;10553365
2483188;10553217
2483242;10553943
2483296;10554003
2483349;10553772
2483402;10553383
2483455;10554545
2483509;10553875
2483562;10554776
2483615;10555356
2483668;10555745
2483721;10555745
2483775;10556144
2483828;10557045
2483881;10557374
2483935;10557660
2483987;10557943
2484041;10558418
2484094;10558706
2484147;10559181
2484201;10559725
2484253;10559700
2484307;10560022
2484360;10560062
2484414;10560466
2484467;10560350
2484520;10560205
2484574;10560872
2484627;10561096
2484680;10561172
2484733;10561332
2484787;10561849
2484839;10562243
2484893;10562605
2484947;10562585
2484999;10563205
2485053;10563523
2485106;10563456
2485159;10563267
2485212;10563262
2485266;10563548
2485319;10563461
2485372;10563948
2485425;10564389
2485479;10564753
2485532;10564492
2485585;10564808
2485639;10564655
2485692;10564337
2485745;10565177
2485799;10564876
2485851;10564470
2485904;10564721
2485958;10564389
2486011;10564665
2486064;10564690
2486118;10565511
2486171;10566003
2486225;10566279
2486277;10566339
2486331;10566068
2486384;10566073
2486437;10566141
2486490;10566289
2486544;10566550
2486597;10566001
2486650;10566555
2486704;10567220
2486756;10567112
2486810;10567652
2486863;10567288
2486917;10567313
2486970;10567768
2487023;10567923
2487076;10568430
2487130;10569233
2487183;10568516
2487236;10568342
2487289;10568563
2487343;10568121
2487396;10568440
2487449;10568736
2487503;10568603
2487555;10568460
2487609;10568553
2487662;10568982
2487715;10569156
2487768;10569277
2487822;10569688
2487875;10569896
2487928;10570077
2487982;10570205
2488035;10570441
2488088;10571613
2488141;10569949
2488195;10570117
2488248;10569881
2488301;10569457
2488354;10570117
2488408;10570072
2488460;10570250
2488514;10570132
2488567;10569969
2488620;10570767
2488674;10570845
2488727;10570338
2488781;10570431
2488833;10570338
2488887;10570717
2488940;10570845
2488993;10570255
2489046;10570461
2489100;10570303
2489153;10570165
2489206;10570614
2489260;10570777
2489313;10569768
2489366;10569294
2489419;10569268
2489473;10569917
2489525;10570004
2489579;10570639
2489632;10570697
2489685;10570122
2489739;10570426
2489792;10570624
2489846;10570496
2489898;10570318
2489951;10571106
2490005;10571209
2490058;10571628
2490111;10571166
2490165;10571691
2490218;10571412
2490271;10571904
2490325;10571721
2490378;10571741
2490431;10571460
2490484;10571608
2490537;10572120
2490591;10572529
2490644;10572341
2490697;10572514
2490751;10572933
2490804;10572785
2490857;10572130
2490910;10572597
2490963;10573066
2491017;10572499
2491070;10572622
2491123;10572893
2491177;10572416
2491230;10572341
2491283;10571638
2491336;10572765
2491390;10573339
2491443;10573006
2491496;10573606
2491549;10573365
2491603;10572960
2491656;10573641
2491709;10573129
2491762;10572971
2491816;10572933
2491868;10573380
2491922;10573046
2491975;10573307
2492028;10573164
2492082;10573764
2492135;10573498
2492188;10572662
2492241;10573051
2492295;10572622
2492348;10572765
2492401;10572810
2492455;10573350
2492508;10573149
2492561;10573380
2492614;10573590
2492667;10573882
2492721;10574251
2492774;10574082
2492827;10574476
2492880;10574030
2492934;10573985
2492987;10574128
2493040;10574537
2493094;10574369
2493147;10574195
2493200;10574434
2493254;10574476
2493306;10574429
2493360;10574321
2493413;10574143
2493467;10574301
2493519;10574220
2493573;10573826
2493626;10574732
2493679;10574461
2493732;10574424
2493786;10574326
2493839;10574497
2493893;10574926
2493945;10574589
2493999;10574737
2494052;10574753
2494105;10574850
2494159;10575244
2494212;10574542
2494265;10574449
2494319;10574537
2494371;10574547
2494425;10574808
2494478;10574471
2494531;10574635
2494585;10574860
2494637;10575049
2494691;10575433
2494745;10575162
2494797;10575089
2494851;10575132
2494904;10575930
2494958;10575413
2495010;10575265
2495064;10575756
2495117;10575842
2495170;10575895
2495224;10575521
2495277;10575490
2495330;10575603
2495384;10575224
2495437;10575428
2495489;10575500
2495543;10575874
2495597;10575807
2495649;10575920
2495703;10575393
2495756;10575925
2495810;10576211
2495862;10576151
2495916;10576745
2495969;10576402
2496023;10576349
2496075;10576590
2496129;10576007
2496182;10576093
2496235;10576791
2496289;10577067
2496342;10576427
2496395;10576253
2496449;10576341
2496501;10576324
2496555;10576090
2496608;10576545
2496662;10577047
2496714;10577476
2496768;10575576
2496821;10576474
2496874;10576770
2496928;10576954
2496981;10576386
2497034;10576954
2497087;10576653
2497141;10576836
2497194;10576525
2497247;10576565
2497300;10577754
2497354;10576878
2497407;10577368
2497460;10577282
2497514;10577031
2497567;10577526
2497620;10577165
2497673;10576763
2497727;10577129
2497780;10576836
2497833;10578163
2497886;10577272
2497939;10577014
2497993;10577528
2498046;10577666
2498099;10577634
2498153;10577712
2498205;10577777
2498259;10577446
2498312;10577159
2498365;10577409
2498419;10576735
2498472;10575967
2498525;10576100
2498578;10575925
2498632;10576374
2498685;10576703
2498738;10576344
2498791;10576376
2498845;10577021
2498898;10576294
2498951;10577348
2499004;10576755
2499058;10576878
2499110;10577321
2499164;10576949
2499217;10576622
2499271;10576816
2499324;10576514
2499377;10576851
2499430;10576597
2499484;10576924
2499537;10577293
2499590;10577213
2499644;10578013
2499697;10577085
2499750;10576811
2499803;10575807
2499857;10575854
2499910;10576083
2499963;10576371
2500016;10576607
2500069;10577626
2500123;10577047
2500176;10576929
2500229;10577124
2500282;10576775
2500336;10577077
2500389;10576836
2500442;10577195
2500495;10576740
2500549;10577242
2500602;10577139
2500655;10577660
2500708;10578099
2500762;10577621
2500815;10577388
2500868;10577646
2500921;10578177
2500975;10577616
2501028;10577456
2501081;10577798
2501134;10577436
2501188;10577629
2501241;10577516
2501294;10578131
2501347;10578443
2501401;10578111
2501454;10578428
2501507;10578495
2501561;10577567
2501614;10577727
2501667;10577833
2501720;10577001
2501773;10577800
2501826;10578039
2501880;10577547
2501934;10578586
2501986;10577990
2502040;10578510
2502093;10578719
2502146;10578219
2502199;10577646
2502253;10578495
2502306;10578438
2502360;10578485
2502412;10578520
2502466;10578545
2502519;10578505
2502572;10578382
2502625;10578608
2502679;10578402
2502732;10578817
2502786;10578997
2502839;10578904
2502891;10579175
2502945;10578495
2502998;10579248
2503052;10578812
2503104;10578473
2503158;10578894
2503212;10578689
2503265;10578515
2503317;10578992
2503371;10578945
2503425;10579359
2503477;10578832
2503531;10578613
2503584;10579155
2503637;10578919
2503690;10579155
2503744;10578832
2503797;10578633
2503851;10578997
2503903;10578475
2503956;10578899
2504010;10578786
2504063;10578601
2504116;10579308
2504170;10579110
2504223;10579354
2504276;10579364
2504330;10579113
2504383;10578852
2504436;10578786
2504489;10578404
2504543;10578551
2504596;10578653
2504649;10579073
2504702;10579175
2504756;10579831
2504809;10578704
2504862;10578510
2504915;10579017
2504968;10578992
2505022;10579273
2505075;10579396
2505128;10579570
2505182;10579366
2505235;10579559
2505288;10579359
2505341;10579339
2505394;10579504
2505448;10580092
2505501;10580031
2505554;10579989
2505608;10579703
2505660;10580220
2505714;10579436
2505768;10579012
2505821;10578990
2505873;10579406
2505927;10579694
2505980;10579170
2506034;10579007
2506087;10578679
2506140;10579364
2506193;10579314
2506247;10579570
2506300;10579431
2506353;10579627
2506406;10579386
2506459;10579344
2506513;10579524
2506566;10579462
2506619;10579898
2506672;10579831
2506726;10579652
2506779;10579723
2506832;10579826
2506886;10579580
2506938;10580051
2506992;10579841
2507045;10580230
2507098;10580056
2507152;10579554
2507205;10579494
2507259;10579785
2507311;10579795
2507365;10579672
2507418;10580066
2507471;10580722
2507525;10580636
2507578;10580338
2507631;10580001
2507684;10580255
2507738;10579949
2507791;10579883
2507844;10579760
2507897;10579750
2507951;10580194
2508004;10580646
2508057;10580737
2508110;10580262
2508163;10580368
2508217;10580082
2508270;10579607
2508324;10579570
2508377;10579755
2508430;10580912
2508483;10580845
2508536;10580671
2508589;10580973
2508643;10580538
2508696;10580375
2508750;10579770
2508802;10580077
2508856;10579743
2508909;10579339
2508962;10579386
2509016;10579549
2509069;10579800
2509122;10580092
2509175;10580353
2509229;10579908
2509282;10580681
2509335;10580897
2509388;10580307
2509442;10580235
2509495;10580046
2509548;10579878
2509601;10579996
2509655;10580139
2509707;10580097
2509761;10580358
2509814;10580184
2509868;10580450
2509921;10580614
2509974;10581259
2510027;10580491
2510081;10580629
2510134;10580358
2510187;10580107
2510241;10580917
2510294;10580553
2510347;10580671
2510400;10580631
2510453;10581126
2510506;10580528
2510560;10581239
2510613;10580850
2510666;10580927
2510720;10580651
2510773;10581080
2510826;10580978
2510880;10581347
2510933;10581326
2510985;10581060
2511039;10581480
2511092;10581608
2511146;10581603
2511199;10581331
2511252;10581638
2511305;10581163
2511359;10581301
2511412;10581219
2511466;10581229
2511518;10581301
2511572;10581153
2511625;10581121
2511678;10580754
2511731;10580481
2511785;10580937
2511838;10580983
2511891;10581116
2511944;10581251
2511998;10581188
2512051;10581587
2512104;10581005
2512157;10581557
2512211;10581424
2512264;10581389
2512317;10582145
2512370;10581818
2512423;10581459
2512477;10582386
2512530;10580814
2512584;10581439
2512637;10581623
2512690;10581296
2512743;10580932
2512797;10574537
2512849;10547399
2512903;10517062
2512956;10488973
2513009;10469014
2513063;10455151
2513116;10441390
2513169;10426112
2513222;10412047
2513276;10397473
2513328;10387696
2513382;10379907
2513435;10367500
2513489;10360795
2513542;10354005
2513595;10347590
2513648;10343814
2513702;10334282
2513755;10322969
2513808;10313309
2513861;10308701
2513915;10304299
2513968;10300006
2514021;10296678
2514075;10293094
2514128;10291454
2514180;10287811
2514234;10281357
