=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:43:56 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;65.60;23.80
325;65.61;23.81
428;65.62;23.81
531;65.62;23.81
634;65.63;23.81
737;65.63;23.81
840;65.64;23.81
943;65.63;23.81
1046;65.64;23.81
1149;65.65;23.81
1253;65.65;23.81
1356;65.67;23.81
1459;65.65;23.81
1562;65.67;23.81
1665;65.69;23.82
1768;65.69;23.81
1871;65.69;23.81
1974;65.70;23.81
2077;65.70;23.81
2180;65.71;23.81
2283;65.71;23.81
2386;65.71;23.82
2490;65.72;23.81
2593;65.72;23.81
2696;65.73;23.81
2799;65.74;23.81
2902;65.73;23.82
3005;65.74;23.81
3108;65.77;23.82
3211;65.75;23.81
3314;65.77;23.82
3417;65.78;23.81
3520;65.78;23.81
3623;65.78;23.81
3727;65.79;23.81
3830;65.80;23.81
3933;65.80;23.81
4036;65.81;23.81
4139;65.81;23.81
4242;65.81;23.81
4345;65.82;23.82
4448;65.82;23.81
4551;65.83;23.82
4654;65.83;23.81
4757;65.83;23.81
4860;65.84;23.81
4964;65.87;23.81
5067;65.87;23.82
5170;65.88;23.81
5273;65.88;23.81
5376;65.89;23.81
5479;65.89;23.81
5582;65.90;23.82
5685;65.90;23.81
5788;65.91;23.82
5891;65.65;23.81
5994;65.02;23.81
6097;64.47;23.81
6200;64.05;23.81
6303;63.56;23.81
6406;62.95;23.81
6509;62.34;23.81
6612;60.90;23.80
6716;60.15;23.80
6819;59.38;23.80
6922;58.60;23.79
7025;57.84;23.80
7128;57.06;23.80
7231;56.26;23.79
7334;55.45;23.79
7437;54.67;23.79
7540;53.89;23.79
7643;53.10;23.79
7746;52.32;23.79
7849;51.59;23.79
7953;50.85;23.79
8056;50.13;23.78
8159;49.40;23.78
8262;48.04;23.78
8365;47.35;23.78
8468;46.68;23.78
8571;46.04;23.78
8674;45.42;23.78
8777;44.82;23.78
8880;44.21;23.78
8983;43.63;23.78
9086;43.04;23.78
9190;42.48;23.78
9293;41.95;23.78
9396;41.42;23.78
9499;40.92;23.77
9602;40.44;23.78
9705;39.98;23.78
9808;39.05;23.77
9911;38.62;23.77
10014;38.21;23.77
10117;37.77;23.77
10220;37.36;23.77
10323;36.98;23.77
10427;36.60;23.77
10530;36.21;23.77
10633;35.85;23.76
1
10736;35.51;23.76
10839;35.17;23.77
10942;34.82;23.77
11045;34.48;23.77
11148;34.17;23.76
11251;33.83;23.76
11354;33.57;23.76
2
11457;32.97;23.76
11560;32.69;23.76
11664;32.42;23.76
11767;32.17;23.76
11870;31.89;23.76
11973;31.64;23.76
12076;31.40;23.76
12179;31.17;23.76
12282;30.94;23.75
12385;30.71;23.76
12488;30.47;23.76
12591;30.24;23.76
12694;30.04;23.75
12797;29.87;23.75
12901;29.63;23.75
13004;29.26;23.75
13107;29.05;23.75
13210;28.87;23.75
13313;28.70;23.75
13416;28.51;23.75
13519;28.33;23.75
13622;28.17;23.75
13725;28.01;23.75
13828;27.85;23.75
13931;27.67;23.75
14034;27.51;23.75
14138;27.36;23.75
14241;27.23;23.75
14344;27.04;23.75
14447;26.91;23.75
14550;26.79;23.75
14653;26.52;23.75
14756;26.39;23.75
14859;26.27;23.75
14962;26.14;23.75
15065;26.01;23.74
15168;25.89;23.75
15271;25.77;23.75
15375;25.66;23.75
15478;25.54;23.75
15581;25.42;23.74
15684;25.31;23.75
15787;25.20;23.74
15890;25.10;23.75
15993;25.00;23.74
16096;24.88;23.74
16199;24.76;23.74
16302;24.58;23.74
16405;24.49;23.74
16508;24.40;23.74
16612;24.32;23.74
16715;24.24;23.74
16818;24.15;23.74
16921;24.06;23.74
17024;23.96;23.74
17127;23.88;23.74
17230;23.79;23.74
17333;23.71;23.74
17436;23.63;23.74
17539;23.55;23.74
17642;23.45;23.74
17745;23.35;23.74
17848;23.22;23.74
17951;23.16;23.74
18054;23.09;23.74
18157;23.01;23.74
18260;22.94;23.74
18364;22.87;23.74
18467;22.80;23.74
18570;22.73;23.74
18673;22.67;23.74
18776;22.60;23.73
18879;22.54;23.74
18982;22.47;23.73
19085;22.41;23.74
19188;22.32;23.74
19291;22.28;23.74
19394;22.22;23.73
19497;22.10;23.74
19601;22.04;23.73
19704;21.99;23.73
19807;21.93;23.73
19910;21.87;23.73
20013;21.80;23.73
20116;21.75;23.73
20219;21.69;23.73
20322;21.63;23.73
20425;21.58;23.73
20528;21.52;23.73
20631;21.46;23.73
20734;21.42;23.73
20838;21.35;23.73
20941;21.32;23.73
21044;21.20;23.73
21147;21.15;23.73
21250;21.09;23.73
21353;21.03;23.73
21456;20.99;23.73
21559;20.94;23.73
21662;20.89;23.72
21765;20.85;23.73
21868;20.81;23.73
21971;20.76;23.73
22075;20.72;23.73
22178;20.67;23.73
22281;20.63;23.73
22384;20.59;23.73
22487;20.56;23.73
22590;20.48;23.73
22693;20.41;23.72
22796;20.37;23.73
22899;20.32;23.73
23002;20.29;23.72
23105;20.23;23.72
23208;20.20;23.72
23312;20.16;23.72
23415;20.13;23.72
23518;20.10;23.72
23621;20.05;23.72
23724;20.02;23.72
23827;19.97;23.72
23930;19.95;23.72
24033;19.92;23.72
24136;19.85;23.72
24239;19.85;23.72
24342;19.75;23.72
24445;19.70;23.72
24549;19.66;23.72
24652;19.62;23.72
24755;19.60;23.72
24858;19.57;23.72
24961;19.54;23.72
25064;19.51;23.72
25167;19.46;23.72
25270;19.43;23.72
25373;19.41;23.72
25476;19.37;23.72
25579;19.33;23.72
25682;19.32;23.72
25786;19.31;23.72
25889;19.19;23.72
