=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:47:22 =~=~=~=~=~=~=~=~=~=~=~=
caliba rate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1271435;10333465
1271442;10469114
1271495;10336075
1271549;10337384
1271602;10337945
1271655;10339545
1271708;10337625
1271761;10338866
1271815;10338620
1271868;10338319
1271921;10339309
1271975;10338925
1272028;10339073
1272080;10340274
1272134;10341407
1272187;10342007
1272241;10342938
1272294;10341490
1272347;10340511
1272400;10340648
1272454;10341421
1272507;10342431
1272560;10344272
1272614;10344326
1272667;10344493
1272720;10345434
1272773;10345498
1272827;10347083
1272879;10344828
1272933;10344897
1272987;10345025
1273039;10346551
1273093;10347659
1273146;10348609
1273199;10348413
1273253;10348619
1273306;10348289
1273359;10349870
1273412;10349796
1273465;10351032
1273519;10351529
1273572;10351140
1273625;10350308
1273678;10350377
1273732;10351096
1273785;10352179
1273838;10351120
1273892;10352843
1273945;10353109
1273998;10353858
1274051;10344430
1274105;10344415
1274158;10346591
1274211;10349397
1274264;10351307
1274317;10351307
1274371;10352715
1274424;10352774
1274477;10354163
1274531;10352410
1274584;10354202
1274637;10356265
1274690;10356654
1274744;10358190
1274797;10356477
1274850;10353887
1274903;10354581
1274957;10354670
1275010;10355822
1275063;10354926
1275116;10355482
1275169;10355078
1275223;10356944
1275276;10357698
1275329;10357363
1275382;10358264
1275436;10358314
1275489;10358269
1275542;10359938
1275596;10359987
1275648;10360022
1275702;10358919
1275755;10357949
1275808;10358545
1275862;10358520
1275915;10358584
1275968;10357669
1276022;10358771
1276074;10356861
1276128;10357029
1276181;10358052
1276234;10358136
1276288;10358299
1276341;10358855
1276394;10358722
1276447;10360199
1276501;10360647
1276554;10360125
1276607;10357777
1276660;10358441
1276714;10358530
1276767;10358067
1276821;10357624
1276873;10358515
1276927;10360194
1276980;10359633
1277033;10360317
1277086;10360371
1277140;10361489
1277193;10360933
1277247;10360371
1277299;10360470
1277352;10360396
1277406;10360051
1277459;10361631
1277513;10360810
1277566;10359441
1277619;10358496
1277672;10358850
1277726;10359357
1277779;10360125
1277832;10360435
1277885;10360834
1277938;10361395
1277992;10361400
1278045;10363261
1278098;10362370
1278151;10363000
1278205;10363360
1278258;10361897
1278312;10361119
1278365;10362311
1278417;10362395
1278471;10362611
1278524;10362739
1278578;10363404
1278631;10363374
1278684;10362173
1278737;10362631
1278790;10361843
1278843;10361322
1278897;10362247
1278950;10362016
1279003;10360677
1279057;10361302
1279110;10360809
1279163;10362601
1279216;10363099
1279270;10363532
1279323;10364388
1279376;10363369
1279430;10363330
1279483;10363694
1279536;10363822
1279589;10363537
1279642;10365226
1279696;10364005
1279749;10365014
1279803;10364246
1279856;10362729
1279908;10363424
1279962;10363409
1280015;10363911
1280069;10363822
1280122;10364620
1280175;10363610
1280229;10365201
1280281;10365595
1280335;10364433
1280388;10364895
1280442;10363694
1280494;10363685
1280548;10364895
1280601;10364359
1280654;10365300
1280707;10365103
1280761;10364940
1280814;10364527
1280867;10364004
1280921;10364674
1280974;10365156
1281027;10365487
1281081;10365723
1281133;10366663
1281187;10367151
1281240;10366919
1281293;10366816
1281347;10367047
1281400;10365536
1281453;10366003
1281506;10366407
1281559;10366826
1281613;10366914
1281666;10367107
1281720;10366658
1281773;10366520
1281826;10368027
1281879;10367303
1281932;10367431
1281986;10368121
1282039;10368136
1282092;10367845
1282145;10366516
1282199;10367230
1282252;10366216
1282305;10364665
1282359;10364910
1282412;10365511
1282464;10364320
1282518;10366176
1282571;10364280
1282624;10364443
1282678;10364890
1282731;10366402
1282785;10366092
1282837;10365413
1282891;10365624
1282944;10365994
1282997;10366733
1283051;10366181
1283104;10365851
1283157;10366412
1283211;10365580
1283263;10365812
1283317;10365723
1283370;10364551
1283423;10365530
1283476;10366791
1283530;10366595
1283583;10366861
1283636;10367692
1283690;10368667
1283743;10369548
1283796;10368815
1283849;10368465
1283903;10368864
1283956;10367373
1284009;10367628
1284062;10368175
1284115;10367707
1284169;10367293
1284222;10367471
1284276;10367525
1284329;10368037
1284382;10366678
1284435;10365566
1284489;10365048
1284541;10364862
1284595;10365423
1284648;10366171
1284701;10367180
1284755;10365797
1284808;10364866
1284861;10363246
1284914;10363965
1284967;10365314
1285021;10363832
1285074;10365565
1285128;10364802
1285180;10365526
1285234;10366959
1285287;10368234
1285340;10367446
1285394;10367830
1285447;10367929
1285500;10367781
1285554;10368131
1285607;10367742
1285660;10367756
1285713;10368652
1285766;10368357
1285820;10369041
1285873;10368047
1285926;10368332
1285980;10368224
1286032;10368185
1286086;10368500
1286139;10368386
1286192;10368663
1286246;10367998
1286299;10367929
1286352;10367087
1286406;10367308
1286459;10367722
1286511;10368155
1286565;10369140
1286618;10368756
1286672;10368839
1286725;10369312
1286778;10368145
1286832;10367112
1286885;10365827
1286937;10366472
1286991;10365708
1287044;10366511
1287097;10367958
1287151;10369475
1287204;10369686
1287257;10369223
1287311;10369839
1287364;10368283
1287417;10368322
1287470;10368155
1287524;10367948
1287577;10368407
1287630;10368613
1287684;10367190
1287736;10368455
1287790;10367269
1287843;10368357
1287896;10369243
1287950;10371158
1288003;10369223
1288057;10368948
1288109;10368874
1288162;10369253
1288216;10368672
1288269;10370045
1288322;10369243
1288376;10369214
1288429;10370996
1288482;10369494
1288535;10367264
1288588;10376239
1288642;10369214
1288695;10368770
1288749;10369056
1288802;10370065
1288855;10368977
1288908;10369553
1288962;10368141
1289015;10368347
1289068;10368332
1289121;10369204
1289174;10370671
1289228;10370902
1289281;10369366
1289335;10368402
1289388;10368588
1289441;10367170
1289494;10368525
1289548;10369282
1289600;10368948
1289654;10368012
1289707;10367574
1289760;10368933
1289814;10369051
1289867;10369789
1289920;10370813
1289973;10372630
1290027;10372817
1290080;10371798
1290133;10372694
1290186;10373103
1290239;10370700
1290293;10370139
1290346;10371030
1290400;10371409
1290452;10372719
1290506;10373699
1290559;10372808
1290612;10372832
1290665;10372187
1290719;10372650
1290772;10371443
1290825;10369898
1290878;10371144
1290931;10370961
1290985;10369558
1291038;10369775
1291092;10369814
1291144;10369435
1291198;10369386
1291251;10370208
1291304;10370848
1291358;10370371
1291411;10370243
1291464;10370371
1291518;10371134
1291571;10371345
1291624;10370257
1291677;10370873
1291730;10370818
1291784;10371252
1291837;10371533
1291890;10370543
1291943;10370045
1291997;10369779
1292050;10369381
1292103;10369209
1292156;10370710
1292210;10372463
1292263;10372591
1292316;10372591
1292370;10373575
1292422;10372689
1292476;10372138
1292529;10373143
1292583;10371567
1292635;10370602
1292689;10371902
1292742;10371473
1292795;10372296
1292849;10372921
1292902;10372714
1292956;10372596
1293008;10371749
1293062;10372596
1293115;10372675
1293168;10371109
1293221;10371508
1293275;10372384
1293328;10372734
1293381;10373595
1293434;10374556
1293488;10374832
1293541;10375609
1293595;10373521
1293647;10373625
1293701;10373965
1293754;10373792
1293807;10373680
1293861;10372861
1293913;10372586
1293967;10372581
1294020;10371907
1294074;10372542
1294127;10371897
1294180;10372241
1294233;10372733
1294286;10373792
1294340;10372571
1294393;10372763
1294447;10372453
1294499;10373999
1294553;10373009
1294606;10372907
1294660;10373477
1294713;10373310
1294766;10372453
1294819;10372571
1294872;10371917
1294926;10372173
1294979;10372921
1295032;10372680
1295086;10372906
1295139;10372620
1295191;10372803
1295245;10372680
1295299;10371857
1295352;10373472
1295404;10373374
1295458;10374743
1295511;10374024
1295565;10375191
1295618;10374925
1295671;10373364
1295724;10372847
1295777;10373497
1295831;10372995
1295884;10372733
1295937;10374172
1295991;10374182
1296044;10374531
1296097;10374349
1296151;10374088
1296203;10373669
1296257;10373685
1296310;10373655
1296364;10372380
1296416;10372916
1296470;10372985
1296523;10373093
1296576;10373650
1296629;10374438
1296683;10377323
1296736;10375393
1296789;10373699
1296843;10371739
1296896;10372921
1296949;10372262
1297003;10372621
1297056;10372492
1297109;10372325
1297162;10371946
1297215;10372477
1297268;10372547
1297322;10372246
1297375;10371769
1297428;10371980
1297482;10373798
1297535;10374856
1297588;10375491
1297641;10374300
1297695;10374147
1297748;10375156
1297801;10373773
1297855;10373901
1297907;10374418
1297961;10372404
1298014;10372906
1298067;10374083
1298121;10374457
1298174;10374408
1298228;10374078
1298280;10375373
1298333;10374743
1298387;10374723
1298440;10374708
1298494;10373793
1298547;10372591
1298600;10373275
1298653;10374201
1298707;10374743
1298760;10374826
1298812;10373916
1298866;10374373
1298919;10375353
1298973;10374851
1299026;10375772
1299079;10375112
1299133;10374629
1299185;10374378
1299239;10374910
1299292;10375698
1299346;10375678
1299399;10375767
1299451;10374580
1299505;10373798
1299558;10373542
1299612;10374122
1299665;10373753
1299718;10374290
1299772;10375343
1299824;10375156
1299878;10375905
1299931;10376968
1299984;10376982
1300038;10376977
1300091;10377165
1300144;10376973
1300198;10376535
1300250;10376692
1300304;10376392
1300357;10376550
1300410;10375919
1300463;10374290
1300517;10374556
1300570;10373960
1300623;10373137
1300677;10374561
1300730;10373600
1300783;10373467
1300837;10373394
1300890;10372522
1300943;10373276
1300996;10372231
1301050;10373802
1301102;10374797
1301156;10375388
1301209;10375191
1301262;10374605
1301316;10375555
1301369;10374413
1301422;10373738
1301476;10374531
1301528;10374802
1301582;10374954
1301635;10361878
1301689;10344877
1301742;10339870
1301795;10317799
1301848;10298780
1301901;10284040
1301955;10270402
1302008;10255799
1302061;10243269
1302115;10239567
1302167;10231572
1302221;10219125
1302274;10210785
1302328;10200614
1302380;10189837
1302434;10179507
1302487;10169970
1302540;10166332
1302594;10156918
1302647;10146604
1302700;10143293
1302753;10139209
1302807;10136692
1302860;10134808
1302914;10133666
1302967;10128712
1303020;10121051
1303073;10116962
