=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:49:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrae te;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1390602;10354045
1390618;10470482
1390671;10355389
1390724;10355108
1390777;10355384
1390830;10356098
1390884;10357107
1390937;10355718
1390990;10355807
1391043;10356078
1391097;10356595
1391150;10358254
1391204;10358397
1391256;10358057
1391310;10358112
1391363;10358008
1391416;10357855
1391469;10357290
1391523;10358535
1391576;10359697
1391629;10360465
1391682;10360863
1391736;10359874
1391789;10360223
1391842;10359785
1391895;10360859
1391949;10361164
1392002;10360568
1392055;10361720
1392109;10360474
1392162;10359145
1392215;10359785
1392268;10360484
1392321;10361455
1392375;10360652
1392428;10360450
1392481;10360991
1392535;10361184
1392588;10361888
1392641;10363493
1392694;10363601
1392748;10362961
1392801;10363099
1392854;10362168
1392907;10362784
1392961;10362665
1393014;10362926
1393067;10364753
1393120;10365551
1393174;10361927
1393227;10360529
1393280;10361110
1393333;10360928
1393386;10358712
1393440;10360863
1393493;10361568
1393547;10362444
1393600;10363045
1393653;10365018
1393706;10365127
1393759;10365984
1393812;10363985
1393866;10363409
1393919;10363778
1393972;10364886
1394026;10364881
1394079;10363793
1394132;10362089
1394185;10362690
1394239;10362685
1394292;10361784
1394345;10362306
1394398;10361957
1394452;10362075
1394504;10358397
1394558;10361636
1394611;10362552
1394664;10364856
1394718;10364443
1394771;10363813
1394824;10364723
1394878;10366324
1394931;10367235
1394984;10366206
1395037;10367112
1395090;10366432
1395144;10366703
1395197;10366737
1395250;10368145
1395303;10367973
1395357;10368726
1395410;10369046
1395463;10369475
1395516;10368726
1395570;10367358
1395623;10365511
1395677;10365718
1395729;10367525
1395783;10367210
1395836;10367062
1395889;10366993
1395942;10366668
1395996;10366732
1396049;10366959
1396102;10366525
1396156;10366885
1396209;10367126
1396262;10366472
1396315;10364861
1396369;10366102
1396422;10365659
1396475;10365536
1396528;10364995
1396582;10406616
1396635;10365172
1396688;10366993
1396741;10366984
1396795;10368441
1396848;10369913
1396901;10370632
1396955;10370046
1397007;10369799
1397061;10370188
1397114;10370341
1397167;10370016
1397221;10369135
1397274;10369774
1397327;10369859
1397380;10368003
1397434;10367820
1397487;10368018
1397540;10368741
1397593;10369282
1397646;10369347
1397700;10369706
1397753;10368475
1397807;10368677
1397859;10368899
1397913;10370434
1397966;10371050
1398019;10371749
1398073;10371478
1398126;10372079
1398179;10370700
1398232;10369174
1398286;10368933
1398339;10369002
1398392;10368972
1398445;10369209
1398498;10369381
1398552;10371099
1398605;10371429
1398658;10370725
1398712;10371119
1398765;10371852
1398818;10371207
1398871;10371187
1398924;10370390
1398978;10370026
1399031;10370981
1399084;10370459
1399138;10371591
1399191;10370803
1399244;10371315
1399297;10370769
1399351;10370434
1399404;10369194
1399457;10372783
1399510;10369593
1399564;10370376
1399617;10370725
1399670;10370105
1399724;10370016
1399776;10371050
1399830;10370750
1399883;10370262
1399936;10370808
1399990;10370203
1400042;10370912
1400096;10370484
1400150;10370577
1400202;10370646
1400256;10370454
1400309;10370484
1400362;10370646
1400416;10370888
1400468;10370223
1400522;10370750
1400575;10371818
1400629;10370843
1400682;10370936
1400735;10370651
1400789;10370946
1400841;10369519
1400894;10370803
1400949;10370883
1401002;10372069
1401054;10369420
1401108;10369455
1401161;10370040
1401214;10370489
1401268;10371129
1401321;10371714
1401374;10372660
1401428;10370060
1401480;10369854
1401534;10370760
1401587;10371463
1401640;10371020
1401694;10371528
1401747;10371498
1401800;10370607
1401853;10371163
1401907;10369563
1401959;10370745
1402013;10370538
1402066;10370115
1402120;10372138
1402173;10371069
1402226;10372192
1402279;10373088
1402332;10373207
1402386;10373236
1402439;10374915
1402493;10374014
1402545;10372360
1402599;10372276
1402652;10372113
1402706;10372158
1402759;10372335
1402812;10371611
1402865;10371832
1402919;10370301
1402971;10370656
1403025;10370878
1403078;10371631
1403132;10372153
1403184;10372069
1403238;10371631
1403291;10371685
1403344;10370233
1403398;10369779
1403451;10371006
1403504;10371675
1403557;10370907
1403610;10372054
1403664;10372330
1403717;10373364
1403771;10373585
1403824;10373916
1403877;10374836
1403930;10375964
1403984;10374433
1404036;10373467
1404090;10372576
1404143;10371011
1404196;10371434
1404250;10371483
1404303;10371729
1404356;10372502
1404409;10372045
1404463;10371453
1404516;10371134
1404569;10372306
1404623;10373103
1404675;10373246
1404729;10373581
1404782;10373640
1404836;10371665
1404889;10370961
1404942;10371197
1404995;10373320
1405048;10373472
1405102;10373768
1405155;10372758
1405208;10372443
1405262;10372207
1405315;10371581
1405368;10371680
1405421;10371370
1405474;10372458
1405528;10373443
1405581;10373723
1405634;10373521
1405688;10375181
1405740;10374831
1405794;10375122
1405847;10372468
1405900;10370892
1405954;10371562
1406007;10372931
1406060;10373783
1406113;10372571
1406167;10370582
1406220;10368037
1406273;10369888
1406326;10370031
1406379;10369844
1406433;10369209
1406486;10368928
1406539;10369356
1406593;10370582
1406645;10372364
1406700;10373172
1406752;10373020
1406806;10372758
1406859;10371400
1406912;10372059
1406966;10370533
1407019;10370627
1407072;10370917
1407125;10371183
1407179;10371139
1407232;10371493
1407285;10370730
1407338;10370159
1407392;10370750
1407444;10373674
1407498;10374029
1407551;10373910
1407605;10374151
1407657;10374201
1407711;10374250
1407765;10375585
1407817;10374039
1407870;10374885
1407924;10375614
1407977;10375501
1408031;10374915
1408084;10374551
1408137;10373600
1408190;10374408
1408244;10372749
1408296;10368982
1408350;10371793
1408403;10372271
1408457;10372754
1408509;10373615
1408563;10373245
1408617;10373211
1408669;10373123
1408723;10373615
1408776;10375289
1408829;10375097
1408882;10374556
1408936;10375723
1408989;10377170
1409042;10376392
1409096;10375727
1409148;10375599
1409202;10374231
1409255;10374438
1409309;10374236
1409361;10374438
1409415;10375127
1409468;10375324
1409522;10378125
1409575;10372887
1409628;10374546
1409681;10374275
1409734;10375708
1409788;10375939
1409841;10375205
1409895;10375338
1409947;10374959
1410001;10373896
1410054;10373049
1410108;10372749
1410161;10372620
1410214;10372679
1410267;10374423
1410320;10374231
1410373;10373349
1410427;10374541
1410480;10375703
1410533;10376200
1410587;10375077
1410639;10374059
1410693;10373290
1410746;10372866
1410799;10372296
1410853;10373113
1410906;10372651
1410959;10370395
1411013;10367766
1411066;10371429
1411119;10373245
1411173;10374600
1411225;10374585
1411279;10375373
1411332;10375466
1411385;10377140
1411438;10376303
1411492;10376431
1411545;10375939
1411599;10375521
1411651;10375004
1411705;10373694
1411758;10373699
1411812;10373462
1411865;10373128
1411918;10373527
1411971;10374521
1412024;10375560
1412077;10375216
1412131;10375112
1412184;10375476
1412237;10374044
1412290;10374029
1412344;10374738
1412397;10373738
1412450;10373935
1412504;10373694
1412556;10374994
1412610;10374132
1412664;10373384
1412716;10373093
1412770;10372172
1412823;10372325
1412876;10373113
1412929;10372354
1412983;10372724
1413036;10376530
1413089;10373369
1413143;10372970
1413196;10372438
1413249;10371631
1413303;10372010
1413355;10371734
1413409;10372719
1413462;10374945
1413515;10374492
1413569;10372226
1413622;10372359
1413675;10372458
1413728;10373344
1413782;10373286
1413835;10373941
1413888;10374177
1413941;10373098
1413994;10373118
1414048;10374649
1414101;10375289
1414154;10375850
1414208;10376018
1414261;10376008
1414314;10378381
1414368;10375693
1414420;10375594
1414474;10375590
1414527;10375678
1414580;10374826
1414634;10375422
1414687;10374954
1414740;10375988
1414793;10375304
1414847;10375427
1414900;10376387
1414954;10376209
1415006;10375747
1415060;10376185
1415113;10375343
1415166;10375058
1415219;10374231
1415273;10374073
1415326;10375210
1415379;10376811
1415432;10376953
1415486;10377243
1415539;10375205
1415592;10375732
1415645;10375732
1415699;10376062
1415752;10376436
1415805;10376367
1415859;10375742
1415911;10374940
1415965;10374880
1416018;10375521
1416072;10375653
1416125;10374979
1416178;10375496
1416231;10375619
1416285;10375063
1416337;10375225
1416391;10374576
1416444;10375132
1416497;10375082
1416551;10376052
1416604;10377115
1416657;10377293
1416710;10376879
1416764;10376328
1416817;10376146
1416870;10377214
1416923;10376239
1416977;10375855
1417029;10376087
1417083;10375388
1417136;10375018
1417190;10375225
1417243;10376259
1417296;10377175
1417349;10376382
1417403;10377140
1417455;10376008
1417509;10377303
1417562;10375343
1417616;10375959
1417669;10375373
1417722;10375028
1417776;10376023
1417829;10375540
1417882;10375949
1417935;10375604
1417988;10376042
1418042;10374703
1418095;10373069
1418148;10372783
1418201;10372901
1418255;10373172
1418308;10373600
1418361;10374319
1418415;10375230
1418467;10375717
1418521;10376209
1418574;10375777
1418628;10375914
1418680;10375900
1418734;10376205
1418787;10376244
1418841;10377076
1418894;10377396
1418947;10377091
1419000;10376712
1419053;10377327
1419107;10376958
1419160;10377195
1419213;10376864
1419266;10378006
1419320;10376741
1419373;10376121
1419426;10376249
1419480;10377155
1419532;10376687
1419586;10376982
1419639;10376323
1419692;10377736
1419746;10378307
1419799;10377647
1419852;10376796
1419905;10376598
1419959;10375629
1420012;10375963
1420065;10375944
1420118;10375422
1420172;10375865
1420225;10376131
1420278;10376038
1420332;10376367
1420385;10376284
1420438;10376200
1420491;10375289
1420544;10375279
1420598;10375284
1420651;10373994
1420704;10373758
1420758;10362149
1420811;10351426
1420864;10340737
1420917;10306594
1420970;10286727
1421024;10267492
1421077;10256143
1421131;10232758
1421184;10227174
1421237;10220942
1421290;10211258
1421343;10200259
1421396;10192107
1421450;10187635
1421503;10181910
1421556;10170513
1421609;10156905
1421662;10150360
1421716;10144530
1421769;10138516
1421822;10132214
1421876;10128154
1421929;10124450
1421982;10119054
1422036;10115158
1422088;10108809
1422142;10105454
1422195;10102898
1422248;10103391
