=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:47:22 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;54.85;23.65
325;54.86;23.65
428;54.88;23.66
531;54.89;23.66
634;54.91;23.66
737;54.93;23.66
840;54.94;23.66
943;54.96;23.67
1046;54.97;23.67
1149;54.99;23.67
1253;55.00;23.67
1356;55.02;23.67
1459;55.03;23.67
1562;55.03;23.67
1665;55.10;23.67
1768;55.10;23.67
1871;55.12;23.67
1974;55.13;23.67
2077;55.14;23.67
2180;55.16;23.66
2283;55.17;23.67
2386;55.20;23.67
2490;55.21;23.67
2593;55.23;23.67
2696;55.24;23.67
2799;55.25;23.67
2902;55.28;23.67
3005;55.28;23.67
3108;55.32;23.67
3211;55.33;23.67
3314;55.33;23.67
3417;55.35;23.67
3520;55.38;23.67
3623;55.39;23.67
3727;55.40;23.68
3830;55.41;23.67
3933;55.43;23.68
4036;55.44;23.67
4139;55.46;23.67
4242;55.48;23.67
4345;55.50;23.67
4448;55.09;23.67
4551;54.66;23.67
4654;54.35;23.67
4757;54.02;23.67
4860;53.65;23.67
4964;52.75;23.67
5067;52.25;23.67
5170;51.72;23.67
5273;51.16;23.66
5376;50.59;23.66
5479;50.01;23.66
5582;49.41;23.66
5685;48.79;23.66
5788;48.15;23.66
5891;47.53;23.66
5994;46.95;23.66
6097;46.33;23.66
6200;45.73;23.66
6303;45.14;23.66
6406;44.56;23.65
6509;43.96;23.66
6612;42.87;23.66
6716;42.33;23.65
6819;41.79;23.65
6922;41.28;23.66
7025;40.79;23.66
7128;40.31;23.66
7231;39.83;23.65
7334;39.36;23.65
7437;38.89;23.65
7540;38.45;23.65
7643;38.00;23.65
7746;37.59;23.65
7849;37.18;23.65
7953;36.76;23.65
8056;36.39;23.65
8159;35.98;23.65
8262;35.29;23.65
8365;34.95;23.65
8468;34.59;23.65
8571;34.27;23.65
8674;33.95;23.65
8777;33.64;23.65
8880;33.33;23.65
8983;33.02;23.65
9086;32.75;23.65
1
9190;32.47;23.65
9293;32.20;23.65
9396;31.91;23.65
9499;31.65;23.65
9602;31.38;23.65
9705;31.18;23.65
9808;30.71;23.64
9911;30.48;23.65
2
10014;30.26;23.65
10117;30.06;23.65
10220;29.86;23.64
10323;29.66;23.64
10427;29.46;23.65
10530;29.26;23.65
10633;29.06;23.65
10736;28.87;23.64
10839;28.69;23.64
10942;28.52;23.64
11045;28.35;23.65
11148;28.17;23.65
11251;28.06;23.64
11354;27.88;23.65
11457;27.57;23.64
11560;27.42;23.64
11664;27.27;23.64
11767;27.13;23.64
11870;26.97;23.64
11973;26.82;23.64
12076;26.68;23.64
12179;26.56;23.64
12282;26.43;23.64
12385;26.31;23.64
12488;26.17;23.64
12591;26.05;23.65
12694;25.93;23.64
12797;25.80;23.64
12901;25.67;23.64
13004;25.57;23.64
13107;25.35;23.64
13210;25.24;23.64
13313;25.14;23.64
13416;25.06;23.64
13519;24.96;23.64
13622;24.85;23.64
13725;24.76;23.63
13828;24.69;23.64
13931;24.60;23.64
14034;24.49;23.64
14138;24.39;23.64
14241;24.33;23.64
14344;24.22;23.64
14447;24.14;23.64
14550;24.08;23.64
14653;23.92;23.64
14756;23.84;23.64
14859;23.77;23.64
14962;23.68;23.64
15065;23.60;23.64
15168;23.54;23.64
15271;23.47;23.64
15375;23.40;23.64
15478;23.33;23.64
15581;23.26;23.64
15684;23.21;23.64
15787;23.14;23.64
15890;23.08;23.64
15993;23.00;23.64
16096;22.94;23.64
16199;22.87;23.64
16302;22.76;23.64
16405;22.69;23.64
16508;22.63;23.64
16612;22.57;23.64
16715;22.53;23.64
16818;22.47;23.64
16921;22.41;23.64
17024;22.36;23.64
17127;22.32;23.64
17230;22.26;23.64
17333;22.20;23.64
17436;22.16;23.64
17539;22.10;23.64
17642;22.05;23.64
17745;21.98;23.64
17848;21.94;23.64
17951;21.87;23.64
18054;21.82;23.64
18157;21.79;23.64
18260;21.73;23.64
18364;21.68;23.64
18467;21.64;23.64
18570;21.58;23.64
18673;21.54;23.64
18776;21.51;23.64
18879;21.46;23.64
18982;21.41;23.64
19085;21.40;23.64
19188;21.32;23.64
19291;21.28;23.64
19394;21.24;23.64
19497;21.17;23.64
19601;21.12;23.64
19704;21.07;23.63
19807;21.03;23.64
19910;20.98;23.64
20013;20.95;23.64
20116;20.93;23.64
20219;20.88;23.64
20322;20.85;23.64
20425;20.82;23.64
20528;20.79;23.64
20631;20.76;23.64
20734;20.72;23.64
20838;20.70;23.64
20941;20.65;23.64
21044;20.63;23.64
21147;20.57;23.64
21250;20.54;23.64
21353;20.50;23.64
21456;20.46;23.64
21559;20.43;23.64
21662;20.40;23.64
21765;20.37;23.64
21868;20.34;23.64
21971;20.31;23.64
22075;20.28;23.64
22178;20.24;23.64
22281;20.19;23.64
22384;20.18;23.64
22487;20.15;23.64
22590;20.13;23.64
22693;20.07;23.64
22796;20.04;23.64
22899;20.01;23.64
23002;20.00;23.64
23105;19.98;23.64
23208;19.95;23.64
23312;19.91;23.64
23415;19.89;23.63
23518;19.86;23.64
23621;19.82;23.64
23724;19.79;23.63
23827;19.76;23.63
23930;19.73;23.64
24033;19.70;23.63
24136;19.69;23.64
24239;19.67;23.63
24342;19.62;23.63
24445;19.60;23.64
24549;19.57;23.64
24652;19.56;23.64
24755;19.53;23.64
24858;19.50;23.64
24961;19.49;23.63
25064;19.46;23.64
25167;19.43;23.64
25270;19.42;23.64
25373;19.39;23.64
25476;19.36;23.64
25579;19.34;23.64
25682;19.32;23.64
25786;19.30;23.64
25889;19.28;23.64
25992;19.23;23.63
26095;19.21;23.64
26198;19.19;23.64
26301;19.16;23.64
26404;19.14;23.63
26507;19.12;23.64
26610;19.10;23.64
26713;19.09;23.64
26816;19.06;23.63
26919;19.06;23.63
27023;19.03;23.64
27126;19.02;23.63
27229;19.01;23.63
27332;19.01;23.63
27435;18.96;23.63
27538;18.94;23.64
27641;18.92;23.64
27744;18.89;23.64
27847;18.88;23.63
27950;18.85;23.64
28053;18.84;23.64
28156;18.82;23.64
28260;18.79;23.64
28363;18.77;23.64
28466;18.74;23.63
28569;18.71;23.64
28672;18.71;23.64
28775;18.66;23.64
28878;18.66;23.64
28981;18.63;23.64
29084;18.66;23.63
29187;18.60;23.64
29290;18.59;23.64
29393;18.58;23.64
29496;18.57;23.64
29599;18.54;23.64
29702;18.53;23.63
29805;18.51;23.64
29908;18.49;23.64
30012;18.48;23.64
30115;18.45;23.64
30218;18.43;23.64
30321;18.41;23.63
30424;18.41;23.64
30527;18.40;23.64
30630;18.39;23.64
30733;18.33;23.63
30836;18.32;23.63
30939;18.31;23.64
31042;18.28;23.63
31145;18.29;23.64
31249;18.26;23.63
31352;18.24;23.63
31455;18.22;23.63
31558;18.21;23.63
31661;18.21;23.63
31764;18.18;23.63
31867;18.17;23.63
31970;18.16;23.63
32073;18.14;23.63
32176;18.13;23.64
32279;18.10;23.63
32382;18.07;23.63
32486;18.05;23.63
32589;18.04;23.63
32692;18.02;23.63
32795;18.01;23.63
32898;18.00;23.63
33001;17.99;23.63
33104;17.97;23.63
33207;17.96;23.63
33310;17.93;23.63
33413;17.92;23.63
33516;17.90;23.63
33619;17.89;23.63
33723;17.88;23.63
33826;17.87;23.63
33929;17.84;23.63
34032;17.83;23.63
34135;17.81;23.63
34238;17.80;23.63
34341;17.79;23.63
34444;17.76;23.63
34547;17.74;23.63
34650;17.72;23.63
34753;17.70;23.63
34856;17.70;23.63
34960;17.69;23.63
35063;17.67;23.63
35166;17.69;23.63
35269;17.67;23.63
35372;17.62;23.63
35475;17.62;23.63
35578;17.56;23.63
35681;17.55;23.63
35784;17.54;23.63
35887;17.52;23.62
35990;17.50;23.62
36093;17.50;23.62
36197;17.48;23.62
36300;17.47;23.63
36403;17.46;23.62
36506;17.45;23.62
36609;17.44;23.62
36712;17.43;23.62
36815;17.41;23.62
36918;17.40;23.62
37021;17.38;23.63
37124;17.35;23.63
37227;17.35;23.62
37330;17.32;23.63
37434;17.30;23.62
37537;17.29;23.62
37640;17.28;23.63
37743;17.26;23.62
37846;17.25;23.62
37949;17.22;23.62
38052;17.21;23.62
38155;17.20;23.62
38258;17.19;23.63
38361;17.18;23.63
38464;17.19;23.63
38567;17.18;23.63
38671;17.19;23.63
38774;17.17;23.63
38877;17.17;23.63
38980;17.15;23.63
39083;17.13;23.63
39186;17.12;23.63
3
39289;17.12;23.62
39392;17.36;23.63
39495;18.08;23.63
39598;18.92;23.63
39701;19.87;23.61
39804;20.95;23.61
39908;22.19;23.60
40011;23.52;23.59
4
40114;24.85;23.59
