=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:49:19 =~=~=~=~=~=~=~=~=~=~=~=
0BME280 test
-- Default Test --
Time;RH;Temp
222;29.96;23.51
325;30.00;23.51
428;30.03;23.52
531;30.08;23.52
634;30.11;23.52
737;30.16;23.52
840;30.20;23.53
943;30.25;23.52
1046;30.28;23.52
1149;30.32;23.52
1253;30.37;23.52
1356;30.42;23.52
1459;30.45;23.52
1562;30.48;23.53
1665;30.55;23.52
1768;30.62;23.53
1871;30.66;23.53
1974;30.71;23.53
2077;30.75;23.53
2180;30.80;23.53
2283;30.83;23.53
2386;30.87;23.53
2490;30.91;23.53
2593;30.96;23.53
2696;31.00;23.53
2799;31.03;23.53
2902;31.07;23.53
3005;31.12;23.53
3108;31.17;23.53
3211;31.20;23.52
3314;31.21;23.53
3417;31.33;23.53
3520;31.37;23.53
3623;31.42;23.53
3727;31.45;23.53
3830;31.48;23.54
3933;31.53;23.54
4036;31.56;23.54
4139;31.61;23.54
4242;31.65;23.54
4345;31.69;23.54
4448;31.73;23.54
4551;31.79;23.54
4654;31.83;23.54
4757;31.84;23.54
4860;31.89;23.54
4964;31.98;23.54
5067;32.01;23.54
5170;32.05;23.54
5273;32.02;23.54
5376;31.95;23.54
5479;31.90;23.54
5582;31.90;23.54
5685;31.88;23.54
5788;31.87;23.54
5891;31.86;23.54
5994;31.83;23.54
6097;31.78;23.54
6200;31.69;23.54
6303;31.61;23.54
6406;31.47;23.54
6509;31.30;23.54
6612;30.98;23.54
6716;30.80;23.54
6819;30.61;23.54
6922;30.40;23.54
7025;30.20;23.54
7128;30.00;23.54
7231;29.77;23.54
7334;29.56;23.54
7437;29.35;23.54
7540;29.12;23.54
7643;28.90;23.54
7746;28.68;23.54
7849;28.46;23.53
7953;28.23;23.54
8056;28.02;23.54
8159;27.81;23.53
8262;27.40;23.54
8365;27.19;23.53
8468;26.99;23.54
8571;26.79;23.53
8674;26.57;23.53
8777;26.39;23.53
8880;26.20;23.53
8983;26.01;23.53
9086;25.82;23.53
9190;25.65;23.53
9293;25.48;23.53
9396;25.31;23.54
9499;25.14;23.54
9602;25.00;23.54
9705;24.83;23.54
9808;24.52;23.53
9911;24.36;23.53
10014;24.24;23.53
1
10117;24.09;23.53
10220;23.97;23.53
10323;23.82;23.53
10427;23.69;23.53
10530;23.55;23.53
10633;23.43;23.53
10736;23.30;23.53
2
10839;23.19;23.53
10942;23.08;23.53
11045;22.99;23.53
11148;22.86;23.53
11251;22.79;23.53
11354;22.67;23.53
11457;22.46;23.53
11560;22.37;23.53
11664;22.27;23.53
11767;22.18;23.53
11870;22.09;23.53
11973;22.01;23.53
12076;21.92;23.53
12179;21.83;23.54
12282;21.74;23.53
12385;21.66;23.53
12488;21.57;23.53
12591;21.48;23.53
12694;21.42;23.53
12797;21.33;23.53
12901;21.27;23.53
13004;21.14;23.54
13107;21.08;23.54
13210;21.00;23.53
13313;20.95;23.53
13416;20.88;23.54
13519;20.82;23.53
13622;20.77;23.53
13725;20.71;23.53
13828;20.66;23.53
13931;20.61;23.53
14034;20.56;23.53
14138;20.52;23.53
14241;20.48;23.54
14344;20.40;23.54
14447;20.35;23.53
14550;20.30;23.53
14653;20.19;23.53
14756;20.14;23.53
14859;20.10;23.53
14962;20.05;23.54
15065;20.01;23.53
15168;19.97;23.53
15271;19.93;23.54
15375;19.88;23.54
15478;19.84;23.54
15581;19.79;23.54
15684;19.76;23.53
15787;19.72;23.54
15890;19.69;23.53
15993;19.66;23.53
16096;19.62;23.53
16199;19.59;23.54
16302;19.52;23.53
16405;19.49;23.53
16508;19.44;23.54
16612;19.41;23.53
16715;19.38;23.53
16818;19.34;23.54
16921;19.30;23.53
17024;19.26;23.53
17127;19.24;23.54
17230;19.21;23.54
17333;19.18;23.54
17436;19.15;23.53
17539;19.11;23.54
17642;19.09;23.53
17745;19.06;23.53
17848;18.99;23.54
17951;18.97;23.53
18054;18.95;23.53
18157;18.92;23.53
18260;18.90;23.52
18364;18.87;23.53
18467;18.84;23.53
18570;18.82;23.53
18673;18.79;23.53
18776;18.77;23.52
18879;18.74;23.52
18982;18.72;23.52
19085;18.69;23.52
19188;18.68;23.53
19291;18.62;23.53
19394;18.62;23.53
19497;18.57;23.53
19601;18.55;23.53
19704;18.54;23.52
19807;18.52;23.53
19910;18.48;23.53
20013;18.46;23.53
20116;18.43;23.53
20219;18.41;23.53
20322;18.39;23.53
20425;18.37;23.53
20528;18.34;23.53
20631;18.31;23.53
20734;18.27;23.53
20838;18.25;23.53
20941;18.24;23.53
21044;18.20;23.53
21147;18.18;23.53
21250;18.17;23.53
21353;18.15;23.53
21456;18.12;23.53
21559;18.11;23.53
21662;18.09;23.53
21765;18.05;23.53
21868;18.03;23.53
21971;18.01;23.53
22075;18.00;23.53
22178;18.00;23.53
22281;17.98;23.53
22384;17.95;23.53
22487;17.93;23.53
22590;17.92;23.53
22693;17.88;23.53
22796;17.86;23.53
22899;17.85;23.53
23002;17.84;23.53
23105;17.82;23.53
23208;17.79;23.53
23312;17.78;23.53
23415;17.76;23.53
23518;17.73;23.53
23621;17.72;23.54
23724;17.71;23.53
23827;17.69;23.53
23930;17.70;23.53
24033;17.66;23.53
24136;17.62;23.53
24239;17.65;23.53
24342;17.59;23.53
24445;17.58;23.53
24549;17.56;23.53
24652;17.55;23.53
24755;17.52;23.53
24858;17.51;23.53
24961;17.49;23.53
25064;17.48;23.53
25167;17.47;23.53
25270;17.45;23.53
25373;17.44;23.53
25476;17.45;23.54
25579;17.42;23.53
25682;17.41;23.53
25786;17.43;23.53
25889;17.39;23.53
25992;17.38;23.53
26095;17.38;23.53
26198;17.37;23.53
26301;17.34;23.53
26404;17.33;23.53
26507;17.32;23.53
26610;17.33;23.53
26713;17.32;23.53
26816;17.30;23.53
26919;17.29;23.53
27023;17.29;23.53
27126;17.29;23.53
27229;17.25;23.53
27332;17.24;23.53
27435;17.22;23.53
27538;17.20;23.53
27641;17.20;23.53
27744;17.17;23.53
27847;17.15;23.53
27950;17.15;23.53
28053;17.14;23.53
28156;17.13;23.53
28260;17.12;23.53
