=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2045375;10403953
2045380;10502381
2045404;10407777
2045430;10404056
2045456;10404278
2045482;10404283
2045509;10405070
2045535;10403973
2045561;10403913
2045587;10403771
2045614;10403584
2045639;10403514
2045666;10403194
2045692;10403505
2045718;10403175
2045744;10403313
2045771;10403584
2045797;10403918
2045823;10403618
2045849;10404081
2045876;10403756
2045902;10403613
2045928;10404051
2045955;10404135
2045980;10405056
2046007;10403839
2046033;10403850
2046059;10403854
2046085;10403727
2046112;10404602
2046137;10404632
2046164;10404736
2046191;10404199
2046216;10404312
2046242;10404957
2046269;10405115
2046295;10404898
2046321;10404588
2046347;10404648
2046374;10404903
2046400;10404198
2046426;10404174
2046452;10404367
2046478;10404376
2046505;10404150
2046531;10404371
2046557;10404568
2046584;10404411
2046610;10404509
2046635;10403988
2046662;10404356
2046689;10404913
2046714;10404529
2046741;10405125
2046767;10404681
2046793;10405233
2046819;10404425
2046846;10404411
2046872;10404765
2046898;10404632
2046924;10405011
2046950;10405090
2046977;10405691
2047003;10404809
2047029;10404947
2047055;10404780
2047081;10404795
2047108;10405611
2047134;10405386
2047160;10405705
2047186;10405159
2047213;10405696
2047239;10405090
2047265;10405686
2047291;10405651
2047317;10405410
2047344;10405454
2047370;10405011
2047396;10405824
2047422;10405425
2047449;10405366
2047475;10405493
2047501;10405986
2047527;10406188
2047553;10406075
2047580;10406326
2047605;10406006
2047632;10405829
2047658;10405774
2047684;10406651
2047711;10406640
2047737;10406936
2047763;10407109
2047789;10406316
2047815;10406296
2047842;10406350
2047868;10405676
2047894;10406114
2047921;10405587
2047946;10405616
2047973;10406434
2047999;10406336
2048025;10405730
2048052;10405370
2048077;10405705
2048104;10405794
2048130;10407128
2048156;10406557
2048183;10405991
2048209;10406222
2048235;10406690
2048261;10405991
2048287;10406276
2048313;10406385
2048340;10406251
2048366;10406611
2048392;10405947
2048418;10405892
2048444;10405612
2048471;10406400
2048497;10405800
2048523;10405237
2048550;10405691
2048575;10405883
2048602;10405986
2048628;10406399
2048654;10405917
2048681;10406336
2048707;10406307
2048733;10406543
2048759;10406803
2048785;10406700
2048812;10405986
2048838;10406301
2048864;10406060
2048890;10405843
2048916;10405641
2048943;10405509
2048969;10405877
2048995;10405908
2049021;10405577
2049048;10405607
2049074;10405602
2049100;10406203
2049126;10406065
2049153;10406094
2049179;10405789
2049205;10406133
2049231;10406292
2049257;10406133
2049283;10405966
2049310;10406419
2049336;10406114
2049362;10406035
2049388;10405853
2049415;10406218
2049441;10406449
2049467;10406587
2049493;10405789
2049520;10406104
2049545;10405893
2049572;10406602
2049598;10406838
2049624;10406793
2049651;10406277
2049677;10406419
2049703;10406163
2049729;10407000
2049756;10406966
2049782;10406537
2049808;10406051
2049834;10405814
2049860;10405548
2049887;10405631
2049912;10406173
2049939;10406159
2049965;10406104
2049991;10405749
2050018;10405144
2050044;10404894
2050070;10405420
2050096;10405592
2050122;10404971
2050149;10406651
2050175;10404986
2050201;10404932
2050227;10405321
2050254;10406168
2050280;10405868
2050305;10405641
2050332;10406227
2050359;10405627
2050385;10405769
2050410;10405445
2050437;10405307
2050463;10405621
2050489;10406164
2050516;10405965
2050542;10405829
2050568;10405810
2050594;10405908
2050621;10405882
2050646;10406041
2050673;10405454
2050699;10405185
2050725;10405913
2050752;10406153
2050777;10405770
2050804;10405847
2050830;10405287
2050856;10405222
2050883;10405986
2050908;10405247
2050935;10405558
2050962;10405479
2050987;10405253
2051014;10404942
2051040;10405484
2051066;10405720
2051092;10405824
2051119;10405805
2051145;10405330
2051171;10406021
2051197;10405449
2051224;10405720
2051249;10405498
2051276;10405602
2051302;10405710
2051328;10406266
2051355;10405976
2051381;10405671
2051407;10405809
2051433;10405696
2051459;10406355
2051486;10405193
2051512;10405744
2051538;10405962
2051565;10405710
2051590;10405400
2051617;10406080
2051643;10406400
2051669;10406080
2051696;10405902
2051721;10405764
2051748;10405026
2051774;10405346
2051800;10405454
2051827;10406399
2051852;10405539
2051879;10406322
2051905;10406113
2051931;10405041
2051958;10406031
2051984;10406552
2052010;10406123
2052036;10406445
2052062;10406567
2052089;10406763
2052115;10406287
2052141;10406188
2052167;10405829
2052194;10405962
2052219;10406050
2052246;10406118
2052272;10405976
2052298;10406449
2052324;10405971
2052351;10406321
2052377;10407045
2052403;10406670
2052429;10406803
2052455;10406518
2052482;10406306
2052508;10406020
2052535;10406425
2052560;10406625
2052587;10406026
2052613;10405932
2052639;10405440
2052665;10405789
2052692;10405189
2052718;10405341
2052744;10405149
2052770;10405582
2052796;10405335
2052823;10405805
2052848;10405401
2052875;10404824
2052901;10405795
2052927;10405046
2052954;10405553
2052980;10405503
2053006;10405445
2053032;10404361
2053059;10405848
2053084;10405056
2053111;10405686
2053138;10405258
2053163;10405105
2053190;10405390
2053215;10405647
2053242;10405842
2053268;10405361
2053294;10405774
2053321;10405775
2053347;10405508
2053373;10406287
2053399;10405744
2053426;10405159
2053451;10405321
2053478;10404923
2053504;10405760
2053531;10405287
2053556;10405784
2053583;10405661
2053609;10405135
2053636;10404976
2053661;10404809
2053688;10405341
2053714;10405001
2053740;10405248
2053766;10405350
2053793;10405440
2053819;10405233
2053845;10405612
2053872;10405943
2053897;10405533
2053924;10405691
2053950;10405385
2053976;10405435
2054002;10405888
2054029;10406168
2054054;10405627
2054081;10405957
2054107;10405923
2054133;10405760
2054160;10405548
2054186;10406419
2054212;10405662
2054238;10405952
2054264;10405759
2054291;10406065
2054317;10406036
2054343;10406346
2054369;10406212
2054395;10406184
2054422;10405242
2054448;10405459
2054474;10405691
2054500;10405952
2054527;10406075
2054553;10405666
2054579;10405415
2054605;10406060
2054631;10406395
2054658;10405769
2054684;10405656
2054710;10405893
2054737;10406045
2054762;10405814
2054789;10406124
2054815;10406148
2054841;10406316
2054868;10405622
2054893;10405596
2054920;10406056
2054946;10406169
2054972;10406572
2054999;10405947
2055024;10406444
2055051;10405848
2055077;10405568
2055103;10405336
2055130;10405223
2055156;10405227
2055182;10405705
2055208;10405705
2055234;10405189
2055261;10404997
2055287;10405705
2055313;10405641
2055339;10405159
2055365;10405661
2055392;10406075
2055417;10405169
2055444;10405543
2055470;10405962
2055497;10405120
2055522;10405164
2055549;10405100
2055575;10405637
2055601;10405691
2055628;10404647
2055654;10405386
2055680;10404834
2055706;10405888
2055732;10405026
2055758;10405262
2055785;10404676
2055811;10404662
2055837;10404475
2055864;10404317
2055890;10404657
2055916;10404874
2055942;10405179
2055968;10404942
2055994;10405179
2056021;10405212
2056047;10405469
2056073;10404962
2056100;10405336
2056125;10405411
2056152;10405473
2056178;10405597
2056204;10405445
2056231;10405617
2056256;10405621
2056283;10405056
2056309;10405253
2056335;10405110
2056362;10405159
2056387;10405548
2056414;10405775
2056441;10405445
2056466;10405375
2056493;10405469
2056519;10404878
2056545;10406380
2056572;10405872
2056597;10405421
2056624;10405293
2056650;10405282
2056676;10405523
2056703;10405853
2056729;10405440
2056755;10405553
2056781;10405843
2056808;10405602
2056833;10405636
2056860;10405174
2056885;10406080
2056912;10406090
2056938;10405819
2056964;10405267
2056991;10406070
2057017;10406365
2057043;10406444
2057069;10406611
2057096;10405912
2057122;10406513
2057148;10406661
2057174;10406493
2057201;10406833
2057227;10407089
2057253;10406464
2057279;10406439
2057305;10406326
2057331;10406773
2057358;10406350
2057384;10406759
2057410;10406542
2057437;10406616
2057463;10406439
2057489;10406350
2057515;10406690
2057541;10406651
2057567;10406355
2057594;10406753
2057620;10406287
2057646;10406951
2057673;10407138
2057698;10406562
2057725;10406803
2057751;10406897
2057777;10407157
2057804;10407153
2057829;10407014
2057856;10407291
2057882;10408098
2057908;10408153
2057935;10407325
2057960;10407237
2057987;10406867
2058014;10407084
2058039;10406808
2058066;10406843
2058091;10406995
2058118;10407015
2058145;10407546
2058170;10406488
2058197;10407621
2058223;10406374
2058249;10406774
2058275;10406789
2058302;10406415
2058327;10406321
2058354;10406744
2058380;10406567
2058406;10406838
2058433;10406783
2058458;10406503
2058485;10406385
2058512;10406630
2058538;10406533
2058563;10406690
2058590;10407261
2058616;10406625
2058642;10406966
2058669;10405883
2058695;10406429
2058721;10406665
2058747;10406380
2058774;10405744
2058799;10406597
2058826;10406592
2058852;10406641
2058878;10406705
2058905;10406537
2058930;10406739
2058957;10407045
2058983;10408079
2059009;10407024
2059036;10406094
2059061;10407286
2059088;10406611
2059114;10407114
2059140;10406660
2059167;10406527
2059193;10406671
2059219;10406364
2059245;10406322
2059272;10406966
2059298;10406399
2059324;10406567
2059350;10406464
2059376;10405701
2059403;10406114
2059428;10406365
2059455;10405212
2059481;10405563
2059507;10405484
2059534;10405548
2059559;10406139
2059586;10405573
2059613;10406287
2059638;10406128
2059665;10406754
2059691;10406198
2059717;10406533
2059743;10406149
2059770;10406552
2059796;10406429
2059822;10407045
2059848;10406537
2059875;10406971
2059900;10406621
2059927;10406582
2059953;10405892
2059979;10406789
2060006;10406429
2060032;10406213
2060058;10406316
2060084;10406434
2060110;10406769
2060136;10406404
2060163;10406572
2060189;10406592
2060216;10406390
2060241;10406380
2060268;10406355
2060294;10407079
2060320;10406355
2060346;10406247
2060372;10405872
2060399;10406252
2060425;10405626
2060451;10405336
2060477;10405651
2060503;10406124
2060530;10405872
2060556;10406272
2060582;10406887
2060609;10406430
2060635;10406213
2060661;10405897
2060687;10406163
2060713;10406503
2060740;10406961
2060765;10406661
2060792;10407260
2060818;10407163
2060844;10407177
2060871;10407350
2060897;10406784
2060923;10408029
2060949;10406814
