=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:47:04 =~=~=~=~=~=~=~=~=~=~=~=
9BME280 test
-- Default Test --
Time;RH;Temp
222;37.45;-14.65
325;37.49;-14.65
428;37.50;-14.65
531;37.53;-14.64
634;37.54;-14.65
737;37.57;-14.64
840;37.59;-14.64
943;37.63;-14.63
1046;37.62;-14.63
1149;37.68;-14.62
1253;37.71;-14.62
1356;37.74;-14.62
1459;37.76;-14.62
1562;37.78;-14.61
1665;37.81;-14.61
1768;37.83;-14.61
1871;37.86;-14.61
1974;37.88;-14.60
2077;37.92;-14.60
2180;37.96;-14.60
2283;38.00;-14.59
2386;38.03;-14.59
2490;38.06;-14.59
2593;38.09;-14.58
2696;38.12;-14.58
2799;38.15;-14.58
2902;38.18;-14.57
3005;38.21;-14.57
3108;38.23;-14.57
3211;38.26;-14.57
3314;38.35;-14.56
3417;38.37;-14.56
3520;38.41;-14.56
3623;38.44;-14.55
3727;38.47;-14.55
3830;38.50;-14.54
3933;38.54;-14.54
4036;38.57;-14.54
4139;38.58;-14.54
4242;38.65;-14.53
4345;38.71;-14.53
4448;38.77;-14.52
4551;38.80;-14.52
4654;38.84;-14.52
4757;38.88;-14.51
4860;38.92;-14.51
4964;38.96;-14.51
5067;38.99;-14.50
5170;39.04;-14.50
5273;39.10;-14.50
5376;39.12;-14.50
5479;39.21;-14.49
5582;39.25;-14.49
5685;39.29;-14.48
5788;39.33;-14.48
5891;39.37;-14.48
5994;39.42;-14.47
6097;39.46;-14.47
6200;39.51;-14.47
6303;39.53;-14.47
6406;39.57;-14.46
6509;39.68;-14.46
6612;39.72;-14.45
6716;39.77;-14.46
6819;39.82;-14.45
6922;39.86;-14.45
7025;39.91;-14.45
7128;39.95;-14.44
7231;40.00;-14.44
7334;40.02;-14.43
7437;40.09;-14.43
7540;40.16;-14.42
7643;40.23;-14.42
7746;40.28;-14.42
7849;40.33;-14.41
7953;40.38;-14.41
8056;40.43;-14.41
8159;40.49;-14.41
8262;40.53;-14.41
8365;40.56;-14.40
8468;40.61;-14.40
8571;40.69;-14.40
8674;40.78;-14.40
8777;40.82;-14.39
8880;40.88;-14.39
8983;40.92;-14.38
9086;40.97;-14.38
9190;41.02;-14.38
9293;41.08;-14.37
9396;41.13;-14.37
9499;41.14;-14.37
9602;41.22;-14.37
9705;41.32;-14.36
9808;41.38;-14.36
9911;41.43;-14.36
10014;41.48;-14.35
10117;41.53;-14.35
10220;41.58;-14.35
10323;41.63;-14.35
10427;41.70;-14.34
10530;41.73;-14.34
10633;41.78;-14.34
10736;41.78;-14.32
10839;41.82;-14.32
10942;41.84;-14.31
11045;41.84;-14.29
11148;41.86;-14.29
11251;41.87;-14.27
11354;41.86;-14.26
11457;41.86;-14.25
11560;41.85;-14.24
11664;41.82;-14.24
11767;41.83;-14.23
11870;41.78;-14.21
11973;41.76;-14.20
12076;41.74;-14.19
12179;41.71;-14.19
12282;41.68;-14.19
12385;41.65;-14.18
12488;41.62;-14.18
12591;41.59;-14.17
12694;41.56;-14.16
12797;41.57;-14.16
12901;41.46;-14.16
13004;41.42;-14.14
13107;41.38;-14.14
13210;41.34;-14.13
13313;41.31;-14.13
13416;41.27;-14.13
13519;41.23;-14.12
13622;41.19;-14.12
13725;41.16;-14.11
13828;41.10;-14.11
13931;41.07;-14.11
14034;40.99;-14.09
14138;40.95;-14.09
14241;40.91;-14.09
14344;40.87;-14.08
14447;40.83;-14.08
14550;40.79;-14.08
14653;40.75;-14.07
14756;40.71;-14.06
14859;40.64;-14.07
14962;40.64;-14.06
15065;40.53;-14.05
15168;40.49;-14.05
15271;40.45;-14.04
15375;40.41;-14.03
15478;40.37;-14.03
15581;40.32;-14.03
15684;40.28;-14.03
15787;40.24;-14.02
15890;40.21;-14.02
15993;40.16;-14.01
16096;40.10;-14.01
16199;40.02;-14.00
16302;39.98;-14.00
16405;39.95;-13.99
16508;39.90;-13.99
16612;39.86;-13.99
16715;39.82;-13.98
16818;39.78;-13.98
16921;39.74;-13.98
17024;39.73;-13.98
17127;39.68;-13.97
17230;39.58;-13.97
17333;39.54;-13.96
17436;39.50;-13.96
17539;39.46;-13.95
17642;39.42;-13.96
17745;39.38;-13.95
17848;39.34;-13.94
17951;39.31;-13.94
18054;39.25;-13.94
18157;39.22;-13.93
18260;39.16;-13.92
18364;39.12;-13.92
18467;39.08;-13.92
18570;39.04;-13.92
18673;38.99;-13.92
18776;38.95;-13.92
18879;38.91;-13.92
18982;38.88;-13.91
19085;38.86;-13.91
19188;38.82;-13.91
19291;38.80;-13.91
19394;38.70;-13.90
19497;38.66;-13.90
19601;38.63;-13.89
19704;38.58;-13.89
19807;38.55;-13.89
19910;38.52;-13.89
20013;38.49;-13.88
20116;38.45;-13.88
20219;38.40;-13.88
20322;38.39;-13.88
20425;38.31;-13.87
20528;38.28;-13.87
20631;38.25;-13.87
20734;38.21;-13.87
20838;38.18;-13.86
20941;38.14;-13.86
21044;38.10;-13.86
21147;38.07;-13.86
21250;38.04;-13.86
21353;38.01;-13.86
21456;37.94;-13.85
21559;37.91;-13.85
21662;37.88;-13.85
21765;37.85;-13.85
21868;37.81;-13.85
21971;37.79;-13.85
22075;37.75;-13.84
22178;37.71;-13.84
22281;37.65;-13.83
22384;37.62;-13.83
22487;37.61;-13.83
22590;37.56;-13.83
22693;37.53;-13.83
22796;37.50;-13.83
22899;37.46;-13.82
23002;37.44;-13.82
23105;37.41;-13.82
23208;37.38;-13.82
23312;37.33;-13.82
23415;37.32;-13.81
23518;37.29;-13.81
23621;37.22;-13.81
23724;37.19;-13.81
23827;37.17;-13.80
23930;37.15;-13.80
24033;37.12;-13.80
24136;37.09;-13.80
24239;37.07;-13.80
24342;37.04;-13.80
24445;36.96;-13.80
24549;36.98;-13.80
24652;36.92;-13.80
24755;36.90;-13.80
24858;36.87;-13.80
24961;36.84;-13.79
25064;36.81;-13.79
25167;36.79;-13.79
25270;36.75;-13.79
25373;36.73;-13.79
25476;36.71;-13.78
25579;36.72;-13.79
25682;36.64;-13.78
25786;36.60;-13.78
25889;36.57;-13.78
25992;36.55;-13.78
26095;36.53;-13.78
26198;36.50;-13.78
26301;36.46;-13.78
26404;36.44;-13.78
26507;36.41;-13.78
26610;36.37;-13.78
26713;36.34;-13.78
26816;36.31;-13.78
26919;36.28;-13.77
27023;36.26;-13.78
27126;36.24;-13.77
27229;36.21;-13.77
27332;36.20;-13.77
27435;36.17;-13.77
27538;36.15;-13.77
27641;36.12;-13.77
27744;36.11;-13.77
27847;36.07;-13.77
27950;36.02;-13.77
28053;36.00;-13.77
28156;35.97;-13.77
28260;35.95;-13.77
28363;35.93;-13.77
28466;35.91;-13.77
28569;35.88;-13.77
28672;35.86;-13.76
28775;35.80;-13.76
28878;35.79;-13.76
28981;35.78;-13.76
29084;35.74;-13.77
29187;35.72;-13.77
29290;35.69;-13.77
29393;35.68;-13.77
29496;35.66;-13.77
29599;35.64;-13.76
29702;35.62;-13.77
29805;35.62;-13.76
29908;35.57;-13.76
30012;35.54;-13.78
30115;35.51;-13.77
30218;35.50;-13.77
30321;35.47;-13.77
30424;35.45;-13.76
30527;35.42;-13.77
30630;35.40;-13.77
30733;35.38;-13.77
30836;35.36;-13.77
30939;35.37;-13.77
31042;35.33;-13.76
31145;35.28;-13.77
31249;35.26;-13.77
31352;35.24;-13.77
31455;35.22;-13.77
31558;35.20;-13.76
31661;35.18;-13.76
31764;35.16;-13.77
31867;35.14;-13.76
31970;35.11;-13.77
32073;35.12;-13.77
32176;35.06;-13.77
32279;35.03;-13.77
32382;35.02;-13.77
32486;35.00;-13.77
32589;34.98;-13.77
32692;34.96;-13.77
32795;34.95;-13.77
32898;34.93;-13.77
33001;34.89;-13.77
33104;34.91;-13.77
33207;34.85;-13.77
33310;34.84;-13.77
33413;34.83;-13.77
33516;34.81;-13.77
33619;34.79;-13.77
33723;34.76;-13.77
33826;34.74;-13.77
33929;34.73;-13.77
34032;34.71;-13.77
34135;34.67;-13.77
34238;34.65;-13.77
34341;34.65;-13.78
34444;34.63;-13.78
34547;34.61;-13.78
34650;34.59;-13.78
34753;34.58;-13.78
34856;34.56;-13.78
34960;34.54;-13.78
35063;34.52;-13.78
35166;34.50;-13.78
35269;34.48;-13.78
35372;34.46;-13.78
35475;34.43;-13.78
35578;34.42;-13.78
35681;34.40;-13.79
35784;34.39;-13.78
35887;34.37;-13.78
35990;34.35;-13.79
36093;34.34;-13.78
36197;34.29;-13.79
36300;34.28;-13.79
36403;34.32;-13.79
36506;34.27;-13.79
36609;34.25;-13.79
36712;34.24;-13.79
36815;34.22;-13.79
36918;34.21;-13.80
37021;34.19;-13.80
37124;34.18;-13.80
37227;34.17;-13.80
37330;34.16;-13.80
37434;34.13;-13.80
37537;34.09;-13.80
37640;34.07;-13.80
37743;34.05;-13.80
37846;34.05;-13.80
37949;34.03;-13.80
38052;34.02;-13.80
38155;34.00;-13.80
38258;33.98;-13.81
38361;33.95;-13.81
38464;33.96;-13.81
38567;33.92;-13.81
38671;33.92;-13.81
38774;33.90;-13.82
38877;33.89;-13.82
38980;33.87;-13.82
39083;33.85;-13.82
39186;33.83;-13.83
39289;33.82;-13.82
39392;33.81;-13.82
39495;33.78;-13.82
39598;33.76;-13.82
39701;33.75;-13.83
39804;33.74;-13.83
39908;33.72;-13.82
40011;33.71;-13.83
40114;33.69;-13.83
40217;33.68;-13.83
40320;33.67;-13.83
40423;33.65;-13.83
40526;33.61;-13.83
40629;33.66;-13.84
40732;33.60;-13.84
40835;33.58;-13.84
40938;33.56;-13.84
41041;33.55;-13.85
41144;33.54;-13.85
41247;33.53;-13.85
41350;33.51;-13.85
41453;33.50;-13.85
41556;33.49;-13.85
41660;33.48;-13.85
41763;33.45;-13.85
41866;33.43;-13.85
41969;33.42;-13.85
42072;33.41;-13.85
42175;33.39;-13.85
42278;33.38;-13.85
42381;33.38;-13.86
42484;33.36;-13.85
42587;33.35;-13.86
42690;33.32;-13.85
42793;33.32;-13.86
42897;33.29;-13.86
43000;33.29;-13.86
43103;33.27;-13.86
43206;33.26;-13.86
43309;33.25;-13.86
43412;33.24;-13.86
43515;33.23;-13.87
43618;33.22;-13.87
43721;33.23;-13.87
43824;33.16;-13.87
43927;33.22;-13.87
44030;33.16;-13.87
44134;33.15;-13.87
44237;33.14;-13.88
44340;33.13;-13.87
44443;33.12;-13.88
44546;33.11;-13.88
44649;33.10;-13.88
44752;33.08;-13.88
44855;33.07;-13.88
44958;33.04;-13.88
45061;33.04;-13.89
45164;33.03;-13.89
45267;33.01;-13.89
45371;33.00;-13.89
45474;32.99;-13.89
1
45577;32.98;-13.89
45680;33.24;-13.89
45783;33.54;-13.89
45886;33.91;-13.85
45989;34.25;-13.79
46092;35.04;-13.65
46195;35.46;-13.57
46298;35.88;-13.49
46401;36.32;-13.41
46504;36.76;-13.34
46608;37.22;-13.29
46711;37.71;-13.23
46814;38.17;-13.18
46917;38.63;-13.13
47020;39.09;-13.10
47123;39.59;-13.03
47226;40.55;-13.01
47329;40.99;-12.98
47432;41.44;-12.96
47535;41.84;-12.94
47638;42.26;-12.92
47741;42.63;-12.92
47845;42.96;-12.91
47948;43.37;-12.90
48051;43.71;-12.90
