=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:52:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1576639;10444718
1576676;10445406
1576729;10446716
1576782;10446824
1576836;10447496
1576889;10448081
1576943;10449032
1576995;10449928
1577049;10451434
1577102;10452476
1577155;10452935
1577208;10453678
1577262;10454111
1577315;10453944
1577368;10453387
1577422;10454288
1577475;10453608
1577528;10453741
1577581;10454406
1577634;10455352
1577688;10455643
1577741;10455648
1577794;10455515
1577848;10455648
1577900;10455535
1577954;10455204
1578007;10456707
1578061;10457977
1578114;10458499
1578167;10458494
1578221;10458459
1578273;10457637
1578327;10457917
1578380;10458031
1578433;10457903
1578487;10458415
1578540;10458543
1578593;10458774
1578646;10458873
1578699;10459138
1578753;10460147
1578806;10460428
1578859;10460772
1578913;10461181
1578966;10461698
1579019;10461555
1579072;10462220
1579126;10462137
1579179;10461615
1579232;10462313
1579285;10462160
1579339;10463786
1579391;10463640
1579445;10464727
1579498;10464782
1579552;10465412
1579605;10465678
1579658;10465101
1579711;10464614
1579764;10463816
1579818;10463477
1579871;10463118
1579925;10463492
1579977;10464240
1580031;10464559
1580084;10462797
1580138;10462421
1580190;10462762
1580244;10463256
1580297;10463856
1580350;10464250
1580404;10464413
1580457;10464855
1580510;10464531
1580563;10465071
1580617;10465939
1580670;10466903
1580723;10466110
1580776;10465525
1580829;10465598
1580883;10465884
1580936;10466504
1580989;10466966
1581043;10466863
1581096;10467104
1581149;10467952
1581202;10467626
1581255;10469054
1581309;10468956
1581362;10469074
1581415;10469443
1581469;10469501
1581522;10469850
1581575;10470201
1581629;10469619
1581682;10469649
1581735;10469107
1581789;10469594
1581841;10470013
1581895;10470462
1581948;10470447
1582001;10470964
1582054;10469516
1582108;10468374
1582161;10468123
1582214;10469812
1582267;10470093
1582320;10469832
1582374;10470289
1582427;10470698
1582480;10471217
1582534;10471458
1582587;10471797
1582640;10472121
1582694;10472397
1582747;10472083
1582800;10471561
1582853;10471719
1582907;10471054
1582959;10471147
1583013;10470846
1583066;10474317
1583119;10471504
1583173;10471300
1583226;10471900
1583279;10472013
1583333;10469398
1583386;10468216
1583438;10469478
1583492;10470821
1583545;10472078
1583599;10472628
1583652;10470552
1583705;10470088
1583758;10470244
1583812;10471433
1583865;10471197
1583919;10471875
1583971;10472535
1584024;10472648
1584078;10471842
1584131;10470771
1584184;10470464
1584238;10471323
1584291;10471280
1584344;10471428
1584397;10471285
1584450;10471852
1584504;10471900
1584557;10473180
1584610;10473052
1584663;10474016
1584717;10474189
1584770;10474583
1584824;10474927
1584877;10474563
1584930;10474435
1584983;10474249
1585036;10474254
1585089;10474460
1585143;10475030
1585196;10475055
1585250;10475419
1585303;10475750
1585356;10475833
1585410;10476178
1585462;10476749
1585516;10476148
1585569;10475651
1585622;10476311
1585676;10476099
1585728;10476483
1585782;10476670
1585835;10476675
1585889;10476114
1585942;10476188
1585995;10476291
1586048;10476705
1586102;10476144
1586155;10475198
1586208;10475125
1586262;10474844
1586314;10475030
1586368;10475183
1586421;10476355
1586475;10476134
1586527;10477129
1586580;10476873
1586634;10476887
1586687;10477370
1586741;10477217
1586793;10477704
1586847;10476986
1586900;10476124
1586954;10476119
1587007;10476291
1587060;10475926
1587113;10476183
1587167;10475941
1587220;10476823
1587273;10477242
1587326;10477571
1587380;10476991
1587433;10476921
1587486;10477109
1587539;10476803
1587593;10476675
1587646;10476350
1587699;10476104
1587752;10476326
1587805;10476631
1587859;10477011
1587912;10477546
1587965;10477774
1588018;10477797
1588072;10477827
1588125;10477533
1588179;10477207
1588231;10477252
1588285;10476793
1588338;10477272
1588391;10477616
1588445;10477533
1588498;10477039
1588551;10476878
1588604;10477646
1588657;10477774
1588711;10477315
1588764;10477375
1588817;10478005
1588870;10477812
1588924;10478286
1588977;10478291
1589031;10478437
1589083;10478585
1589136;10478605
1589190;10478437
1589243;10478206
1589297;10479147
1589350;10478404
1589403;10478211
1589456;10478806
1589509;10477995
1589563;10478196
1589616;10478580
1589670;10478339
1589722;10478615
1589776;10478404
1589829;10478655
1589882;10478798
1589936;10479405
1589988;10480329
1590042;10480826
1590095;10481270
1590148;10481551
1590201;10481308
1590255;10480645
1590308;10479887
1590361;10479192
1590415;10480063
1590468;10479498
1590521;10479586
1590575;10479749
1590627;10479641
1590681;10479149
1590734;10478698
1590788;10477902
1590841;10478226
1590894;10479305
1590948;10479443
1591000;10479255
1591053;10478457
1591107;10479453
1591160;10480369
1591214;10480384
1591267;10479902
1591320;10480768
1591373;10480005
1591426;10480226
1591480;10479704
1591533;10479656
1591586;10479345
1591639;10479609
1591693;10479752
1591746;10480063
1591799;10480808
1591852;10480311
1591906;10480168
1591959;10480462
1592012;10480580
1592065;10480422
1592119;10480808
1592172;10481368
1592226;10480344
1592279;10479370
1592332;10478989
1592385;10478635
1592438;10479167
1592491;10479230
1592545;10479717
1592598;10480620
1592651;10481295
1592705;10481102
1592757;10480916
1592811;10480050
1592864;10480419
1592918;10480404
1592971;10480354
1593024;10480040
1593077;10479355
1593130;10479054
1593184;10478271
1593237;10478191
1593291;10478502
1593343;10478798
1593397;10478565
1593450;10479245
1593504;10479589
1593557;10479448
1593609;10479295
1593663;10479004
1593716;10479850
1593770;10479315
1593823;10479154
1593876;10479498
1593929;10479764
1593983;10479694
1594036;10479528
1594089;10479556
1594143;10479072
1594195;10478404
1594249;10479285
1594302;10479270
1594356;10479689
1594409;10479764
1594462;10479616
1594515;10479503
1594568;10479438
1594622;10480000
1594675;10479749
1594728;10480010
1594781;10481353
1594834;10481132
1594888;10479784
1594941;10481117
1594995;10481564
1595048;10481659
1595101;10481835
1595154;10481679
1595208;10480399
1595261;10479187
1595314;10479119
1595367;10478301
1595421;10478773
1595474;10478966
1595527;10478708
1595580;10478048
1595633;10477257
1595686;10477207
1595739;10477370
1595793;10478542
1595846;10478522
1595900;10478294
1595953;10477807
1596006;10478176
1596060;10478846
1596113;10479571
1596166;10479405
1596219;10480906
1596272;10480645
1596326;10480871
1596379;10480560
1596432;10480570
1596486;10480660
1596539;10480296
1596592;10480442
1596645;10480168
1596698;10481215
1596752;10481215
1596805;10481802
1596859;10481905
1596911;10481491
1596964;10481541
1597018;10482244
1597071;10481825
1597125;10481865
1597178;10481953
1597231;10481817
1597284;10481551
1597337;10481747
1597391;10481471
1597444;10481722
1597497;10481491
1597550;10481451
1597604;10481845
1597657;10482196
1597710;10481930
1597763;10481712
1597817;10481546
1597870;10481599
1597923;10481777
1597976;10481235
1598030;10482201
1598083;10481812
1598136;10481205
1598189;10481373
1598243;10481092
1598296;10481413
1598349;10481619
1598402;10481787
1598455;10482771
1598509;10482598
1598562;10482761
1598616;10483494
1598669;10483411
1598722;10482884
1598775;10482834
1598829;10482460
1598882;10482131
1598935;10482289
1598989;10482028
1599041;10481792
1599095;10481777
1599148;10482141
1599201;10483027
1599255;10482412
1599308;10482053
1599361;10481787
1599414;10481792
1599467;10482219
1599520;10483346
1599574;10483642
1599628;10484104
1599681;10483072
1599733;10482490
1599787;10481955
1599840;10482327
1599893;10482854
1599947;10483662
1600000;10483750
1600053;10484292
1600107;10483431
1600159;10483037
1600213;10482510
1600266;10482048
1600319;10481408
1600373;10481865
1600426;10482352
1600479;10482392
1600533;10482254
1600585;10482076
1600639;10481343
1600692;10481102
1600746;10481702
1600799;10481644
1600852;10481963
1600905;10482038
1600959;10482136
1601012;10482854
1601065;10483637
1601118;10483662
1601171;10484114
1601225;10484076
1601278;10484011
1601331;10483454
1601384;10483868
1601437;10483868
1601491;10483755
1601544;10484109
1601598;10484824
1601650;10483863
1601704;10483564
1601757;10482746
1601811;10483258
1601864;10483238
1601917;10483195
1601970;10482884
1602023;10481659
1602077;10481428
1602130;10481561
1602183;10481767
1602236;10482618
1602290;10482982
1602343;10483712
1602396;10483135
1602449;10483401
1602503;10483863
1602556;10484154
1602609;10484465
1602663;10485409
1602716;10484809
1602769;10482658
1602822;10481948
1602876;10482126
1602929;10482633
1602982;10482939
1603036;10482987
1603088;10483155
1603142;10483095
1603195;10483185
1603248;10483233
1603302;10483085
1603355;10483333
1603408;10483323
1603461;10483426
1603514;10483584
1603567;10483662
1603621;10483893
1603674;10484119
1603727;10484209
1603781;10484601
1603834;10484340
1603887;10484006
1603940;10484962
1603994;10484041
1604047;10484282
1604101;10484440
1604153;10484503
1604207;10484503
1604260;10484272
1604313;10483592
1604367;10482967
1604420;10483130
1604473;10483948
1604526;10484036
1604579;10484375
1604633;10483913
1604686;10484222
1604740;10484478
1604792;10484824
1604846;10484091
1604899;10483795
1604952;10484051
1605006;10484154
1605059;10483780
1605112;10483750
1605165;10484227
1605219;10483878
1605271;10484450
1605325;10484666
1605378;10484942
1605432;10485464
1605485;10485005
1605538;10485650
1605591;10484144
1605644;10483800
1605698;10483735
1605751;10483554
1605804;10483637
1605857;10483386
1605911;10483529
1605964;10483830
1606018;10483592
1606071;10484026
1606123;10483956
1606177;10483971
1606230;10484214
1606284;10484709
1606336;10483800
1606390;10481702
1606443;10481845
1606497;10481516
1606550;10481910
1606603;10482166
1606656;10482131
1606709;10482904
1606763;10482899
1606816;10478971
1606869;10471875
1606923;10453560
1606976;10444093
1607029;10428943
1607082;10406537
1607136;10391206
1607189;10372847
1607242;10359441
1607295;10346911
1607349;10335971
1607401;10324564
1607455;10312885
1607508;10303827
1607562;10297795
1607615;10292867
1607668;10285517
1607721;10278250
1607774;10270116
1607828;10259369
1607881;10251846
1607934;10245751
1607988;10239947
1608041;10232522
1608094;10229115
1608148;10226032
1608201;10223404
1608254;10221035
1608307;10217603
