=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:54:01 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2305011;10534589
2305038;10623718
2305064;10534418
2305090;10534358
2305117;10534099
2305142;10534265
2305169;10534518
2305195;10534393
2305221;10534375
2305248;10534177
2305273;10534451
2305300;10534446
2305326;10534410
2305352;10534436
2305379;10534511
2305404;10534297
2305431;10534270
2305457;10534343
2305483;10534425
2305509;10534772
2305536;10534538
2305562;10534538
2305588;10535053
2305614;10534614
2305641;10534664
2305667;10534815
2305693;10534782
2305719;10535076
2305746;10534810
2305771;10535023
2305798;10534712
2305824;10534799
2305850;10534855
2305877;10534777
2305902;10534792
2305929;10534927
2305955;10534958
2305981;10535367
2306008;10535352
2306034;10534707
2306060;10534850
2306086;10535126
2306113;10535146
2306138;10535136
2306165;10534850
2306191;10534817
2306217;10534684
2306244;10535111
2306269;10534842
2306296;10534945
2306322;10534774
2306348;10534604
2306375;10534702
2306401;10534973
2306427;10534338
2306454;10534481
2306480;10534378
2306505;10534441
2306532;10534548
2306558;10534506
2306584;10534498
2306610;10534024
2306637;10534769
2306663;10534358
2306689;10534250
2306715;10534205
2306742;10534262
2306768;10534052
2306794;10534152
2306820;10534180
2306846;10533718
2306873;10534112
2306899;10534282
2306925;10534415
2306952;10534423
2306977;10534611
2307004;10534255
2307030;10534277
2307056;10534456
2307083;10534501
2307108;10534639
2307135;10534564
2307161;10534543
2307188;10534589
2307213;10534742
2307239;10534564
2307266;10534654
2307292;10534656
2307319;10534564
2307344;10534644
2307370;10534604
2307397;10534769
2307423;10534880
2307450;10534804
2307475;10534674
2307502;10534777
2307528;10534885
2307554;10534887
2307580;10535106
2307606;10534712
2307633;10534285
2307659;10534315
2307686;10534835
2307711;10534739
2307738;10534584
2307764;10534752
2307790;10534752
2307816;10534599
2307843;10534681
2307869;10535136
2307895;10534764
2307921;10534481
2307947;10534880
2307974;10534850
2308000;10534784
2308026;10534978
2308053;10534762
2308078;10534789
2308105;10534699
2308131;10535045
2308157;10534737
2308184;10534948
2308209;10534998
2308236;10534897
2308262;10534870
2308288;10535126
2308315;10534769
2308340;10535043
2308367;10534885
2308393;10534697
2308419;10534757
2308446;10534380
2308472;10534920
2308498;10534604
2308524;10534737
2308550;10534840
2308577;10534689
2308603;10534817
2308629;10534656
2308655;10534205
2308682;10534185
2308707;10533901
2308734;10533838
2308760;10534225
2308786;10534265
2308813;10534077
2308838;10534112
2308865;10534267
2308891;10534408
2308917;10534425
2308944;10534649
2308970;10534594
2308996;10534124
2309022;10534250
2309049;10534302
2309075;10534152
2309101;10534493
2309127;10534245
2309153;10534328
2309180;10534383
2309205;10534242
2309232;10534255
2309258;10534431
2309284;10534579
2309311;10534772
2309337;10534415
2309363;10534363
2309389;10534287
2309416;10534423
2309442;10534689
2309468;10534242
2309494;10534295
2309520;10534302
2309547;10534144
2309573;10534062
2309599;10534087
2309625;10534265
2309652;10534215
2309677;10534104
2309704;10534172
2309730;10534137
2309757;10534031
2309782;10534373
2309809;10534132
2309835;10533991
2309861;10534097
2309887;10534092
2309914;10534052
2309940;10534333
2309966;10534092
2309992;10534380
2310018;10534491
2310045;10534067
2310071;10534117
2310097;10534057
2310123;10533913
2310150;10533984
2310175;10534041
2310202;10534285
2310228;10533893
2310254;10534072
2310281;10534137
2310307;10534024
2310333;10533801
2310360;10534019
2310385;10534046
2310412;10533795
2310438;10533683
2310464;10533861
2310490;10533755
2310516;10533738
2310543;10533570
2310569;10533595
2310595;10533979
2310621;10534122
2310648;10533944
2310674;10533881
2310700;10534057
2310726;10534810
2310753;10533452
2310778;10533575
2310805;10533708
2310831;10533728
2310858;10533924
2310883;10533211
2310910;10533964
2310936;10533645
2310962;10533806
2310988;10533683
2311015;10533851
2311040;10534036
2311067;10533703
2311094;10534021
2311119;10533826
2311146;10533738
2311172;10534067
2311198;10533467
2311224;10533868
2311251;10533693
2311277;10533600
2311303;10533595
2311329;10533667
2311355;10533876
2311381;10533708
2311408;10533720
2311434;10533665
2311460;10533956
2311486;10533700
2311512;10533763
2311539;10533851
2311565;10533662
2311591;10533688
2311618;10533728
2311643;10533790
2311670;10533268
2311696;10533743
2311722;10533324
2311749;10533442
2311775;10533022
2311801;10533507
2311828;10533411
2311854;10533032
2311880;10532776
2311906;10532847
2311932;10532751
2311958;10532817
2311985;10532591
2312011;10532764
2312037;10532812
2312063;10532874
2312089;10532709
2312116;10532925
2312141;10533206
2312168;10532920
2312195;10532849
2312220;10532719
2312247;10532822
2312273;10532530
2312299;10532310
2312326;10532244
2312351;10532335
2312378;10532413
2312404;10532483
2312430;10532443
2312456;10532686
2312482;10532734
2312509;10532945
2312535;10532525
2312561;10532541
2312588;10532679
2312614;10532669
2312640;10532618
2312666;10532714
2312693;10532756
2312718;10532586
2312745;10532643
2312771;10532551
2312797;10532859
2312824;10532807
2312849;10532930
2312876;10532807
2312902;10532827
2312928;10532259
2312955;10532167
2312981;10532305
2313007;10532736
2313033;10532259
2313059;10532508
2313086;10532771
2313112;10532618
2313138;10532659
2313164;10532498
2313191;10532947
2313217;10532817
2313243;10532734
2313269;10532889
2313295;10532556
2313321;10532598
2313348;10532397
2313374;10532781
2313400;10532483
2313427;10532392
2313453;10532453
2313479;10532295
2313505;10532674
2313531;10532443
2313558;10532285
2313584;10532453
2313610;10532234
2313636;10532377
2313662;10532247
2313688;10532219
2313715;10532290
2313741;10532330
2313767;10532101
2313794;10532551
2313819;10532520
2313846;10533123
2313872;10532671
2313898;10532754
2313924;10532593
2313951;10532724
2313977;10532960
2314003;10533514
2314030;10532950
2314055;10532960
2314082;10532907
2314108;10532731
2314135;10532766
2314160;10532606
2314187;10533243
2314213;10532623
2314239;10532643
2314265;10532648
2314292;10532719
2314318;10532603
2314344;10532724
2314370;10532659
2314396;10532209
2314422;10532392
2314449;10532837
2314475;10532884
2314501;10532631
2314528;10532656
2314554;10532392
2314580;10532593
2314606;10532807
2314633;10532638
2314658;10532305
2314685;10532453
2314711;10532003
2314737;10532340
2314764;10532408
2314790;10532352
2314816;10532259
2314842;10532478
2314868;10532817
2314895;10532495
2314921;10532295
2314947;10532280
2314973;10532751
2314999;10532141
2315025;10532094
2315052;10532177
2315078;10532182
2315104;10532084
2315130;10531672
2315157;10532227
2315183;10532121
2315209;10531946
2315235;10532034
2315261;10532485
2315288;10532104
2315313;10532094
2315340;10531778
2315367;10532325
2315392;10532199
2315419;10532129
2315445;10532505
2315471;10532131
2315498;10531700
2315524;10531705
2315549;10532224
2315576;10531788
2315602;10531778
2315628;10531926
2315655;10531951
2315681;10531855
2315707;10531978
2315733;10531843
2315760;10532126
2315786;10532217
2315812;10532847
2315838;10532408
2315865;10532274
2315890;10532355
2315917;10532588
2315943;10532247
2315969;10532179
2315995;10532315
2316022;10532387
2316048;10532315
2316074;10532177
2316100;10532367
2316127;10532182
2316153;10532340
2316179;10532573
2316205;10532370
2316231;10532074
2316258;10531895
2316284;10532177
2316310;10532219
2316337;10531587
2316362;10531757
2316389;10531880
2316415;10531978
2316441;10532370
2316467;10531805
2316494;10531843
2316520;10532034
2316546;10532157
2316572;10532066
2316598;10531936
2316624;10532013
2316651;10531926
2316677;10532074
2316703;10531976
2316730;10532069
2316756;10532242
2316782;10532074
2316808;10531946
2316834;10531843
2316860;10532450
2316887;10532151
2316913;10531991
2316939;10531895
2316966;10531840
2316991;10532234
2317018;10532413
2317044;10532124
2317070;10532254
2317097;10532305
2317123;10531968
2317149;10531860
2317175;10531675
2317201;10531880
2317227;10531853
2317254;10532044
2317280;10532159
2317306;10531991
2317333;10531757
2317359;10531614
2317385;10531875
2317411;10531848
2317437;10531783
2317463;10531931
2317490;10531885
2317516;10531906
2317542;10532131
2317568;10531773
2317595;10531865
2317620;10531818
2317647;10531614
2317673;10531562
2317699;10531685
2317726;10531532
2317752;10531803
2317778;10531880
2317805;10531991
2317830;10532342
2317857;10532157
2317883;10532134
2317910;10532134
2317935;10532194
2317962;10532518
2317988;10532239
2318014;10532239
2318040;10532029
2318067;10532300
2318092;10532443
2318119;10532285
2318145;10532162
2318171;10532628
2318197;10532852
2318224;10532781
2318250;10532623
2318276;10533002
2318302;10532227
2318329;10532121
2318355;10532141
2318381;10532433
2318407;10532182
2318434;10532721
2318459;10532192
2318486;10532116
2318512;10532064
2318539;10532091
2318564;10532177
2318591;10532274
2318617;10532606
2318643;10532664
2318670;10532317
2318696;10533053
2318722;10532498
2318748;10532239
2318774;10532510
2318800;10532355
2318827;10532460
2318853;10532418
2318879;10532621
2318905;10532664
2318932;10532568
2318958;10532621
2318984;10532721
2319010;10532556
2319036;10533053
2319063;10532515
2319089;10532867
2319115;10532613
2319141;10532510
2319168;10532689
2319194;10532802
2319220;10532862
2319247;10532571
2319272;10532551
2319299;10532500
2319324;10532744
2319351;10532935
2319377;10532578
2319403;10532463
2319430;10532598
2319456;10532192
2319482;10532280
2319509;10532729
2319534;10532172
2319561;10532551
2319587;10532709
2319613;10532515
2319640;10532355
2319665;10532776
2319692;10532844
2319718;10532508
2319744;10532689
2319770;10532709
2319797;10532515
2319823;10532365
2319849;10532367
2319875;10532458
2319901;10532372
2319928;10532249
2319954;10532551
2319980;10532428
2320007;10532787
2320032;10532734
2320059;10532588
2320085;10532541
2320111;10532493
2320138;10532909
2320163;10532844
2320190;10532764
2320216;10532664
2320243;10532741
2320268;10532812
2320295;10532530
2320321;10532633
2320347;10532626
2320373;10532721
2320400;10532807
2320425;10532714
2320452;10533723
2320479;10532352
2320504;10532382
2320531;10532664
2320556;10532104
2320583;10532551
2320610;10532420
