=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:56:06 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;71.31;-12.91
325;71.34;-12.90
428;71.36;-12.89
531;71.38;-12.89
634;71.41;-12.88
737;71.45;-12.89
840;71.47;-12.88
943;71.53;-12.88
1046;71.55;-12.88
1149;71.56;-12.87
1253;71.61;-12.87
1356;71.64;-12.87
1459;71.66;-12.86
1562;71.70;-12.86
1665;71.72;-12.86
1768;71.74;-12.86
1871;71.77;-12.85
1974;71.79;-12.85
2077;71.86;-12.85
2180;71.85;-12.85
2283;71.89;-12.85
2386;71.92;-12.84
2490;71.95;-12.84
2593;71.98;-12.83
2696;72.01;-12.83
2799;72.03;-12.83
2902;72.06;-12.82
3005;72.08;-12.82
3108;72.12;-12.82
3211;72.17;-12.82
3314;72.17;-12.82
3417;72.21;-12.82
3520;72.23;-12.81
3623;72.26;-12.81
3727;72.29;-12.81
3830;72.31;-12.81
3933;72.34;-12.80
4036;72.36;-12.80
4139;72.39;-12.80
4242;72.41;-12.80
4345;72.43;-12.79
4448;72.48;-12.79
4551;72.50;-12.79
4654;72.54;-12.79
4757;72.56;-12.78
4860;72.58;-12.79
4964;72.61;-12.78
5067;72.64;-12.78
5170;72.66;-12.78
5273;72.47;-12.77
5376;72.31;-12.77
5479;72.17;-12.77
5582;72.04;-12.76
5685;71.92;-12.76
5788;71.79;-12.75
5891;71.66;-12.75
5994;71.53;-12.74
6097;71.40;-12.74
6200;71.26;-12.74
6303;71.12;-12.73
6406;70.96;-12.73
6509;70.80;-12.73
6612;70.53;-12.73
6716;70.39;-12.72
6819;70.25;-12.73
6922;70.09;-12.72
7025;69.95;-12.72
7128;69.79;-12.72
7231;69.62;-12.72
7334;69.48;-12.72
7437;69.33;-12.72
7540;69.16;-12.72
7643;68.88;-12.71
7746;68.70;-12.71
7849;68.55;-12.71
7953;68.40;-12.71
8056;68.25;-12.71
8159;68.07;-12.71
8262;67.92;-12.71
8365;67.77;-12.71
8468;67.59;-12.71
8571;67.43;-12.70
8674;67.31;-12.71
8777;67.00;-12.71
8880;66.84;-12.71
8983;66.68;-12.71
9086;66.52;-12.71
9190;66.35;-12.71
9293;66.20;-12.71
9396;66.05;-12.71
9499;65.88;-12.71
9602;65.79;-12.71
9705;65.57;-12.71
9808;65.29;-12.71
9911;65.14;-12.71
10014;64.98;-12.72
10117;64.83;-12.71
10220;64.67;-12.71
10323;64.52;-12.72
10427;64.38;-12.72
10530;64.22;-12.72
10633;64.07;-12.72
10736;63.88;-12.72
10839;63.80;-12.72
10942;63.49;-12.72
11045;63.34;-12.72
11148;63.21;-12.72
11251;63.06;-12.72
11354;62.92;-12.72
11457;62.77;-12.73
11560;62.62;-12.73
11664;62.50;-12.73
11767;62.35;-12.73
11870;62.23;-12.73
11973;61.95;-12.73
12076;61.80;-12.73
12179;61.66;-12.73
12282;61.52;-12.73
12385;61.37;-12.73
12488;61.23;-12.73
12591;61.09;-12.74
12694;60.96;-12.73
12797;60.85;-12.74
12901;60.72;-12.74
13004;60.51;-12.74
13107;60.29;-12.75
13210;60.16;-12.76
13313;60.03;-12.75
13416;59.90;-12.75
13519;59.77;-12.75
13622;59.64;-12.76
13725;59.51;-12.76
13828;59.38;-12.76
13931;59.26;-12.76
14034;59.12;-12.77
14138;58.90;-12.77
14241;58.76;-12.77
14344;58.65;-12.78
14447;58.53;-12.77
14550;58.40;-12.78
14653;58.29;-12.78
14756;58.18;-12.78
14859;58.06;-12.78
14962;57.95;-12.79
15065;57.79;-12.79
15168;57.67;-12.79
15271;57.48;-12.79
15375;57.37;-12.80
15478;57.25;-12.80
15581;57.13;-12.81
15684;57.03;-12.80
15787;56.90;-12.81
15890;56.80;-12.81
15993;56.70;-12.81
16096;56.57;-12.81
16199;56.49;-12.82
16302;56.25;-12.82
16405;56.14;-12.82
16508;56.04;-12.83
16612;55.95;-12.83
16715;55.83;-12.83
16818;55.73;-12.83
16921;55.63;-12.84
17024;55.52;-12.84
17127;55.43;-12.84
17230;55.35;-12.84
17333;55.21;-12.85
17436;55.03;-12.85
17539;54.93;-12.86
17642;54.82;-12.86
17745;54.72;-12.87
17848;54.64;-12.87
17951;54.53;-12.87
18054;54.44;-12.87
18157;54.34;-12.87
18260;54.27;-12.88
18364;54.13;-12.88
18467;53.97;-12.89
18570;53.88;-12.89
18673;53.78;-12.90
18776;53.70;-12.90
18879;53.61;-12.90
18982;53.51;-12.91
19085;53.42;-12.91
19188;53.35;-12.91
19291;53.22;-12.92
19394;53.15;-12.92
19497;53.03;-12.92
19601;52.88;-12.93
19704;52.80;-12.93
19807;52.71;-12.94
19910;52.63;-12.94
20013;52.54;-12.94
20116;52.46;-12.94
20219;52.37;-12.95
20322;52.29;-12.96
20425;52.19;-12.96
20528;52.08;-12.96
20631;51.96;-12.97
20734;51.87;-12.97
20838;51.80;-12.98
20941;51.72;-12.98
21044;51.63;-12.98
21147;51.56;-12.99
21250;51.48;-12.99
21353;51.41;-12.99
21456;51.31;-13.01
21559;51.20;-13.00
21662;51.08;-13.01
21765;51.01;-13.01
21868;50.94;-13.01
21971;50.85;-13.02
22075;50.78;-13.02
22178;50.70;-13.03
22281;50.63;-13.03
22384;50.56;-13.03
22487;50.49;-13.03
22590;50.40;-13.04
22693;50.32;-13.05
22796;50.20;-13.05
22899;50.13;-13.05
23002;50.04;-13.06
23105;49.98;-13.06
23208;49.91;-13.07
23312;49.84;-13.07
23415;49.76;-13.07
23518;49.70;-13.08
23621;49.65;-13.08
23724;49.58;-13.08
23827;49.42;-13.09
23930;49.37;-13.10
24033;49.29;-13.10
24136;49.23;-13.10
24239;49.17;-13.10
24342;49.09;-13.11
24445;49.03;-13.11
24549;48.97;-13.12
24652;48.93;-13.12
24755;48.81;-13.13
24858;48.76;-13.13
24961;48.64;-13.14
25064;48.58;-13.14
25167;48.51;-13.15
25270;48.45;-13.16
25373;48.39;-13.16
25476;48.33;-13.17
25579;48.25;-13.17
25682;48.20;-13.18
25786;48.14;-13.18
25889;48.08;-13.18
25992;47.95;-13.19
26095;47.89;-13.19
26198;47.83;-13.20
26301;47.78;-13.20
26404;47.71;-13.20
26507;47.66;-13.21
26610;47.60;-13.21
26713;47.55;-13.22
26816;47.47;-13.22
26919;47.43;-13.22
27023;47.32;-13.23
27126;47.26;-13.23
27229;47.20;-13.24
27332;47.14;-13.24
27435;47.08;-13.24
27538;47.03;-13.25
27641;46.98;-13.26
27744;46.91;-13.26
27847;46.84;-13.27
27950;46.77;-13.27
28053;46.76;-13.28
28156;46.65;-13.28
28260;46.58;-13.29
28363;46.53;-13.29
28466;46.48;-13.29
28569;46.43;-13.30
28672;46.38;-13.30
28775;46.33;-13.31
28878;46.27;-13.31
28981;46.23;-13.31
29084;46.14;-13.32
29187;46.06;-13.32
29290;46.01;-13.33
29393;45.96;-13.33
29496;45.91;-13.34
29599;45.87;-13.34
29702;45.82;-13.35
29805;45.76;-13.36
29908;45.71;-13.36
30012;45.65;-13.36
30115;45.60;-13.37
30218;45.56;-13.37
30321;45.46;-13.38
30424;45.41;-13.38
30527;45.37;-13.38
30630;45.32;-13.39
30733;45.27;-13.39
30836;45.23;-13.40
30939;45.17;-13.40
31042;45.12;-13.40
31145;45.11;-13.40
31249;45.02;-13.41
31352;44.95;-13.42
31455;44.89;-13.43
31558;44.84;-13.43
31661;44.81;-13.44
31764;44.76;-13.44
31867;44.72;-13.44
31970;44.67;-13.45
32073;44.62;-13.46
32176;44.56;-13.46
32279;44.55;-13.47
32382;44.47;-13.48
32486;44.41;-13.48
32589;44.36;-13.49
32692;44.31;-13.50
32795;44.27;-13.50
32898;44.22;-13.50
33001;44.18;-13.51
33104;44.13;-13.51
33207;44.10;-13.52
33310;44.05;-13.52
33413;44.02;-13.52
33516;43.93;-13.53
33619;43.88;-13.53
33723;43.84;-13.54
33826;43.80;-13.54
33929;43.76;-13.54
34032;43.72;-13.55
34135;43.68;-13.56
34238;43.64;-13.57
34341;43.63;-13.57
34444;43.54;-13.57
34547;43.48;-13.58
34650;43.44;-13.59
34753;43.40;-13.59
34856;43.35;-13.60
34960;43.31;-13.60
35063;43.28;-13.60
35166;43.25;-13.60
35269;43.21;-13.61
35372;43.16;-13.61
35475;43.12;-13.61
35578;43.08;-13.62
35681;43.02;-13.62
35784;42.97;-13.63
35887;42.94;-13.64
35990;42.90;-13.64
36093;42.87;-13.65
36197;42.83;-13.65
36300;42.79;-13.66
36403;42.76;-13.66
36506;42.71;-13.66
36609;42.67;-13.67
36712;42.61;-13.67
36815;42.57;-13.68
36918;42.54;-13.68
37021;42.50;-13.69
37124;42.47;-13.70
37227;42.44;-13.69
37330;42.41;-13.70
37434;42.38;-13.70
37537;42.36;-13.71
37640;42.28;-13.71
37743;42.26;-13.72
37846;42.20;-13.72
37949;42.16;-13.72
38052;42.14;-13.73
38155;42.10;-13.73
38258;42.06;-13.74
38361;42.03;-13.74
38464;42.00;-13.75
38567;41.97;-13.75
38671;41.97;-13.75
38774;41.87;-13.76
38877;41.83;-13.77
38980;41.80;-13.77
39083;41.76;-13.78
39186;41.73;-13.78
39289;41.71;-13.79
39392;41.67;-13.79
39495;41.63;-13.79
39598;41.60;-13.80
39701;41.59;-13.80
39804;41.55;-13.81
39908;41.47;-13.82
40011;41.44;-13.81
40114;41.41;-13.82
1
40217;41.40;-13.83
40320;41.76;-13.83
40423;42.16;-13.82
40526;42.61;-13.78
40629;43.14;-13.73
40732;43.69;-13.66
40835;44.29;-13.59
40938;44.86;-13.51
41041;45.99;-13.35
41144;46.55;-13.29
41247;47.06;-13.23
41350;47.57;-13.19
41453;48.06;-13.14
41556;48.56;-13.10
41660;49.03;-13.06
41763;49.44;-13.03
41866;49.80;-13.00
41969;50.24;-12.97
42072;51.04;-12.94
42175;51.38;-12.92
42278;51.73;-12.91
42381;52.11;-12.90
42484;52.41;-12.89
42587;52.74;-12.89
42690;53.01;-12.88
42793;53.31;-12.88
42897;53.66;-12.88
43000;53.99;-12.88
43103;54.27;-12.88
43206;54.86;-12.87
43309;55.13;-12.87
43412;55.52;-12.86
43515;55.84;-12.86
43618;56.08;-12.84
43721;56.43;-12.83
43824;56.63;-12.83
43927;56.88;-12.82
44030;57.13;-12.81
44134;57.39;-12.80
44237;57.94;-12.80
44340;58.26;-12.80
44443;58.53;-12.80
44546;58.73;-12.78
44649;58.97;-12.77
44752;59.20;-12.76
44855;59.41;-12.75
44958;59.66;-12.74
45061;59.88;-12.74
45164;60.10;-12.73
45267;60.24;-12.72
45371;60.78;-12.72
45474;61.06;-12.72
45577;61.29;-12.71
45680;61.58;-12.70
45783;61.83;-12.69
45886;62.00;-12.67
45989;62.27;-12.65
46092;62.46;-12.64
46195;62.63;-12.63
46298;62.93;-12.62
46401;63.41;-12.60
46504;63.61;-12.59
46608;63.81;-12.57
46711;63.99;-12.56
46814;64.23;-12.54
46917;64.48;-12.53
47020;64.57;-12.52
47123;64.78;-12.51
47226;65.02;-12.50
47329;65.21;-12.49
47432;65.47;-12.47
47535;65.76;-12.45
47638;66.04;-12.45
47741;66.28;-12.44
47845;66.40;-12.43
47948;66.59;-12.42
48051;66.69;-12.40
48154;66.83;-12.39
48257;67.06;-12.38
48360;67.28;-12.38
48463;67.54;-12.37
48566;67.88;-12.34
48669;68.01;-12.33
48772;68.15;-12.32
48875;68.31;-12.30
48978;68.57;-12.30
49082;68.78;-12.28
49185;68.91;-12.27
49288;69.08;-12.25
49391;69.20;-12.24
49494;69.29;-12.23
49597;69.46;-12.21
49700;69.72;-12.20
49803;69.86;-12.20
49906;70.03;-12.20
50009;70.19;-12.19
50112;70.31;-12.18
50215;70.46;-12.18
50319;70.70;-12.17
50422;70.84;-12.15
50525;71.10;-12.13
50628;71.19;-12.11
50731;71.61;-12.08
50834;71.72;-12.06
50937;71.90;-12.04
51040;71.97;-12.02
51143;72.14;-12.01
51246;72.29;-12.00
51349;72.38;-11.99
51452;72.58;-11.98
51556;72.80;-11.97
51659;72.97;-11.95
51762;73.06;-11.94
51865;73.25;-11.91
51968;73.40;-11.90
52071;73.53;-11.89
52174;73.70;-11.89
52277;73.90;-11.88
52380;73.96;-11.87
52483;74.10;-11.84
52586;74.27;-11.83
52689;74.29;-11.82
52792;74.50;-11.81
52895;74.80;-11.78
52998;74.88;-11.77
53101;75.05;-11.75
53204;75.19;-11.74
53308;75.28;-11.73
53411;75.43;-11.71
53514;75.56;-11.70
53617;75.62;-11.69
53720;75.74;-11.67
53823;75.78;-11.66
53926;75.97;-11.65
54029;76.19;-11.64
54132;76.31;-11.62
54235;76.47;-11.61
54338;76.60;-11.60
54441;76.64;-11.59
54545;76.76;-11.57
54648;76.86;-11.56
54751;76.92;-11.55
54854;77.00;-11.54
54957;77.16;-11.53
55060;77.25;-11.51
55163;77.47;-11.50
55266;77.59;-11.49
55369;77.75;-11.48
55472;77.77;-11.47
55575;77.85;-11.45
55678;77.92;-11.44
55782;77.99;-11.43
55885;78.23;-11.42
55988;78.31;-11.41
56091;78.47;-11.40
56194;78.60;-11.37
56297;78.68;-11.36
56400;78.86;-11.34
56503;78.90;-11.34
56606;79.01;-11.32
56709;79.11;-11.31
56812;79.21;-11.30
56915;79.32;-11.28
57019;79.39;-11.27
57122;79.47;-11.26
57225;79.54;-11.25
57328;79.80;-11.23
57431;79.88;-11.22
57534;80.01;-11.20
57637;80.09;-11.19
57740;80.14;-11.17
57843;80.25;-11.16
57946;80.29;-11.15
58049;80.33;-11.13
58152;80.48;-11.12
58256;80.53;-11.12
58359;80.77;-11.09
58462;80.87;-11.08
58565;81.00;-11.06
58668;81.03;-11.05
58771;81.12;-11.04
58874;81.17;-11.03
58977;81.32;-11.02
59080;81.43;-11.00
59183;81.52;-10.99
59286;81.62;-10.98
59389;81.67;-10.96
59493;81.79;-10.94
59596;81.86;-10.93
59699;81.95;-10.92
59802;81.99;-10.91
59905;82.10;-10.90
60008;82.25;-10.89
60111;82.31;-10.87
60214;82.37;-10.87
60317;82.42;-10.85
60420;82.51;-10.84
60523;82.57;-10.83
60626;82.66;-10.81
60730;82.78;-10.79
60833;82.83;-10.78
60936;82.93;-10.77
61039;82.94;-10.76
61142;83.02;-10.75
61245;83.06;-10.74
61348;83.13;-10.73
61451;83.31;-10.73
61554;83.35;-10.71
61657;83.46;-10.71
61760;83.58;-10.67
61863;83.66;-10.66
61967;83.70;-10.65
62070;83.82;-10.64
62173;83.90;-10.63
62276;83.96;-10.62
62379;84.04;-10.61
62482;84.13;-10.59
62585;84.17;-10.58
62688;84.23;-10.57
62791;84.32;-10.55
62894;84.40;-10.53
62997;84.48;-10.52
63100;84.68;-10.51
63204;84.70;-10.50
63307;84.70;-10.48
63410;84.77;-10.47
63513;84.85;-10.46
63616;84.93;-10.45
63719;84.99;-10.44
63822;85.01;-10.43
63925;85.14;-10.41
64028;85.15;-10.40
64131;85.15;-10.39
64234;85.19;-10.38
64337;85.25;-10.37
64440;85.30;-10.37
64543;85.43;-10.36
64646;85.40;-10.35
64749;85.39;-10.34
64852;85.44;-10.33
64956;85.64;-10.32
65059;85.79;-10.31
65162;85.80;-10.29
65265;85.83;-10.28
65368;85.96;-10.27
65471;86.07;-10.25
65574;86.17;-10.24
65677;86.27;-10.23
65780;86.31;-10.21
65883;86.29;-10.20
65986;86.30;-10.19
66089;86.48;-10.16
66193;86.58;-10.15
66296;86.58;-10.14
