=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:59:52 =~=~=~=~=~=~=~=~=~=~=~=
calinra   brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2658043;10265696
2658049;10371665
2658076;10266089
2658102;10265680
2658128;10265897
2658154;10267098
2658181;10266193
2658206;10266734
2658233;10266527
2658259;10266325
2658285;10266212
2658312;10266341
2658338;10266301
2658364;10267064
2658391;10266227
2658416;10267098
2658443;10266769
2658469;10266581
2658495;10266907
2658522;10266965
2658547;10267074
2658574;10266523
2658600;10267039
2658627;10267458
2658652;10267009
2658679;10266719
2658705;10266828
2658731;10266852
2658757;10272740
2658784;10267216
2658809;10267109
2658836;10266679
2658862;10267276
2658889;10266916
2658914;10266931
2658941;10266862
2658967;10267099
2658993;10267142
2659020;10266971
2659045;10267935
2659072;10267099
2659098;10267433
2659124;10266837
2659151;10267817
2659177;10266744
2659203;10266620
2659229;10267305
2659255;10266955
2659282;10266970
2659307;10266532
2659334;10266374
2659360;10266744
2659387;10267182
2659412;10267035
2659439;10267458
2659465;10266847
2659491;10266877
2659518;10266813
2659544;10267260
2659570;10267118
2659596;10267132
2659623;10266955
2659648;10266783
2659674;10267182
2659701;10266704
2659727;10267738
2659754;10266877
2659780;10267286
2659806;10267320
2659832;10266704
2659858;10267064
2659885;10267497
2659911;10267079
2659937;10267030
2659963;10268049
2659990;10266965
2660016;10267226
2660042;10266380
2660068;10266291
2660094;10266478
2660120;10266306
2660147;10266469
2660173;10266576
2660199;10266547
2660226;10266680
2660251;10266921
2660278;10266591
2660304;10266764
2660330;10267359
2660356;10266862
2660383;10266611
2660409;10266635
2660435;10266616
2660461;10266616
2660487;10267143
2660514;10267783
2660540;10267221
2660566;10267330
2660593;10267157
2660619;10267354
2660644;10267965
2660671;10267403
2660697;10267295
2660723;10267153
2660750;10267526
2660776;10266867
2660802;10267709
2660828;10267108
2660854;10267517
2660881;10266808
2660907;10267137
2660934;10267069
2660959;10266833
2660986;10267172
2661012;10266710
2661038;10266576
2661064;10267103
2661091;10267182
2661117;10266557
2661143;10266936
2661169;10266665
2661195;10266699
2661221;10266592
2661248;10267458
2661274;10267103
2661300;10267153
2661327;10267108
2661352;10267428
2661379;10267024
2661405;10267039
2661432;10267276
2661457;10266557
2661484;10267359
2661510;10266227
2661536;10267049
2661563;10266956
2661588;10267167
2661614;10267143
2661641;10267192
2661667;10267492
2661694;10267389
2661720;10266985
2661746;10267507
2661772;10267374
2661798;10267192
2661825;10266867
2661850;10267389
2661877;10267265
2661903;10266862
2661929;10266483
2661956;10266547
2661982;10266346
2662008;10267034
2662034;10266675
2662061;10266370
2662086;10266581
2662113;10266523
2662139;10266818
2662165;10266665
2662191;10266355
2662218;10266296
2662244;10266355
2662270;10266916
2662296;10266276
2662323;10266059
2662349;10266611
2662375;10266360
2662402;10267167
2662427;10266975
2662453;10266931
2662480;10267527
2662506;10267064
2662532;10266916
2662559;10266783
2662585;10266562
2662611;10266842
2662637;10267099
2662663;10266901
2662689;10266705
2662716;10267285
2662742;10266449
2662768;10266394
2662794;10266685
2662820;10266877
2662847;10266936
2662873;10266763
2662899;10267029
2662926;10267271
2662952;10266399
2662977;10266620
2663004;10266823
2663030;10266513
2663057;10266748
2663082;10266660
2663109;10266414
2663135;10266586
2663161;10265848
2663187;10265887
2663214;10266325
2663240;10267088
2663266;10266532
2663292;10266325
2663319;10266951
2663345;10266700
2663371;10266502
2663397;10266843
2663423;10266763
2663450;10267325
2663476;10266197
2663502;10266203
2663529;10266473
2663555;10266119
2663581;10266990
2663607;10266754
2663633;10266680
2663659;10266266
2663686;10266749
2663712;10266749
2663739;10266429
2663765;10266675
2663791;10266355
2663817;10266404
2663843;10266414
2663869;10266921
2663896;10267004
2663922;10266341
2663948;10266532
2663974;10266753
2664000;10266074
2664026;10266734
2664053;10266704
2664079;10266808
2664106;10266567
2664132;10266227
2664158;10266951
2664184;10267084
2664210;10266128
2664236;10266064
2664262;10266311
2664289;10266626
2664315;10267256
2664341;10266630
2664368;10267133
2664393;10266837
2664419;10267153
2664446;10266739
2664472;10266720
2664499;10267379
2664524;10266606
2664551;10266399
2664577;10266301
2664604;10266508
2664630;10266369
2664656;10266720
2664682;10266709
2664708;10266439
2664734;10266562
2664761;10266404
2664787;10266862
2664813;10266848
2664839;10265995
2664865;10265706
2664892;10266670
2664917;10266674
2664944;10266522
2664971;10267226
2664996;10266464
2665022;10266635
2665049;10265868
2665075;10266832
2665101;10266030
2665128;10266399
2665154;10265887
2665180;10266478
2665207;10266173
2665232;10265375
2665259;10265587
2665285;10266513
2665311;10265607
2665337;10266601
2665364;10265779
2665389;10266089
2665416;10266375
2665442;10266266
2665468;10265990
2665495;10266669
2665520;10267251
2665547;10266148
2665573;10266271
2665599;10266345
2665625;10266030
2665652;10266350
2665678;10266434
2665704;10266370
2665730;10265951
2665757;10266646
2665783;10266266
2665809;10266408
2665835;10265902
2665862;10266104
2665888;10266907
2665914;10265941
2665940;10265789
2665967;10265799
2665993;10265518
2666019;10266079
2666045;10266764
2666071;10266497
2666098;10266601
2666124;10266262
2666150;10266311
2666176;10266256
2666202;10266266
2666228;10266276
2666255;10265818
2666281;10265907
2666307;10266399
2666334;10266099
2666359;10266213
2666386;10266133
2666412;10266340
2666438;10266069
2666465;10266025
2666491;10266798
2666516;10266439
2666543;10266670
2666569;10266183
2666596;10266202
2666622;10266434
2666648;10266079
2666674;10266001
2666700;10266163
2666727;10266409
2666753;10266187
2666779;10266690
2666805;10266099
2666831;10265838
2666858;10265833
2666884;10266173
2666911;10266197
2666936;10266458
2666962;10265975
2666989;10266518
2667015;10265719
2667042;10266035
2667068;10266341
2667093;10266099
2667120;10266557
2667146;10265513
2667172;10265252
2667198;10266069
2667225;10266291
2667251;10266153
2667277;10266108
2667303;10265966
2667329;10265690
2667356;10266315
2667382;10265671
2667408;10265720
2667434;10266119
2667461;10265995
2667487;10266001
2667513;10265991
2667539;10266591
2667566;10266217
2667592;10265612
2667618;10265799
2667644;10265828
2667671;10265740
2667697;10266118
2667723;10266341
2667749;10267866
2667775;10265503
2667801;10265296
2667828;10265366
2667854;10265975
2667880;10265853
2667906;10265897
2667933;10265572
2667959;10265173
2667985;10265651
2668011;10265700
2668037;10266029
2668063;10265656
2668090;10265819
2668116;10265055
2668143;10266414
2668169;10265818
2668194;10266059
2668221;10265907
2668247;10266498
2668274;10266183
2668300;10266458
2668326;10266291
2668352;10265927
2668378;10265764
2668404;10266483
2668431;10265710
2668457;10266301
2668483;10265257
2668509;10265941
2668536;10266419
2668562;10265858
2668588;10266040
2668614;10265892
2668641;10265547
2668666;10266094
2668693;10266699
2668719;10266271
2668745;10266562
2668771;10266439
2668798;10266911
2668824;10266582
2668850;10266152
2668876;10266247
2668903;10266616
2668928;10267556
2668955;10266222
2668981;10266148
2669007;10266434
2669034;10266970
2669060;10265966
2669086;10265985
2669112;10265740
2669138;10266143
2669165;10265794
2669191;10266646
2669217;10265730
2669243;10265990
2669270;10266213
2669296;10266576
2669322;10265735
2669348;10266089
2669375;10266109
2669400;10265631
2669427;10266138
2669453;10265636
2669479;10265390
2669506;10265774
2669532;10266113
2669558;10265503
2669584;10265631
2669610;10265434
2669636;10265557
2669663;10265794
2669689;10265454
2669715;10266374
2669741;10265213
2669768;10265887
2669794;10265591
2669820;10265641
2669846;10266183
2669873;10265602
2669899;10266227
2669925;10265567
2669951;10265399
2669978;10265512
2670003;10265573
2670030;10266518
2670056;10265316
2670082;10265494
2670108;10265217
2670135;10264499
2670161;10265163
2670187;10265690
2670213;10265700
2670239;10265158
2670266;10265247
2670292;10264951
2670318;10265641
2670344;10265380
2670371;10265222
2670397;10265626
2670423;10265233
2670449;10266266
2670475;10265867
2670501;10265429
2670528;10265558
2670554;10265799
2670581;10265365
2670606;10265621
2670632;10265454
2670659;10265384
2670685;10265646
2670712;10265685
2670737;10265390
2670764;10265666
2670790;10265838
2670816;10265931
2670843;10265857
2670868;10266109
2670895;10265591
2670921;10265809
2670948;10265680
2670974;10266350
2671000;10265573
2671026;10265345
2671052;10265848
2671078;10265833
2671105;10265572
2671130;10265233
2671157;10265587
2671184;10265887
2671210;10265336
2671235;10265774
2671262;10265286
2671288;10265907
2671314;10266113
2671340;10266138
2671366;10265622
2671393;10265705
2671419;10265464
2671445;10265434
2671471;10265110
2671498;10264794
2671524;10266513
2671550;10265242
2671577;10265297
2671603;10265975
2671629;10266059
2671655;10265114
2671681;10266020
2671707;10265454
2671734;10265907
2671760;10265617
2671787;10265596
2671813;10265750
2671839;10265769
2671865;10265346
2671891;10266483
2671918;10265395
2671943;10265311
2671969;10265734
2671996;10265213
2672022;10265547
2672048;10265567
2672075;10265198
2672101;10265808
2672127;10265843
2672153;10264922
2672179;10265424
2672205;10265478
2672231;10265720
2672258;10265311
2672284;10265547
2672310;10265272
2672337;10265262
2672363;10265720
2672389;10265498
2672415;10265075
2672441;10265099
2672468;10265675
2672494;10264459
2672520;10264804
2672546;10265690
2672573;10264961
2672599;10265139
2672625;10264863
2672651;10265163
2672678;10265114
2672704;10265410
2672730;10265144
2672756;10265158
2672782;10265419
2672809;10265366
2672834;10265252
2672861;10265375
2672887;10265346
2672913;10265690
2672940;10265370
2672966;10265710
2672992;10264642
2673019;10265272
2673044;10265351
2673071;10265784
2673097;10265552
2673123;10265503
2673149;10266084
2673176;10265942
2673202;10265326
2673228;10265390
2673254;10265286
2673280;10265700
2673307;10265075
2673333;10264976
2673359;10265090
2673386;10266138
2673411;10265198
2673438;10265607
2673464;10265675
2673490;10265754
2673516;10265154
2673543;10265104
2673568;10265287
2673595;10265306
2673621;10265173
