=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:02:19 =~=~=~=~=~=~=~=~=~=~=~=
cl alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2804718;10253697
2804723;10379356
2804749;10254051
2804775;10254214
2804801;10254293
2804828;10253830
2804854;10253264
2804880;10253048
2804906;10254593
2804933;10253934
2804958;10254327
2804985;10254495
2805011;10254169
2805037;10254618
2805063;10253923
2805090;10253963
2805116;10254805
2805142;10254283
2805168;10254101
2805195;10254278
2805221;10254071
2805247;10254474
2805273;10254116
2805299;10254150
2805326;10254879
2805352;10255145
2805378;10254765
2805405;10254662
2805430;10255218
2805457;10254903
2805483;10255307
2805509;10255214
2805535;10254484
2805561;10254661
2805588;10255587
2805614;10255257
2805640;10255769
2805666;10255755
2805693;10256134
2805718;10255785
2805745;10255504
2805771;10255307
2805798;10255548
2805823;10255657
2805850;10255312
2805876;10255731
2805902;10255031
2805929;10255646
2805955;10255533
2805981;10255563
2806007;10255321
2806033;10255696
2806060;10255371
2806086;10255666
2806112;10255937
2806139;10256129
2806164;10255878
2806191;10255853
2806217;10256642
2806243;10255878
2806270;10255996
2806296;10255893
2806322;10255853
2806348;10256651
2806374;10256006
2806400;10255750
2806426;10256021
2806453;10256198
2806479;10255824
2806505;10256922
2806532;10255966
2806558;10255824
2806584;10255504
2806610;10255829
2806636;10255922
2806662;10256094
2806689;10257360
2806715;10256907
2806741;10256247
2806767;10255942
2806794;10256479
2806820;10255966
2806846;10255607
2806873;10257074
2806898;10256311
2806925;10256036
2806951;10256099
2806977;10256169
2807004;10256878
2807029;10256302
2807056;10256331
2807082;10256788
2807108;10256351
2807135;10256897
2807161;10256848
2807186;10256977
2807213;10256926
2807239;10256499
2807266;10257212
2807292;10257050
2807318;10257542
2807344;10257011
2807371;10256346
2807396;10256311
2807423;10256193
2807449;10256686
2807475;10256877
2807502;10257227
2807527;10256552
2807554;10256415
2807580;10257847
2807606;10256622
2807633;10255887
2807659;10257350
2807685;10256942
2807712;10256794
2807737;10257084
2807764;10256961
2807790;10256838
2807816;10257026
2807843;10256902
2807868;10257084
2807895;10256902
2807921;10256872
2807947;10257251
2807973;10256822
2808000;10256636
2808026;10257193
2808052;10257005
2808078;10257508
2808104;10256410
2808131;10256921
2808157;10257212
2808183;10257069
2808209;10257104
2808236;10257049
2808261;10256833
2808288;10257286
2808314;10257867
2808341;10257966
2808366;10257759
2808393;10257257
2808419;10257689
2808445;10256844
2808471;10257059
2808498;10257109
2808523;10257660
2808550;10256690
2808577;10256459
2808602;10257374
2808629;10256770
2808655;10257010
2808681;10256823
2808707;10257612
2808734;10257350
2808760;10257626
2808786;10258029
2808812;10257611
2808838;10257951
2808865;10257512
2808891;10257188
2808917;10257749
2808943;10257828
2808970;10257931
2808996;10258172
2809022;10257941
2809048;10257370
2809075;10257483
2809100;10257424
2809127;10257493
2809153;10257489
2809179;10258152
2809206;10257207
2809231;10257326
2809258;10257935
2809284;10257153
2809311;10257645
2809337;10257503
2809362;10257261
2809389;10257458
2809416;10257700
2809441;10257306
2809468;10257561
2809494;10257478
2809520;10257773
2809546;10258275
2809573;10257114
2809598;10257419
2809625;10257523
2809651;10258413
2809678;10257365
2809703;10256912
2809730;10256911
2809756;10257843
2809782;10256400
2809808;10257020
2809835;10257114
2809861;10257577
2809887;10257621
2809913;10257606
2809939;10256956
2809966;10257330
2809992;10257813
2810018;10257123
2810044;10257926
2810070;10257714
2810097;10257951
2810123;10257601
2810149;10257621
2810176;10257463
2810202;10258236
2810227;10257552
2810254;10257572
2810280;10257971
2810306;10257935
2810333;10257680
2810359;10257557
2810385;10257237
2810411;10257123
2810438;10257335
2810464;10257724
2810490;10257749
2810516;10257508
2810542;10256823
2810568;10257423
2810595;10258788
2810621;10257522
2810647;10257852
2810673;10257759
2810700;10257256
2810726;10257547
2810752;10257857
2810778;10257699
2810805;10257551
2810831;10257606
2810857;10257803
2810883;10257523
2810910;10258201
2810936;10257612
2810962;10257750
2810988;10257911
2811014;10258128
2811041;10257882
2811067;10257660
2811093;10258325
2811119;10257449
2811145;10257705
2811171;10257582
2811198;10257571
2811224;10257843
2811250;10258350
2811277;10257656
2811302;10257582
2811329;10257547
2811355;10256867
2811381;10257878
2811408;10258044
2811434;10257365
2811460;10257513
2811486;10258389
2811513;10258615
2811539;10257828
2811565;10258118
2811591;10258359
2811617;10257670
2811643;10257617
2811670;10257631
2811696;10257326
2811722;10258227
2811749;10257956
2811774;10257798
2811801;10257744
2811827;10258059
2811853;10258335
2811880;10257833
2811905;10257922
2811932;10257591
2811958;10257581
2811984;10257631
2812011;10257567
2812037;10256916
2812063;10258246
2812089;10258138
2812116;10257906
2812141;10257395
2812168;10257360
2812194;10257173
2812220;10257724
2812247;10258000
2812272;10257857
2812299;10257493
2812325;10257670
2812351;10257640
2812378;10258099
2812403;10257774
2812430;10257621
2812456;10257498
2812483;10258502
2812508;10258355
2812535;10257714
2812561;10258256
2812588;10257931
2812613;10257493
2812640;10258152
2812666;10257532
2812692;10257666
2812718;10257887
2812744;10258990
2812771;10257901
2812797;10257591
2812823;10258158
2812849;10258723
2812876;10258079
2812902;10257823
2812928;10257493
2812954;10258222
2812980;10257941
2813007;10258128
2813033;10259226
2813059;10258029
2813086;10257267
2813111;10257877
2813138;10257680
2813164;10258147
2813191;10258384
2813216;10258931
2813242;10257700
2813269;10257955
2813295;10257960
2813321;10258138
2813347;10258044
2813374;10257675
2813400;10258300
2813426;10257906
2813452;10258099
2813479;10258319
2813504;10259364
2813531;10258886
2813557;10258010
2813584;10258487
2813609;10258236
2813636;10258187
2813662;10257960
2813688;10257917
2813714;10258138
2813741;10258679
2813767;10258664
2813793;10258039
2813820;10258354
2813845;10257907
2813872;10258182
2813898;10259718
2813924;10258364
2813950;10258178
2813977;10258585
2814003;10258580
2814029;10258182
2814055;10258443
2814081;10258985
2814108;10258591
2814134;10258867
2814160;10258640
2814186;10258606
2814212;10257877
2814239;10259291
2814265;10258827
2814291;10258557
2814318;10258531
2814343;10259098
2814370;10259186
2814396;10258995
2814422;10258581
2814448;10258557
2814475;10259285
2814501;10259009
2814527;10259029
2814554;10258813
2814579;10258817
2814606;10258769
2814632;10259034
2814658;10258787
2814684;10259295
2814711;10258906
2814737;10259058
2814763;10258591
2814789;10258591
2814816;10258546
2814842;10258168
2814868;10258906
2814894;10258655
2814920;10258847
2814946;10258315
2814973;10258369
2814999;10257857
2815025;10258177
2815052;10257695
2815078;10258099
2815104;10257759
2815130;10257902
2815156;10258010
2815182;10257980
2815209;10258187
2815235;10258718
2815261;10258409
2815288;10258236
2815313;10258507
2815340;10258808
2815366;10258355
2815392;10258640
2815418;10258182
2815445;10258262
2815470;10258133
2815497;10258527
2815523;10258867
2815549;10258040
2815576;10258659
2815602;10258842
2815628;10258310
2815654;10259127
2815681;10258409
2815706;10258527
2815733;10258823
2815760;10258669
2815785;10259039
2815811;10259127
2815838;10259152
2815864;10258758
2815890;10259108
2815917;10258655
2815942;10258979
2815969;10258813
2815995;10258792
2816021;10258802
2816048;10258679
2816074;10258655
2816100;10259831
2816127;10259118
2816152;10258659
2816178;10258793
2816205;10258172
2816231;10258547
2816257;10258679
2816284;10259226
2816310;10259043
2816336;10259008
2816362;10259428
2816388;10258724
2816415;10258817
2816441;10258453
2816467;10258379
2816493;10258325
2816520;10258443
2816545;10258350
2816572;10258148
2816598;10259009
2816624;10258792
2816651;10258320
2816677;10258575
2816703;10258857
2816729;10258625
2816756;10258542
2816782;10258394
2816807;10259280
2816834;10258443
2816861;10258300
2816886;10258527
2816912;10259196
2816939;10258408
2816965;10258620
2816991;10258241
2817018;10258798
2817044;10258901
2817070;10258335
2817096;10258763
2817122;10258836
2817149;10258817
2817175;10258837
2817201;10258827
2817227;10258665
2817253;10259083
2817280;10258571
2817306;10259024
2817332;10258689
2817358;10258507
2817384;10258369
2817411;10258650
2817437;10258871
2817464;10259221
2817489;10258906
2817516;10258536
2817542;10258969
2817568;10259866
2817594;10258985
2817621;10258492
2817646;10259280
2817673;10259202
2817699;10258920
2817725;10259575
2817752;10259009
2817777;10258867
2817804;10259176
2817830;10258852
2817856;10259531
2817883;10259093
2817909;10259905
2817935;10258773
2817962;10258925
2817987;10258640
2818014;10258734
2818040;10258836
2818066;10258946
2818093;10259246
2818118;10259300
2818145;10259497
2818171;10258955
2818197;10258936
2818224;10258856
2818249;10259295
2818276;10259255
2818302;10259481
2818328;10259339
2818355;10258655
2818380;10259153
2818407;10259585
2818433;10258807
2818459;10258945
2818485;10258990
2818512;10259123
2818538;10259009
2818564;10259019
2818590;10259043
2818616;10259374
2818643;10259403
2818669;10259335
2818695;10259073
2818722;10259624
2818748;10260141
2818774;10259851
2818800;10259221
2818827;10258964
2818852;10259565
2818879;10259807
2818905;10259620
2818931;10259649
2818957;10260053
2818984;10259591
2819010;10259595
2819036;10260363
2819062;10259442
2819088;10260338
2819115;10259487
2819140;10259516
2819167;10259295
2819194;10259300
2819220;10259851
2819245;10259565
2819272;10259566
2819298;10259949
2819324;10260082
2819351;10260438
2819377;10259851
2819403;10259492
2819429;10260117
2819456;10259590
2819481;10259781
2819508;10259486
2819534;10259714
2819560;10259772
2819587;10259137
2819613;10259437
2819639;10259940
2819665;10259604
2819691;10259797
2819717;10259728
2819744;10259837
2819770;10259812
2819796;10259049
2819823;10259078
2819848;10259379
2819875;10259103
2819902;10259605
2819927;10259551
2819954;10259866
2819980;10259541
2820006;10259182
2820032;10258793
2820059;10258871
2820085;10258792
2820111;10259639
2820137;10259630
2820164;10259511
2820190;10259694
2820215;10259142
2820242;10259137
2820269;10259157
2820294;10259349
