=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:59:49 =~=~=~=~=~=~=~=~=~=~=~=
1BME280 test
-- Default Test --
Time;RH;Temp
222;45.58;-12.58
325;45.59;-12.58
428;45.61;-12.57
531;45.62;-12.57
634;45.63;-12.56
737;45.64;-12.56
840;45.66;-12.55
943;45.66;-12.55
1046;45.70;-12.55
1149;45.73;-12.55
1253;45.73;-12.55
1356;45.74;-12.55
1459;45.76;-12.55
1562;45.77;-12.54
1665;45.79;-12.54
1768;45.81;-12.54
1871;45.82;-12.54
1974;45.85;-12.54
2077;45.88;-12.54
2180;45.91;-12.53
2283;45.92;-12.53
2386;45.94;-12.52
2490;45.95;-12.52
2593;45.97;-12.52
2696;45.99;-12.52
2799;46.01;-12.52
2902;46.04;-12.52
3005;46.06;-12.52
3108;46.08;-12.51
3211;46.13;-12.51
3314;46.12;-12.51
3417;46.17;-12.51
3520;46.18;-12.51
3623;46.21;-12.51
3727;46.23;-12.51
3830;46.25;-12.50
3933;46.28;-12.50
4036;46.30;-12.50
4139;46.33;-12.49
4242;46.38;-12.49
4345;46.38;-12.49
4448;46.43;-12.48
4551;46.46;-12.48
4654;46.49;-12.48
4757;46.51;-12.48
4860;46.54;-12.47
4964;46.56;-12.47
5067;46.59;-12.47
5170;46.63;-12.47
5273;46.63;-12.46
5376;46.66;-12.47
5479;46.66;-12.46
5582;46.65;-12.45
5685;46.66;-12.45
5788;46.65;-12.45
5891;46.64;-12.44
5994;46.61;-12.44
6097;46.58;-12.44
6200;46.56;-12.44
6303;46.52;-12.43
6406;46.51;-12.43
6509;46.44;-12.43
6612;46.36;-12.43
6716;46.31;-12.43
6819;46.26;-12.44
6922;46.21;-12.44
7025;46.16;-12.43
7128;46.10;-12.44
7231;46.05;-12.44
7334;45.99;-12.44
7437;45.99;-12.44
7540;45.88;-12.44
7643;45.79;-12.44
7746;45.71;-12.45
7849;45.64;-12.45
7953;45.58;-12.45
8056;45.53;-12.45
8159;45.46;-12.45
8262;45.39;-12.46
8365;45.33;-12.46
8468;45.27;-12.46
8571;45.26;-12.46
8674;45.16;-12.46
8777;45.03;-12.47
8880;44.97;-12.47
8983;44.90;-12.48
9086;44.85;-12.48
9190;44.78;-12.48
9293;44.72;-12.48
9396;44.66;-12.48
9499;44.59;-12.49
9602;44.52;-12.48
9705;44.48;-12.49
9808;44.44;-12.49
9911;44.28;-12.50
10014;44.22;-12.50
10117;44.16;-12.50
10220;44.10;-12.51
10323;44.04;-12.49
10427;43.96;-12.50
10530;43.91;-12.50
10633;43.85;-12.51
10736;43.81;-12.51
10839;43.76;-12.51
10942;43.61;-12.52
11045;43.55;-12.52
11148;43.50;-12.53
11251;43.45;-12.53
11354;43.38;-12.53
11457;43.32;-12.54
11560;43.27;-12.54
11664;43.21;-12.55
11767;43.17;-12.55
11870;43.10;-12.55
11973;43.03;-12.55
12076;42.92;-12.56
12179;42.86;-12.57
12282;42.81;-12.57
12385;42.76;-12.58
12488;42.70;-12.58
12591;42.64;-12.58
12694;42.59;-12.59
12797;42.53;-12.59
12901;42.47;-12.60
13004;42.44;-12.60
13107;42.31;-12.61
13210;42.26;-12.61
13313;42.21;-12.62
13416;42.16;-12.62
13519;42.11;-12.62
13622;42.05;-12.63
13725;42.00;-12.63
13828;41.96;-12.64
13931;41.91;-12.64
14034;41.84;-12.65
14138;41.80;-12.65
14241;41.70;-12.66
14344;41.65;-12.67
14447;41.60;-12.67
14550;41.54;-12.68
14653;41.50;-12.68
14756;41.45;-12.69
14859;41.40;-12.69
14962;41.35;-12.69
15065;41.32;-12.70
15168;41.25;-12.70
15271;41.17;-12.71
15375;41.13;-12.72
15478;41.09;-12.72
15581;41.03;-12.73
15684;40.98;-12.73
15787;40.94;-12.73
15890;40.90;-12.74
15993;40.85;-12.74
16096;40.77;-12.74
16199;40.74;-12.75
16302;40.69;-12.76
16405;40.63;-12.77
16508;40.59;-12.78
16612;40.54;-12.78
16715;40.50;-12.78
16818;40.45;-12.79
16921;40.41;-12.79
17024;40.38;-12.80
17127;40.32;-12.80
17230;40.29;-12.81
17333;40.23;-12.82
17436;40.16;-12.82
17539;40.12;-12.83
17642;40.08;-12.84
17745;40.03;-12.84
17848;39.99;-12.85
17951;39.96;-12.85
18054;39.91;-12.86
18157;39.88;-12.86
18260;39.83;-12.87
18364;39.77;-12.88
18467;39.79;-12.88
18570;39.68;-12.89
18673;39.64;-12.89
18776;39.61;-12.90
18879;39.56;-12.91
18982;39.53;-12.91
19085;39.49;-12.91
19188;39.46;-12.92
19291;39.41;-12.93
19394;39.37;-12.93
19497;39.35;-12.94
19601;39.26;-12.96
19704;39.23;-12.96
19807;39.19;-12.97
19910;39.16;-12.97
20013;39.12;-12.98
20116;39.08;-13.01
20219;39.04;-13.02
20322;39.01;-13.03
20425;38.94;-13.03
20528;38.91;-13.03
20631;38.89;-13.05
20734;38.83;-13.05
20838;38.80;-13.06
20941;38.77;-13.06
21044;38.73;-13.04
21147;38.69;-13.05
21250;38.66;-13.05
21353;38.62;-13.06
21456;38.62;-13.07
21559;38.58;-13.08
21662;38.53;-13.08
21765;38.46;-13.09
21868;38.44;-13.09
21971;38.40;-13.10
22075;38.38;-13.11
22178;38.34;-13.12
22281;38.30;-13.15
22384;38.27;-13.15
22487;38.24;-13.15
22590;38.18;-13.14
22693;38.16;-13.15
22796;38.12;-13.16
22899;38.08;-13.17
23002;38.05;-13.18
23105;38.02;-13.19
23208;37.99;-13.19
23312;37.96;-13.19
23415;37.94;-13.20
23518;37.91;-13.21
23621;37.88;-13.21
23724;37.84;-13.22
23827;37.80;-13.23
23930;37.76;-13.24
24033;37.73;-13.25
24136;37.69;-13.26
24239;37.66;-13.26
24342;37.63;-13.26
24445;37.61;-13.27
24549;37.58;-13.27
24652;37.55;-13.28
24755;37.54;-13.28
24858;37.50;-13.29
24961;37.44;-13.30
25064;37.41;-13.31
25167;37.39;-13.31
25270;37.36;-13.32
25373;37.33;-13.33
25476;37.30;-13.33
25579;37.28;-13.34
25682;37.25;-13.35
25786;37.22;-13.36
25889;37.21;-13.36
25992;37.14;-13.37
26095;37.13;-13.38
26198;37.10;-13.39
