=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
calibratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2001482;10142788
2001487;10144274
2001537;10144728
2001591;10146505
2001643;10143491
2001697;10143945
2001750;10144264
2001803;10143624
2001857;10144945
2001910;10146097
2001963;10146358
2002016;10146820
2002069;10147846
2002123;10150090
2002176;10150416
2002229;10147940
2002282;10146771
2002336;10146269
2002389;10146216
2002442;10147781
2002496;10150229
2002548;10151462
2002602;10152379
2002656;10152797
2002709;10154200
2002761;10154034
2002815;10153507
2002868;10154521
2002922;10154855
2002974;10155096
2003028;10156154
2003081;10156845
2003134;10157968
2003188;10159021
2003241;10160195
2003294;10158712
2003348;10158313
2003400;10158405
2003454;10159096
2003507;10159303
2003560;10159847
2003614;10159773
2003667;10159818
2003720;10158371
2003774;10159332
2003826;10159485
2003880;10160444
2003933;10161072
2003986;10161437
2004040;10160260
2004093;10160555
2004146;10160460
2004200;10161432
2004253;10162949
2004306;10163801
2004359;10163446
2004412;10163595
2004466;10164383
2004519;10164491
2004572;10164963
2004626;10164093
2004679;10164895
2004732;10163973
2004785;10164013
2004838;10164687
2004892;10164274
2004945;10164815
2004998;10164117
2005052;10164624
2005105;10164615
2005158;10163600
2005211;10163482
2005265;10163555
2005318;10163658
2005371;10164407
2005424;10166702
2005478;10165738
2005530;10166313
2005584;10166991
2005637;10166156
2005691;10166351
2005743;10167298
2005797;10167204
2005850;10168269
2005904;10169399
2005957;10169675
2006010;10169856
2006064;10168027
2006116;10167878
2006169;10168711
2006223;10168547
2006277;10167648
2006329;10167573
2006383;10167943
2006436;10168573
2006489;10168784
2006543;10169979
2006596;10170841
2006649;10170742
2006702;10170989
2006755;10169226
2006809;10169286
2006862;10169856
2006915;10170255
2006969;10170955
2007021;10170645
2007075;10170404
2007128;10170339
2007181;10170660
2007235;10170300
2007288;10170274
2007342;10169552
2007395;10170414
2007448;10171054
2007501;10172457
2007554;10173131
2007608;10173570
2007661;10173534
2007714;10173112
2007768;10172068
2007821;10171501
2007873;10171235
2007927;10171443
2007980;10172930
2008034;10172940
2008086;10172546
2008140;10171511
2008193;10171054
2008247;10171639
2008300;10172624
2008353;10170906
2008407;10169842
2008460;10169945
2008513;10170767
2008566;10172073
2008619;10172377
2008673;10172097
2008725;10171728
2008779;10172107
2008832;10171575
2008886;10170807
2008939;10171349
2008992;10171462
2009045;10172684
2009098;10172442
2009152;10173520
2009205;10172377
2009259;10172136
2009311;10172786
2009365;10170837
2009418;10172117
2009471;10172112
2009525;10172663
2009578;10173126
2009631;10173505
2009685;10173684
2009738;10174061
2009791;10174225
2009845;10173841
2009897;10174307
2009951;10173604
2010004;10173447
2010057;10172964
2010111;10173225
2010164;10173708
2010217;10174858
2010270;10175067
2010323;10175244
2010377;10175406
2010430;10176224
2010483;10175121
2010536;10175983
2010590;10174954
2010643;10174935
2010696;10175677
2010749;10175307
2010802;10175067
2010856;10175515
2010909;10175283
2010963;10174667
2011015;10174944
2011069;10175580
2011122;10176529
2011175;10176111
2011229;10176500
2011282;10175981
2011335;10175442
2011389;10174691
2011442;10174205
2011494;10175027
2011548;10175722
2011601;10175481
2011655;10175461
2011708;10175899
2011761;10176385
2011814;10175850
2011867;10175785
2011921;10177213
2011974;10176150
2012027;10177054
2012081;10177025
2012134;10177438
2012187;10177660
2012241;10177242
2012293;10176326
2012347;10176075
2012400;10176686
2012453;10177157
2012507;10175957
2012559;10175314
2012613;10174524
2012666;10174254
2012720;10174505
2012773;10175563
2012826;10175677
2012879;10176346
2012933;10176769
2012986;10176778
2013040;10177138
2013092;10177295
2013145;10177572
2013199;10177694
2013252;10178020
2013306;10177029
2013358;10177007
2013412;10176404
2013465;10176315
2013519;10176155
2013572;10177109
2013625;10177848
2013678;10178331
2013731;10178464
2013785;10179517
2013838;10178606
2013891;10178601
2013944;10178954
2013998;10179246
2014050;10178606
2014104;10178826
2014157;10179891
2014211;10179625
2014264;10179891
2014317;10178404
2014370;10177956
2014424;10177443
2014477;10177708
2014530;10177404
2014584;10178217
2014637;10178729
2014690;10179246
2014743;10178857
2014796;10178817
2014850;10179901
2014903;10179172
2014956;10177935
2015010;10177162
2015062;10177464
2015116;10177901
2015169;10178566
2015222;10179078
2015276;10178867
2015329;10178734
2015382;10179215
2015435;10179300
2015488;10178498
2015542;10178468
2015595;10177817
2015648;10177635
2015702;10177503
2015755;10177877
2015808;10177793
2015862;10178034
2015915;10177887
2015968;10178068
2016022;10178324
2016074;10178822
2016127;10178473
2016181;10177925
2016234;10177503
2016288;10178251
2016341;10178053
2016394;10177305
2016447;10177631
2016500;10178374
2016554;10177295
2016607;10178217
2016661;10177862
2016713;10176385
2016767;10177903
2016820;10177744
2016873;10176981
2016926;10177271
2016980;10177848
2017033;10179220
2017086;10178959
2017140;10178331
2017193;10178000
2017246;10178684
2017299;10177901
2017353;10177674
2017406;10178324
2017459;10177841
2017512;10179113
2017566;10179118
2017619;10179732
2017672;10180181
2017725;10179640
2017779;10180099
2017831;10180978
2017885;10179432
2017938;10179147
2017992;10179092
2018044;10180157
2018098;10180403
2018151;10180693
2018205;10180679
2018257;10181106
2018311;10181456
2018364;10182762
2018418;10181929
2018471;10182215
2018524;10181137
2018577;10180845
2018630;10180285
2018684;10179570
2018737;10179645
2018791;10179355
2018843;10180560
2018897;10180959
2018950;10181353
2019003;10180871
2019057;10179867
2019109;10178493
2019163;10179502
2019216;10179029
2019269;10178655
2019323;10179522
2019376;10179295
2019429;10179232
2019483;10178891
2019535;10179679
2019589;10179270
2019642;10178720
2019696;10178418
2019749;10178222
2019802;10178232
2019855;10178911
2019908;10179546
2019962;10180231
2020015;10180659
2020069;10180000
2020121;10179920
2020175;10179522
2020228;10179669
2020282;10179930
2020334;10179650
2020388;10178872
2020441;10180546
2020494;10181123
2020548;10180995
2020600;10179807
2020654;10179058
2020708;10178502
2020760;10178846
2020814;10180102
2020867;10180871
2020920;10180865
2020973;10180398
2021027;10181176
2021080;10180777
2021133;10180261
2021187;10180423
2021240;10180186
2021293;10180304
2021346;10180314
2021400;10181536
2021453;10181215
2021506;10181176
2021560;10181698
2021613;10181831
2021666;10181004
2021719;10181451
2021772;10181215
2021825;10181456
2021879;10181999
2021932;10182116
2021986;10181993
2022038;10181417
2022092;10181323
2022145;10181009
2022198;10180852
2022252;10181048
2022305;10181618
2022358;10181673
2022411;10181753
2022464;10182712
2022518;10183210
2022571;10182009
2022625;10182304
2022677;10180860
2022731;10180196
2022784;10179949
2022837;10181811
2022891;10181451
2022944;10182352
2022997;10182574
2023050;10181845
2023103;10183658
2023157;10182618
2023210;10182565
2023264;10182536
2023317;10183466
2023369;10183801
2023423;10184161
2023476;10183668
2023530;10184553
2023583;10184046
2023636;10184446
2023689;10183707
2023742;10183579
2023796;10183161
2023849;10183057
2023903;10182451
2023955;10184154
2024009;10183176
2024062;10183782
2024115;10183279
2024169;10183381
2024222;10184224
2024275;10182589
2024328;10181988
2024381;10181865
2024435;10182466
2024488;10183574
2024541;10183530
2024595;10183436
2024648;10183043
2024701;10182461
2024754;10181876
2024808;10179995
2024861;10179334
2024914;10179787
2024967;10180220
2025020;10180855
2025074;10180029
2025127;10180186
2025180;10181840
2025234;10181063
2025287;10182604
2025340;10183146
2025393;10183555
2025447;10185190
2025500;10184966
2025553;10183736
2025606;10181871
2025660;10182181
2025713;10182239
2025766;10181891
2025819;10182106
2025873;10181934
2025926;10183263
2025980;10183038
2026032;10183888
2026085;10184311
2026139;10184692
2026192;10183540
2026245;10182270
2026298;10181649
2026352;10181294
2026405;10181835
2026458;10182717
2026511;10183229
2026565;10183637
2026618;10183516
2026671;10183299
2026724;10183845
2026778;10183924
2026831;10183628
2026885;10183052
2026938;10183569
2026991;10184726
2027044;10184540
2027098;10185417
2027151;10185238
2027204;10184663
2027258;10184811
2027310;10184678
2027363;10185293
2027417;10184700
2027470;10184125
2027523;10184062
2027576;10183973
2027630;10183997
2027683;10184520
2027737;10184898
2027790;10184370
2027843;10184185
2027896;10184914
2027949;10183835
2028002;10183417
2028056;10182886
2028109;10182521
2028162;10180787
2028216;10180855
2028269;10181270
2028322;10181727
2028375;10182874
2028429;10184569
2028482;10183845
2028536;10184627
2028588;10184407
2028641;10184313
2028695;10184905
2028748;10183782
2028802;10184682
2028854;10184008
2028908;10184736
2028961;10185057
2029014;10185809
2029068;10185504
2029121;10185099
2029174;10185323
2029228;10185995
2029280;10185183
2029334;10183885
2029387;10183376
2029441;10183978
2029493;10184786
2029547;10184323
2029600;10184637
2029654;10185326
2029706;10185298
2029760;10185459
2029813;10185115
2029867;10184170
2029920;10185011
2029973;10185084
2030026;10185118
2030080;10185355
2030133;10185144
2030186;10185676
2030239;10184284
2030292;10184308
2030346;10184744
2030399;10184888
2030453;10185193
2030505;10185316
2030558;10185227
2030612;10184420
2030665;10183446
2030718;10184204
2030772;10183381
2030825;10185455
2030878;10184668
2030931;10184002
2030985;10184313
2031038;10185084
2031092;10186055
2031144;10186847
2031198;10187434
2031251;10186951
2031304;10186763
2031358;10185651
2031411;10186403
2031464;10186763
2031518;10185877
2031570;10186241
2031624;10185478
2031677;10181152
2031730;10170846
2031783;10156838
2031836;10139878
2031890;10115552
2031943;10101353
2031997;10086328
2032050;10066923
2032103;10045237
2032156;10028705
2032209;10015051
2032263;10006057
2032316;10000889
2032370;9992010
2032422;9985623
2032476;9981315
2032529;9974250
2032582;9969158
2032636;9965224
2032689;9961985
2032742;9955836
2032796;9950664
2032849;9944429
2032902;9941523
2032955;9940689
2033008;9938996
2033061;9946544
2033115;9936384
