=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:01:24 =~=~=~=~=~=~=~=~=~=~=~=
calir brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2112501;10165037
2112512;10255603
2112565;10168006
2112618;10167996
2112671;10169866
2112725;10169395
2112778;10169025
2112832;10170600
2112885;10171861
2112938;10172245
2112991;10172452
2113044;10173107
2113098;10173324
2113151;10171969
2113204;10171206
2113257;10170517
2113311;10170798
2113364;10170354
2113417;10169390
2113470;10169433
2113524;10169931
2113577;10170167
2113630;10171097
2113683;10172245
2113736;10173544
2113790;10174333
2113843;10173689
2113897;10174244
2113949;10174225
2114003;10175421
2114056;10174116
2114109;10175466
2114163;10175515
2114216;10175210
2114270;10175027
2114322;10174807
2114376;10175471
2114429;10175884
2114482;10176210
2114535;10177527
2114589;10176597
2114642;10176150
2114695;10175879
2114749;10176159
2114802;10177396
2114855;10177096
2114908;10175971
2114962;10177085
2115015;10178442
2115067;10178290
2115121;10178857
2115175;10177423
2115227;10178404
2115281;10178049
2115334;10178063
2115387;10177428
2115441;10176775
2115494;10176638
2115547;10176788
2115600;10177326
2115654;10178128
2115707;10178024
2115760;10176735
2115813;10176681
2115866;10176027
2115920;10176138
2115973;10176096
2116026;10176273
2116080;10175903
2116133;10175524
2116186;10173831
2116240;10174703
2116293;10175239
2116346;10176338
2116399;10177290
2116453;10177571
2116505;10177005
2116559;10176456
2116612;10176778
2116665;10177196
2116719;10176911
2116772;10177049
2116825;10177853
2116879;10177423
2116931;10177404
2116985;10177315
2117038;10178339
2117092;10177862
2117145;10178728
2117197;10178891
2117251;10179201
2117304;10179787
2117358;10180476
2117411;10179910
2117464;10177990
2117517;10179172
2117570;10179432
2117624;10180645
2117677;10180664
2117731;10180654
2117784;10180314
2117837;10180551
2117890;10180353
2117944;10180876
2117997;10180649
2118050;10180649
2118103;10181372
2118156;10181314
2118210;10181181
2118263;10180635
2118316;10179556
2118369;10180000
2118423;10180659
2118476;10180512
2118529;10180043
2118583;10179304
2118636;10179063
2118689;10179000
2118742;10180215
2118795;10180476
2118849;10180099
2118902;10181195
2118955;10181471
2119008;10181166
2119061;10179546
2119115;10179536
2119168;10178763
2119222;10179034
2119275;10179703
2119328;10181004
2119381;10181485
2119435;10180935
2119488;10179447
2119541;10181289
2119594;10181490
2119648;10181137
2119701;10180589
2119754;10180447
2119807;10179954
2119861;10180314
2119913;10180599
2119967;10180551
2120020;10181427
2120074;10181782
2120127;10182377
2120180;10182895
2120233;10183125
2120286;10182485
2120340;10181106
2120393;10180285
2120447;10180393
2120499;10179210
2120553;10178980
2120606;10179703
2120659;10179488
2120713;10180043
2120766;10180773
2120819;10181200
2120872;10181545
2120925;10183018
2120979;10183958
2121032;10184554
2121085;10184653
2121139;10183649
2121191;10183294
2121245;10183166
2121298;10183973
2121351;10183048
2121405;10182683
2121458;10178266
2121511;10176571
2121565;10176785
2121617;10178143
2121671;10178379
2121724;10178822
2121777;10180225
2121831;10180024
2121884;10180787
2121938;10180068
2121991;10181048
2122043;10181541
2122097;10181427
2122150;10181801
2122203;10182057
2122257;10185804
2122310;10182526
2122363;10183265
2122416;10183072
2122470;10182299
2122523;10182427
2122576;10182205
2122630;10181983
2122682;10182772
2122736;10183381
2122789;10183086
2122842;10182874
2122896;10183014
2122949;10183407
2123003;10183270
2123055;10183500
2123109;10182772
2123162;10181910
2123215;10182265
2123268;10182130
2123322;10182255
2123375;10182983
2123428;10183490
2123482;10183323
2123535;10183756
2123588;10184485
2123641;10185478
2123695;10185917
2123748;10185804
2123801;10186197
2123855;10185967
2123907;10185867
2123961;10185410
2124014;10185227
2124067;10183506
2124121;10183402
2124174;10182874
2124227;10183166
2124280;10183338
2124334;10183304
2124386;10182881
2124440;10183028
2124493;10183806
2124547;10183598
2124600;10183825
2124653;10184170
2124706;10183461
2124760;10183304
2124813;10183835
2124866;10184323
2124919;10185425
2124973;10185685
2125025;10186296
2125079;10185862
2125132;10186985
2125186;10186265
2125239;10185169
2125292;10184929
2125345;10185075
2125398;10185478
2125452;10185104
2125505;10184990
2125558;10186256
2125612;10186871
2125665;10186327
2125718;10186538
2125771;10185611
2125824;10186256
2125878;10184869
2125931;10184248
2125984;10184294
2126038;10183485
2126091;10184712
2126144;10185676
2126198;10185862
2126250;10185507
2126304;10186094
2126357;10186753
2126411;10186217
2126464;10185389
2126517;10185434
2126570;10185394
2126623;10184997
2126676;10183446
2126730;10183333
2126783;10183224
2126837;10184627
2126889;10184535
2126943;10185272
2126996;10185611
2127049;10185272
2127103;10184990
2127156;10184909
2127209;10184268
2127262;10183939
2127316;10183820
2127369;10184417
2127422;10182497
2127475;10182185
2127529;10182545
2127582;10183200
2127635;10184146
2127688;10185099
2127742;10184739
2127795;10184400
2127848;10185109
2127901;10184572
2127954;10183357
2128008;10183869
2128061;10183116
2128114;10183869
2128168;10183516
2128221;10183752
2128274;10184874
2128327;10184990
2128380;10184533
2128434;10184417
2128487;10184451
2128541;10185394
2128593;10186306
2128647;10185937
2128700;10185651
2128754;10184903
2128807;10184420
2128860;10184091
2128913;10184303
2128966;10184328
2129019;10184603
2129073;10185758
2129126;10186675
2129180;10186675
2129232;10185833
2129286;10185775
2129339;10186227
2129392;10185193
2129446;10184306
2129499;10184579
2129553;10184308
2129605;10184652
2129658;10184376
2129712;10185671
2129765;10185253
2129819;10185601
2129872;10185301
2129925;10185052
2129979;10185282
2130031;10184574
2130084;10184862
2130138;10185557
2130191;10185374
2130244;10185497
2130297;10185770
2130351;10186108
2130404;10185975
2130458;10185502
2130511;10185881
2130563;10185277
2130617;10184190
2130670;10184835
2130724;10185640
2130777;10186340
2130830;10187108
2130883;10187137
2130936;10186656
2130989;10186656
2131043;10185415
2131096;10185852
2131150;10186521
2131203;10185886
2131256;10186123
2131309;10186393
2131362;10185611
2131416;10183569
2131469;10184678
2131523;10184441
2131576;10185057
2131628;10185478
2131682;10186005
2131735;10186296
2131789;10187448
2131842;10187197
2131895;10184903
2131948;10184872
2132001;10185212
2132055;10185306
2132108;10185421
2132161;10185519
2132215;10185927
2132268;10186473
2132321;10187202
2132375;10187393
2132427;10188108
2132481;10187758
2132534;10187280
2132587;10186567
2132641;10186424
2132694;10186581
2132747;10186444
2132801;10185591
2132853;10184838
2132907;10185005
2132960;10184760
2133013;10185154
2133067;10185715
2133120;10186577
2133173;10186946
2133226;10186645
2133280;10187163
2133333;10186429
2133386;10184253
2133439;10183934
2133493;10183741
2133546;10182983
2133599;10183924
2133652;10184574
2133706;10185961
2133759;10185533
2133813;10185587
2133865;10184927
2133919;10185326
2133972;10184905
2134025;10185374
2134078;10185838
2134132;10184716
2134185;10183953
2134238;10182997
2134292;10183475
2134345;10183323
2134398;10183888
2134451;10183772
2134504;10184436
2134558;10184548
2134611;10185687
2134664;10186635
2134717;10184381
2134771;10184062
2134824;10186453
2134877;10184741
2134930;10185685
2134984;10185627
2135037;10184637
2135090;10184494
2135143;10184833
2135197;10184439
2135250;10184081
2135303;10183939
2135357;10183623
2135410;10184956
2135463;10185308
2135516;10186773
2135570;10186630
2135623;10187059
2135676;10187941
2135729;10188801
2135782;10188630
2135836;10188910
2135889;10187910
2135943;10186159
2135995;10186557
2136049;10187644
2136102;10187546
2136155;10194016
2136209;10188137
2136262;10187960
2136315;10188197
2136368;10188192
2136422;10187784
2136474;10187640
2136528;10188142
2136581;10186902
2136635;10188212
2136688;10188304
2136741;10187127
2136794;10187118
2136847;10188054
2136901;10188340
2136954;10189202
2137007;10188516
2137060;10189236
2137114;10188122
2137167;10187439
2137220;10187157
2137274;10186345
2137327;10187398
2137380;10188330
2137433;10189156
2137486;10189033
2137540;10190373
2137593;10189979
2137646;10190127
2137700;10188620
2137753;10188349
2137806;10187291
2137859;10187192
2137912;10187920
2137966;10187758
2138019;10188103
2138073;10187970
2138126;10186956
2138178;10188813
2138232;10187458
2138285;10188403
2138339;10187526
2138392;10188432
2138445;10188187
2138498;10189014
2138551;10188468
2138605;10186931
2138658;10186316
2138712;10185463
2138764;10186393
2138817;10187059
2138871;10187832
2138924;10188728
2138978;10188296
2139030;10187226
2139084;10187596
2139137;10187857
2139191;10187685
2139243;10187985
2139297;10187004
2139350;10187364
2139404;10187009
2139457;10187562
2139510;10188187
2139563;10188596
2139616;10189383
2139670;10188325
2139723;10188265
2139777;10188566
2139830;10190310
2139882;10189945
2139936;10190289
2139989;10190098
2140042;10190221
2140096;10191298
2140149;10189827
2140203;10188516
2140255;10188284
2140309;10188393
2140362;10188675
2140415;10189074
2140469;10189526
2140522;10189786
2140575;10190324
2140628;10189767
2140681;10190018
2140735;10190462
2140788;10190521
2140841;10189989
2140895;10190815
2140948;10190038
2141001;10189506
2141054;10189555
2141107;10188946
2141161;10188547
2141214;10188832
2141267;10188762
2141321;10188960
2141374;10189344
2141427;10189018
2141481;10190073
2141534;10189748
2141586;10188226
2141640;10188231
2141693;10188403
2141747;10188132
2141800;10188330
2141853;10187487
2141907;10187429
2141959;10188673
2142013;10188605
2142066;10188571
2142119;10189059
2142173;10189231
2142226;10188557
2142279;10188920
2142333;10188250
2142385;10189180
2142439;10189373
2142492;10189979
2142546;10188704
2142599;10189274
2142652;10189895
2142705;10183992
2142759;10169327
2142811;10152853
2142865;10145969
2142918;10134444
2142971;10122491
2143025;10112934
2143078;10102594
2143131;10076655
2143184;10054374
2143238;10041045
2143291;10029080
2143344;10016938
2143398;10008172
2143450;10001425
2143504;9996106
2143557;9992015
2143611;9987904
2143664;9982566
2143717;9976032
2143770;9969774
2143823;9966266
2143877;9965465
2143930;9963194
2143983;9959439
2144036;9952408
2144090;9946814
2144143;9941736
