=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;67.55;23.71
325;67.56;23.71
428;67.57;23.71
531;67.57;23.71
634;67.58;23.71
737;67.59;23.71
840;67.59;23.72
943;67.60;23.71
1046;67.60;23.71
1149;67.60;23.71
1253;67.62;23.71
1356;67.64;23.72
1459;67.64;23.71
1562;67.64;23.72
1665;67.65;23.72
1768;67.66;23.72
1871;67.67;23.71
1974;67.67;23.71
2077;67.68;23.72
2180;67.68;23.71
2283;67.68;23.72
2386;67.69;23.72
2490;67.70;23.72
2593;67.70;23.72
2696;67.70;23.72
2799;67.71;23.72
2902;67.71;23.72
3005;67.71;23.72
3108;67.75;23.72
3211;67.72;23.72
3314;67.76;23.72
3417;67.76;23.71
3520;67.76;23.72
3623;67.77;23.72
3727;67.78;23.72
3830;67.78;23.72
3933;67.79;23.72
4036;67.79;23.72
4139;67.80;23.72
4242;67.80;23.72
4345;67.76;23.72
4448;67.38;23.72
4551;66.88;23.72
4654;66.33;23.71
4757;65.87;23.72
4860;65.36;23.71
4964;64.10;23.71
5067;63.39;23.70
5170;62.72;23.71
5273;62.00;23.71
5376;61.27;23.70
5479;60.50;23.70
5582;59.71;23.71
5685;58.96;23.70
5788;58.22;23.71
5891;57.45;23.71
5994;56.64;23.70
6097;55.88;23.70
6200;55.12;23.70
6303;54.31;23.71
6406;53.57;23.71
6509;52.82;23.71
6612;51.41;23.71
6716;50.73;23.70
6819;50.07;23.70
6922;49.41;23.71
7025;48.77;23.71
7128;48.14;23.70
7231;47.52;23.70
7334;46.92;23.70
7437;46.33;23.71
7540;45.79;23.70
7643;45.24;23.71
7746;44.70;23.70
7849;44.16;23.70
7953;43.63;23.70
8056;43.14;23.70
8159;42.19;23.70
8262;41.74;23.70
8365;41.29;23.70
8468;40.88;23.70
8571;40.49;23.70
8674;40.09;23.70
8777;39.70;23.70
8880;39.31;23.70
8983;38.92;23.70
9086;38.56;23.70
1
9190;38.20;23.70
9293;37.88;23.70
9396;37.57;23.70
9499;37.25;23.70
9602;36.92;23.71
9705;36.63;23.71
9808;36.06;23.70
9911;35.78;23.70
2
10014;35.50;23.70
10117;35.23;23.70
10220;34.96;23.70
10323;34.70;23.70
10427;34.47;23.70
10530;34.24;23.71
10633;34.02;23.71
10736;33.80;23.71
10839;33.60;23.71
10942;33.38;23.71
11045;33.16;23.70
11148;32.97;23.70
11251;32.77;23.71
11354;32.60;23.70
11457;32.23;23.71
11560;32.02;23.71
11664;31.83;23.71
11767;31.68;23.71
11870;31.51;23.71
11973;31.35;23.71
12076;31.20;23.70
12179;31.02;23.71
12282;30.88;23.71
12385;30.74;23.71
12488;30.60;23.71
12591;30.45;23.71
12694;30.31;23.71
12797;30.19;23.71
12901;30.07;23.71
13004;29.79;23.70
13107;29.65;23.70
13210;29.51;23.71
13313;29.39;23.71
13416;29.27;23.71
13519;29.13;23.71
13622;29.01;23.71
13725;28.87;23.71
13828;28.77;23.71
13931;28.68;23.71
14034;28.59;23.71
14138;28.49;23.71
14241;28.40;23.71
14344;28.25;23.71
14447;28.16;23.71
14550;28.08;23.71
14653;27.89;23.71
14756;27.79;23.71
14859;27.68;23.71
14962;27.59;23.71
15065;27.50;23.70
15168;27.41;23.71
15271;27.32;23.71
15375;27.21;23.70
15478;27.14;23.70
15581;27.05;23.70
15684;26.97;23.71
15787;26.92;23.71
15890;26.83;23.71
15993;26.74;23.71
16096;26.65;23.71
16199;26.54;23.71
16302;26.46;23.71
16405;26.40;23.71
16508;26.36;23.70
16612;26.28;23.71
16715;26.23;23.70
16818;26.18;23.71
16921;26.12;23.71
17024;26.05;23.71
17127;25.97;23.70
17230;25.91;23.70
17333;25.85;23.70
17436;25.79;23.71
17539;25.70;23.71
17642;25.69;23.71
17745;25.62;23.71
17848;25.52;23.71
17951;25.47;23.71
18054;25.41;23.71
18157;25.34;23.71
18260;25.28;23.71
18364;25.21;23.71
18467;25.15;23.71
18570;25.10;23.71
18673;25.03;23.71
18776;24.98;23.71
18879;24.93;23.71
18982;24.87;23.71
19085;24.81;23.71
19188;24.79;23.71
19291;24.75;23.71
19394;24.69;23.71
19497;24.60;23.71
19601;24.55;23.71
19704;24.51;23.71
19807;24.45;23.71
19910;24.41;23.71
20013;24.36;23.70
20116;24.33;23.70
20219;24.29;23.70
20322;24.25;23.70
20425;24.20;23.71
20528;24.17;23.70
20631;24.14;23.71
20734;24.09;23.70
20838;24.07;23.70
20941;24.04;23.70
21044;23.97;23.70
21147;23.92;23.70
21250;23.90;23.70
21353;23.85;23.70
21456;23.81;23.70
21559;23.76;23.71
21662;23.72;23.71
21765;23.67;23.70
21868;23.65;23.70
21971;23.63;23.70
22075;23.58;23.71
22178;23.55;23.70
22281;23.53;23.70
22384;23.47;23.70
22487;23.43;23.70
22590;23.40;23.70
22693;23.32;23.70
22796;23.29;23.70
22899;23.27;23.71
23002;23.23;23.71
23105;23.21;23.70
23208;23.18;23.71
23312;23.16;23.70
23415;23.12;23.71
23518;23.10;23.70
23621;23.06;23.70
23724;23.03;23.71
23827;23.00;23.70
23930;22.96;23.70
24033;22.95;23.70
24136;22.92;23.70
24239;22.90;23.70
24342;22.83;23.71
24445;22.82;23.70
24549;22.79;23.70
24652;22.76;23.70
24755;22.73;23.70
24858;22.68;23.70
24961;22.66;23.70
25064;22.62;23.71
25167;22.60;23.71
25270;22.59;23.70
25373;22.57;23.71
25476;22.54;23.70
25579;22.51;23.71
25682;22.49;23.70
25786;22.44;23.71
