=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:08:15 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
3160917;11029714
3160933;11094614
3160959;11029565
3160985;11029464
3161011;11029858
3161038;11030077
3161063;11030472
3161090;11030531
3161117;11030312
3161143;11030696
3161169;11030467
3161195;11030461
3161221;11030668
3161247;11030637
3161274;11031010
3161300;11030877
3161326;11030929
3161352;11030851
3161378;11030830
3161405;11030910
3161431;11031091
3161457;11031094
3161484;11031314
3161509;11031373
3161536;11031380
3161562;11031522
3161588;11031399
3161615;11031817
3161640;11031671
3161667;11031636
3161693;11031612
3161719;11031703
3161746;11031720
3161771;11031720
3161798;11031768
3161824;11031794
3161850;11031954
3161877;11031924
3161902;11032018
3161929;11032146
3161955;11032066
3161981;11032062
3162008;11032167
3162034;11032425
3162060;11032338
3162086;11032478
3162113;11032360
3162139;11032450
3162165;11032509
3162191;11032606
3162218;11032702
3162243;11032594
3162270;11032958
3162296;11032936
3162323;11032964
3162348;11033058
3162375;11033256
3162401;11033570
3162427;11033576
3162453;11033353
3162480;11033619
3162506;11033314
3162532;11033400
3162558;11033405
3162584;11033469
3162611;11033628
3162637;11033640
3162662;11033416
3162689;11033432
3162716;11033854
3162741;11033619
3162768;11033533
3162794;11033581
3162820;11033463
3162846;11033886
3162873;11033795
3162899;11033688
3162925;11033690
3162951;11033661
3162977;11033469
3163004;11033390
3163030;11033704
3163056;11033625
3163083;11033651
3163108;11033758
3163135;11033714
3163161;11033667
3163187;11033695
3163214;11033772
3163239;11033837
3163266;11033847
3163292;11034265
3163318;11033805
3163345;11033875
3163371;11033912
3163397;11033954
3163423;11034312
3163450;11034291
3163475;11033917
3163502;11034270
3163528;11034456
3163554;11034077
3163580;11034163
3163607;11034152
3163633;11034238
3163659;11034226
3163686;11034275
3163712;11034372
3163738;11034428
3163764;11034594
3163790;11034451
3163817;11034487
3163842;11034419
3163869;11034484
3163895;11034487
3163922;11034643
3163947;11034792
3163974;11034717
3164000;11034691
3164026;11034738
3164052;11034745
3164078;11034808
3164105;11034861
3164131;11034894
3164157;11034824
3164183;11035064
3164209;11035171
3164236;11035052
3164262;11035098
3164288;11035117
3164315;11035192
3164340;11035255
3164367;11035352
3164393;11035271
3164419;11035383
3164445;11035497
3164472;11035352
3164498;11035266
3164524;11035247
3164550;11035305
3164577;11035133
3164603;11035417
3164629;11035347
3164655;11035438
3164682;11035362
3164708;11035475
3164734;11035608
3164760;11035527
3164786;11035555
3164813;11035522
3164839;11035631
3164865;11035618
3164891;11035646
3164918;11035767
3164944;11035613
3164970;11035646
3164996;11036078
3165022;11035671
3165049;11035629
3165075;11035692
3165101;11035678
3165127;11035639
3165153;11035624
3165180;11035480
3165206;11035790
3165232;11036183
3165258;11035785
3165284;11035506
3165311;11035396
3165337;11035389
3165363;11035555
3165389;11035838
3165416;11035597
3165442;11035838
3165468;11035780
3165494;11035923
3165521;11035783
3165546;11036174
3165573;11035997
3165599;11035929
3165625;11035927
3165651;11036062
3165678;11035736
3165704;11035741
3165730;11036188
3165756;11035811
3165783;11035741
3165809;11036409
3165835;11035825
3165861;11035901
3165887;11035955
3165914;11036023
3165940;11036137
3165966;11035948
3165992;11036092
3166019;11036137
3166044;11035950
3166071;11036050
3166097;11036143
3166123;11036104
3166149;11036094
3166176;11036483
3166202;11036211
3166228;11036088
3166254;11035981
3166281;11036008
3166307;11036250
3166333;11036525
3166359;11036483
3166386;11036350
3166411;11036323
3166438;11036178
3166464;11036167
3166490;11036057
3166517;11036067
3166543;11036125
3166569;11036413
3166596;11036295
3166621;11036365
3166648;11036274
3166674;11036301
3166700;11036413
3166727;11036541
3166753;11036434
3166779;11036920
3166805;11036574
3166831;11036583
3166857;11036585
3166883;11036504
3166910;11036676
3166936;11036786
3166962;11036835
3166988;11037048
3167015;11036825
3167041;11036595
3167067;11036867
3167093;11036813
3167119;11036951
3167146;11036995
3167171;11036974
3167198;11037032
3167225;11036793
3167251;11036946
3167277;11036828
3167303;11036820
3167329;11037191
3167355;11037069
3167382;11037102
3167408;11036781
3167434;11036621
3167461;11036460
3167486;11036727
3167513;11036888
3167539;11036930
3167565;11036926
3167592;11037160
3167617;11036995
3167644;11037021
3167670;11037044
3167696;11037042
3167723;11037070
3167748;11037405
3167775;11037176
3167801;11037218
3167827;11037183
3167854;11037212
3167880;11037268
3167906;11037361
3167932;11037442
3167958;11037491
3167985;11037283
3168011;11037123
3168037;11037272
3168063;11037214
3168089;11037384
3168116;11037128
3168142;11037156
3168168;11037197
3168195;11037161
3168220;11037058
3168247;11037326
3168273;11037314
3168299;11037272
3168326;11037858
3168351;11037667
3168378;11037470
3168404;11037353
3168430;11037400
3168457;11037405
3168483;11037505
3168509;11037346
3168535;11037428
3168561;11037489
3168588;11037656
3168614;11037197
3168640;11037353
3168667;11037528
3168692;11037465
3168719;11037486
3168745;11037575
3168771;11037560
3168797;11037523
3168824;11037635
3168849;11037533
3168876;11037502
3168902;11037475
3168928;11037363
3168955;11037395
3168981;11037439
3169007;11037374
3169034;11037426
3169059;11037439
3169086;11037319
3169112;11037421
3169138;11037411
3169164;11037742
3169190;11037491
3169217;11037816
3169243;11038045
3169269;11037598
3169295;11037714
3169321;11037705
3169348;11037703
3169374;11037549
3169400;11037640
3169427;11038142
3169452;11037688
3169479;11038073
3169505;11037630
3169531;11037619
3169558;11037795
3169583;11037805
3169610;11037801
3169636;11037768
3169662;11037970
3169689;11037873
3169715;11037907
3169741;11037986
3169767;11038045
3169793;11037944
3169820;11037912
3169846;11037945
3169872;11038301
3169899;11038029
3169925;11038024
3169950;11037901
3169977;11037977
3170003;11038173
3170030;11037828
3170056;11038130
3170081;11038477
3170108;11038212
3170135;11038098
3170161;11038042
3170186;11038461
3170213;11038136
3170239;11038286
3170266;11038301
3170292;11038377
3170318;11038356
3170344;11038110
3170370;11038082
3170396;11038515
3170423;11038328
3170449;11038401
3170475;11038557
3170501;11038547
3170527;11038414
3170554;11038382
3170580;11038461
3170606;11038489
3170632;11037875
3170658;11038333
3170685;11038254
3170711;11038259
3170737;11038557
3170764;11038680
3170789;11038286
3170816;11038435
3170842;11038264
3170869;11038403
3170895;11038286
3170920;11038354
3170947;11038524
3170973;11038359
3171000;11038536
3171026;11038435
3171051;11038194
3171078;11038333
3171104;11038680
3171130;11038179
3171157;11038471
3171182;11038414
3171209;11038547
3171235;11038803
3171261;11038461
3171288;11038489
3171314;11038484
3171340;11038727
3171366;11038675
3171393;11038536
3171419;11038638
3171445;11038273
3171471;11039031
3171498;11038573
3171523;11038819
3171550;11038889
3171576;11038701
3171602;11038605
3171629;11038659
3171655;11038638
3171681;11038670
3171707;11038612
3171734;11038680
3171759;11038980
3171786;11039154
3171812;11038861
3171838;11038941
3171864;11039071
3171891;11038983
3171917;11038771
3171943;11038873
3171969;11038947
3171996;11038964
3172022;11039022
3172048;11038861
3172074;11038948
3172101;11039075
3172126;11039054
3172153;11039006
3172179;11039101
3172205;11039453
3172231;11039432
3172258;11039404
3172284;11039160
3172310;11039182
3172336;11039480
3172363;11039213
3172388;11038996
3172415;11039267
3172441;11038952
3172467;11038985
3172494;11039138
3172520;11039059
3172546;11039276
3172572;11039289
3172598;11039225
3172625;11039150
3172651;11039411
3172677;11039187
3172703;11039315
3172729;11039490
3172756;11039108
3172782;11039224
3172808;11039225
3172834;11039218
3172861;11039395
3172886;11039406
3172913;11039571
3172939;11039406
3172966;11039106
3172991;11039453
3173018;11039480
3173044;11039630
3173070;11039517
3173097;11039406
3173122;11039534
3173149;11039801
3173175;11039523
3173202;11039965
3173228;11039550
3173253;11039576
3173280;11039497
3173306;11039965
3173333;11039715
3173358;11039725
3173385;11039795
3173411;11039618
3173437;11039529
3173463;11039502
3173490;11039944
3173516;11039709
3173542;11039976
3173569;11039911
3173594;11039929
3173621;11039662
3173647;11039976
3173673;11040114
3173700;11040067
3173726;11039960
3173752;11039886
3173778;11040190
3173804;11039976
3173831;11040009
3173857;11039986
3173883;11040467
3173909;11040009
3173936;11040025
3173962;11040151
3173988;11040248
3174014;11040195
3174040;11040249
3174066;11040093
3174093;11040206
3174119;11040046
3174145;11040163
3174171;11040104
3174197;11040104
3174223;11040151
3174250;11040255
3174276;11040446
3174303;11040397
3174329;11040377
3174354;11040285
3174381;11040300
3174408;11040260
3174433;11040169
3174459;11040264
3174486;11040083
3174512;11040488
3174538;11040270
3174565;11040136
3174591;11039827
3174617;11039876
3174643;11040057
3174670;11040360
3174696;11040179
3174722;11040334
3174748;11040249
3174774;11040167
3174801;11040200
3174827;11040239
3174853;11040349
3174879;11040291
3174905;11040334
3174931;11040381
3174958;11040260
3174984;11040467
3175010;11040297
3175036;11040398
3175062;11040728
3175089;11040504
3175115;11040451
3175141;11040495
3175167;11040418
3175194;11040279
3175220;11040206
3175246;11040462
3175273;11040462
3175299;11040674
3175325;11040493
3175351;11040498
3175377;11040739
3175403;11040877
3175430;11040707
3175456;11040670
3175482;11041170
3175508;11040898
3175534;11040670
3175561;11040770
3175587;11040932
3175613;11041017
3175640;11041303
3175666;11041251
3175692;11040909
3175718;11041012
3175744;11040776
3175770;11040846
3175797;11040882
3175823;11041117
3175849;11040872
3175876;11040942
3175901;11040623
3175928;11040754
3175954;11040825
3175980;11041005
3176007;11040937
3176032;11040905
3176059;11040916
3176085;11040958
3176111;11041058
3176138;11040914
3176163;11041017
3176190;11040909
3176216;11040868
3176242;11040804
3176269;11040867
3176295;11040937
3176321;11041154
3176347;11040761
3176373;11040691
3176400;11040723
3176426;11040846
3176452;11040942
3176478;11040963
3176505;11040974
