=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:06:14 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --
Time;RH;Temp
222;39.76;-13.22
325;39.76;-13.22
428;39.77;-13.21
531;39.78;-13.21
634;39.78;-13.21
737;39.79;-13.21
840;39.80;-13.20
943;39.81;-13.20
1046;39.81;-13.19
1149;39.83;-13.20
1253;39.85;-13.19
1356;39.86;-13.19
1459;39.87;-13.19
1562;39.89;-13.19
1665;39.90;-13.19
1768;39.91;-13.19
1871;39.92;-13.18
1974;39.92;-13.19
2077;39.92;-13.18
2180;39.94;-13.18
2283;39.97;-13.17
2386;39.98;-13.17
2490;39.99;-13.17
2593;40.00;-13.17
2696;40.02;-13.17
2799;40.02;-13.17
2902;40.04;-13.17
3005;40.05;-13.16
3108;40.08;-13.16
3211;40.10;-13.16
3314;40.11;-13.16
3417;40.12;-13.15
3520;40.14;-13.15
3623;40.15;-13.14
3727;40.16;-13.14
3830;40.17;-13.14
3933;40.19;-13.13
4036;40.20;-13.14
4139;40.18;-13.13
4242;40.23;-13.13
4345;40.26;-13.13
4448;40.28;-13.13
4551;40.29;-13.13
4654;40.32;-13.12
4757;40.34;-13.12
4860;40.36;-13.12
4964;40.38;-13.12
5067;40.40;-13.12
5170;40.41;-13.11
5273;40.41;-13.12
5376;40.43;-13.11
5479;40.49;-13.11
5582;40.51;-13.11
5685;40.53;-13.10
5788;40.55;-13.10
5891;40.57;-13.10
5994;40.60;-13.10
6097;40.62;-13.10
6200;40.64;-13.10
6303;40.69;-13.09
6406;40.66;-13.09
6509;40.72;-13.09
6612;40.75;-13.08
6716;40.77;-13.08
6819;40.80;-13.08
6922;40.83;-13.07
7025;40.86;-13.07
7128;40.87;-13.07
7231;40.87;-13.07
7334;40.88;-13.07
7437;40.91;-13.06
7540;40.92;-13.07
7643;40.91;-13.05
7746;40.90;-13.05
7849;40.89;-13.05
7953;40.88;-13.05
8056;40.86;-13.04
8159;40.85;-13.04
8262;40.83;-13.04
8365;40.81;-13.04
8468;40.80;-13.04
8571;40.77;-13.04
8674;40.73;-13.05
8777;40.67;-13.04
8880;40.63;-13.04
8983;40.60;-13.04
9086;40.57;-13.04
9190;40.54;-13.04
9293;40.50;-13.04
9396;40.46;-13.05
9499;40.42;-13.04
9602;40.41;-13.04
9705;40.35;-13.05
