=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:04:07 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2277981;10930096
2278016;10930700
2278069;10930080
2278122;10930582
2278175;10930867
2278229;10932706
2278282;10933879
2278335;10934025
2278388;10933490
2278441;10933069
2278495;10934083
2278548;10933894
2278602;10934508
2278655;10935655
2278708;10936050
2278761;10936319
2278814;10936510
2278868;10937037
2278920;10937831
2278974;10937797
2279027;10938861
2279081;10939255
2279134;10939597
2279187;10940350
2279240;10941000
2279294;10940935
2279347;10941052
2279401;10939132
2279453;10939976
2279506;10940034
2279560;10941191
2279613;10942338
2279667;10942557
2279720;10942589
2279773;10943775
2279826;10943636
2279879;10944099
2279933;10944169
2279985;10943448
2280039;10944355
2280092;10944624
2280146;10945582
2280199;10946157
2280252;10946486
2280306;10946546
2280358;10946910
2280412;10946797
2280465;10947448
2280519;10947991
2280571;10948088
2280625;10948370
2280678;10948707
2280731;10949219
2280785;10949235
2280838;10949587
2280891;10950494
2280945;10950912
2280997;10951027
2281051;10951011
2281104;10950319
2281157;10950298
2281211;10950739
2281264;10951886
2281317;10952100
2281370;10952372
2281423;10952863
2281477;10953344
2281530;10952889
2281584;10953114
2281636;10953023
2281690;10953083
2281743;10952816
2281797;10952837
2281849;10952260
2281903;10951972
2281956;10951625
2282010;10951855
2282063;10951795
2282115;10952059
2282169;10952403
2282223;10952153
2282276;10952597
2282329;10953221
2282382;10953472
2282435;10952829
2282489;10952842
2282542;10952325
2282595;10952490
2282648;10953174
2282701;10953939
2282755;10953921
2282809;10954446
2282861;10955144
2282915;10954726
2282968;10954621
2283022;10954786
2283074;10955016
2283127;10955363
2283181;10955128
2283234;10953757
2283287;10954002
2283341;10954091
2283394;10954969
2283447;10955374
2283501;10955538
2283554;10955875
2283607;10955081
2283660;10955444
2283713;10954867
2283766;10955165
2283820;10955554
2283873;10955666
2283927;10956092
2283980;10955726
2284033;10955742
2284086;10955732
2284140;10956045
2284193;10955379
2284246;10955442
2284299;10955165
2284352;10955703
2284406;10956345
2284459;10957059
2284512;10957821
2284565;10958062
2284618;10958101
2284672;10958276
2284725;10958676
2284779;10958425
2284832;10958383
2284885;10958211
2284938;10958307
2284991;10958025
2285045;10957918
2285098;10957396
2285151;10957171
2285205;10956808
2285258;10956842
2285311;10956361
2285364;10956340
2285418;10956366
2285471;10956429
2285524;10956729
2285577;10957641
2285630;10957636
2285684;10957437
2285737;10956761
2285791;10956648
2285843;10957043
2285897;10957129
2285950;10956711
2286003;10955491
2286057;10955549
2286109;10955891
2286163;10956413
2286216;10955348
2286270;10956228
2286322;10957599
2286376;10958195
2286429;10958767
2286483;10959480
2286536;10959203
2286589;10958798
2286642;10958446
2286695;10958373
2286749;10958072
2286802;10958446
2286856;10958603
2286908;10959284
2286961;10959551
2287015;10957806
2287069;10956719
2287121;10957359
2287175;10956931
2287228;10957095
2287281;10957508
2287335;10957994
2287388;10958751
2287441;10959263
2287495;10959465
2287547;10959449
2287601;10959279
2287654;10959381
2287707;10959480
2287760;10959321
2287814;10959115
2287867;10959744
2287920;10959919
2287974;10959648
2288027;10958725
2288080;10958953
2288134;10959034
2288186;10959535
2288240;10958879
2288293;10960073
2288346;10959044
2288400;10959326
2288452;10958968
2288506;10959141
2288559;10958879
2288612;10959198
2288666;10959002
2288719;10959013
2288773;10959248
2288825;10958388
2288878;10958963
2288932;10959700
2288985;10960267
2289039;10960416
2289092;10960528
2289145;10961445
2289199;10961121
2289252;10961082
2289304;10961231
2289358;10960314
2289411;10960180
2289465;10960907
2289517;10961481
2289571;10960656
2289624;10960486
2289678;10958997
2289731;10958655
2289784;10958869
2289837;10959791
2289890;10958650
2289944;10958926
2289997;10960000
2290050;10960011
2290104;10960645
2290156;10961406
2290210;10961957
2290263;10962051
2290316;10962137
2290370;10962443
2290423;10961960
2290476;10961455
2290529;10961669
2290583;10961163
2290636;10961973
2290689;10961829
2290742;10961790
2290796;10962252
2290849;10962458
2290903;10962472
2290956;10962926
2291009;10963514
2291062;10963914
2291115;10964708
2291169;10964682
2291222;10964504
2291275;10964554
2291328;10964702
2291382;10964031
2291435;10964068
2291488;10963378
2291541;10963634
2291594;10962835
2291648;10962900
2291701;10962440
2291754;10961275
2291808;10961306
2291861;10961722
2291914;10961722
2291968;10961578
2292020;10961829
2292074;10962090
2292127;10961382
2292181;10961952
2292234;10961928
2292287;10962850
2292340;10963156
2292394;10962349
2292446;10962761
2292500;10962738
2292553;10962887
2292606;10963193
2292659;10962349
2292713;10961886
2292766;10962686
2292820;10962589
2292873;10962487
2292926;10962644
2292979;10962537
2293032;10963070
2293085;10963422
2293139;10962999
2293192;10963582
2293245;10964206
2293299;10963373
2293352;10963381
2293405;10963091
2293458;10962921
2293511;10963843
2293565;10963550
2293618;10963997
2293671;10963741
2293724;10964042
2293778;10964227
2293831;10963976
2293884;10963618
2293937;10963843
2293991;10964042
2294044;10964211
2294097;10964462
2294150;10964394
2294204;10964339
2294257;10964386
2294310;10964830
2294364;10965343
2294417;10964979
2294470;10965656
2294523;10965157
2294576;10964867
2294630;10964682
2294683;10965128
2294737;10965188
2294789;10964906
2294843;10965076
2294896;10965471
2294949;10965491
2295003;10966009
2295055;10965593
2295109;10965486
2295162;10965081
2295216;10965471
2295269;10965039
2295322;10965128
2295376;10964836
2295428;10965215
2295482;10965781
2295535;10965471
2295589;10965295
2295642;10965405
2295695;10965311
2295748;10964559
2295802;10964697
2295854;10964750
2295908;10964883
2295961;10964927
2296014;10964517
2296067;10964655
2296121;10964661
2296174;10964872
2296227;10965295
2296281;10966009
2296334;10965418
2296387;10965669
2296441;10966105
2296493;10965881
2296547;10965481
2296600;10964008
2296653;10963373
2296707;10964083
2296760;10965429
2296813;10964789
2296866;10965311
2296920;10965384
2296973;10965962
2297027;10965742
2297079;10966095
2297132;10965706
2297186;10965849
2297239;10966223
2297293;10966181
2297346;10966074
2297399;10965962
2297452;10966181
2297505;10966207
2297559;10966131
2297612;10966427
2297665;10966586
2297719;10967451
2297772;10967696
2297825;10967764
2297878;10968250
2297931;10967641
2297984;10967067
2298038;10967364
2298091;10967472
2298144;10968036
2298198;10968459
2298251;10968537
2298304;10968982
2298358;10968101
2298410;10967498
2298464;10967012
2298517;10967140
2298570;10966121
2298624;10966516
2298677;10966709
2298731;10967056
2298783;10966832
2298836;10967051
2298890;10966991
2298943;10966960
2298996;10966479
2299050;10966698
2299103;10966437
2299156;10967242
2299210;10967743
2299262;10968310
2299316;10968271
2299369;10968143
2299423;10967550
2299476;10967487
2299529;10967145
2299582;10966928
2299635;10967273
2299689;10967278
2299742;10966868
2299795;10964867
2299849;10965316
2299902;10966403
2299955;10966698
2300008;10966970
2300062;10967749
2300115;10966672
2300168;10965909
2300221;10966111
2300275;10966944
2300328;10966873
2300381;10967028
2300434;10967017
2300487;10966879
2300541;10967492
2300594;10967200
2300647;10967077
2300700;10966837
2300754;10967466
2300807;10966468
2300861;10966427
2300913;10966756
2300967;10967263
2301020;10967913
2301073;10967652
2301126;10967733
2301180;10967380
2301233;10966356
2301286;10965920
2301340;10966704
2301392;10966570
2301446;10966596
2301499;10967033
2301553;10967302
2301606;10967503
2301659;10966032
2301712;10965839
2301766;10966468
2301818;10965747
2301872;10965967
2301925;10965875
2301978;10966165
2302032;10967236
2302085;10967082
2302139;10967924
2302191;10967184
2302245;10967775
2302298;10966244
2302351;10966126
2302404;10966560
2302458;10966965
2302511;10967461
2302564;10967466
2302618;10968182
2302671;10967994
2302724;10968315
2302778;10968261
2302830;10968112
2302884;10968394
2302937;10968982
2302990;10968762
2303044;10968182
2303097;10968548
2303150;10968302
2303203;10968655
2303256;10969008
2303310;10968496
2303363;10968261
2303416;10967707
2303469;10967451
2303523;10967108
2303576;10966826
2303630;10966043
2303682;10966121
2303736;10966074
2303789;10966704
2303842;10966879
2303895;10966858
2303949;10967124
2304002;10966873
2304056;10966724
2304108;10966944
2304162;10966842
2304215;10966868
2304268;10967161
2304322;10967738
2304375;10968255
2304428;10968255
2304481;10968041
2304534;10967641
2304588;10967046
2304641;10967179
2304694;10967524
2304747;10967615
2304801;10967103
2304854;10967184
2304907;10966724
2304961;10967236
2305014;10967563
2305067;10967809
2305120;10968302
2305174;10968838
2305227;10968731
2305280;10968229
2305334;10966784
2305386;10965771
2305440;10965870
2305493;10966024
2305546;10966489
2305599;10966821
2305653;10967040
2305706;10966659
2305759;10966528
2305813;10967594
2305866;10967445
2305919;10967430
2305972;10967529
2306025;10967665
2306079;10967093
2306132;10967338
2306185;10967550
2306239;10968587
2306292;10969211
2306345;10969525
2306398;10969488
2306451;10969366
2306505;10969089
2306558;10968853
2306611;10968665
2306664;10966975
2306718;10967189
2306771;10967380
2306825;10967652
2306878;10968224
2306930;10967978
2306984;10968054
2307037;10968229
2307091;10968308
2307144;10968415
2307197;10968336
2307250;10968731
2307303;10968660
2307357;10968655
2307410;10968608
2307463;10968571
2307516;10967297
2307570;10967769
2307623;10967140
2307677;10966790
2307729;10967430
2307783;10968287
2307836;10968368
2307890;10968997
2307942;10968812
2307996;10969050
2308049;10969444
2308103;10969467
2308155;10967754
2308209;10953960
2308262;10942286
2308316;10928440
2308369;10917165
2308421;10906156
2308475;10891718
2308528;10878099
2308582;10860669
2308635;10844843
2308688;10829573
2308741;10814493
2308794;10803300
2308848;10791468
2308901;10778554
2308955;10769410
2309007;10759456
2309061;10750439
2309114;10743737
2309168;10737029
2309220;10727838
2309274;10722385
2309327;10716082
2309380;10710317
2309434;10704505
2309487;10699641
2309540;10696722
2309594;10694648
2309647;10692452
